integrated_decision_id,approval_package_id,decision_status,section_score,completeness_status,identity_complete,issue_summary_complete,kpi_risk_complete,recommendation_complete,scenario_complete,financial_complete,governance_complete,management_questions_complete,actions_complete,evidence_complete,lineage_complete
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Requires Assumption Validation,0.4286,Partial Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Requires Assumption Validation,0.4286,Partial Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Non-Quantitative,0.4286,Non-Quantitative Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Monitoring Only,0.4286,Monitoring Package,True,False,False,False,True,False,True,True,True,True,True
