decision_package_id,selected_action,selected_scenario,review_outcome,management_comment,conditions_imposed,reviewer_role,approval_reference,confirmation_checkbox,defer_reason,reject_reason,request_evidence_type,route_to_monitoring,route_to_non_quantitative
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,,,Pending,,,Patient Experience Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,,,Pending,,,Nursing Director,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,,,Pending,,,Patient Flow Lead,,False,,,,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,,,Pending,,,Patient Experience Lead,,False,,,,False,False
