action_lineage_id,decision_action_routing_id,decision_readiness_id,lineage_type,lineage_description,lineage_status,source_phase,reconciliation_status,governance_note
ALN-1721E010,DAR-16854A51,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-472929E7,DAR-8DC94D9B,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-9E2C9153,DAR-117F321A,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-A672D3BB,DAR-013487F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-A80A24B7,DAR-5051D7C0,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-0B7F79C5,DAR-54DCC5FC,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-CEEDBD4B,DAR-D0CF523E,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-B5CF17F9,DAR-17D71F53,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-2FE118DB,DAR-30C436A8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-EEAA84D0,DAR-1DE76F65,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-EFEBC84F,DAR-1A845D8D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D5960D32,DAR-CB39AB43,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-86F7E36F,DAR-6ED1DB35,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-E0D2C302,DAR-7F544C2C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-674E0A47,DAR-0F51E482,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-488F393C,DAR-28B6521A,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-04577E1E,DAR-9DFEFBA3,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-B2645D12,DAR-D30299F7,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-936C8E54,DAR-577044F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7B003D1B,DAR-3A1905CA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7C009BD6,DAR-74B2FAB6,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-E1C319E9,DAR-65FFC947,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-57260431,DAR-F69D881E,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-E20DEA38,DAR-A088C72F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-ADCB1B15,DAR-1FC88CEB,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D2525A69,DAR-85B425D8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-C2DB8F81,DAR-1A8CB370,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D72B748A,DAR-A904BCBD,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7D31E04B,DAR-CBFB2A12,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-C1207929,DAR-44D140E9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-DD28C70F,DAR-D58E9BD2,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D26DDDE9,DAR-FA6D78BA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-5D349CFC,DAR-F58A9C34,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-C682C28E,DAR-0B68089C,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D22E6325,DAR-EA4053CB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-78586403,DAR-98726969,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-52B23EEC,DAR-C3E2A005,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-C376B18A,DAR-43A3A727,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-A68EED34,DAR-4E0233B3,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-6ECCD2F9,DAR-A2184B45,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-BD828351,DAR-8E139A61,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-BB72A23A,DAR-2C86E20D,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-605EE1E5,DAR-CBD1AB9C,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-5005B5DF,DAR-72920AE5,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-C18FDEC1,DAR-F151BB6D,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D0492FFA,DAR-C959CF61,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-56ABAEEB,DAR-D86AFFC3,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-A94BD705,DAR-A8A39E5D,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-6A4F31CF,DAR-91888938,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D816CE0C,DAR-47AA9CDB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7EA9C840,DAR-02CD3D0A,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-1930B5AB,DAR-67B60B0A,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-09EFCDFC,DAR-486153C0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-AFC1D219,DAR-B041DB80,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-471E7438,DAR-8A48496A,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7CCC6585,DAR-11B3A8FA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-B8E753E8,DAR-DCA573F0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-F792B7FC,DAR-8F07C192,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-EEF17437,DAR-C10FA647,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-3E8FEBBD,DAR-EE7D0265,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-03F67FE6,DAR-654C8862,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-52B5318F,DAR-6E4ECFB0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-3CC0E636,DAR-207414C6,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-507F69B2,DAR-B668EB93,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-476215A9,DAR-735B99A2,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-79535CE1,DAR-A27D8B24,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7396303A,DAR-C05DF516,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-185C1CA0,DAR-D7A73F42,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-00F39D82,DAR-7FBB55CE,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-AD743DA3,DAR-EE146E46,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-85633470,DAR-CB297F72,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-ED2C0059,DAR-585479DB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-F2212AC7,DAR-4F92C8DE,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-70ECAFFE,DAR-501FE4B7,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-CD72271A,DAR-BFD757FA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-4D6D3720,DAR-ACE8C1A1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-3B5014B8,DAR-CC1CE605,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-AE114CD3,DAR-DE25D0B9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D019F13C,DAR-0BCF969E,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-8E7AD7D9,DAR-431CEE4A,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-52F71F8A,DAR-E28A4AD1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-5E67EE38,DAR-7FEF4848,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-F6793175,DAR-A8046561,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-F78A1D75,DAR-4F657D8C,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-A3BCFA5F,DAR-A28849F1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-3D1AD64E,DAR-32CA4EF9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-341A2FE3,DAR-4F1EEB63,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-597F8353,DAR-F440C1BB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-764DAD22,DAR-F4DDBC83,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-79BE89BB,DAR-0D1B0882,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-1EC73082,DAR-172F03A0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-BDD1D01C,DAR-5E15B5D2,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-822DC2A1,DAR-6D67FDDB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-60FCE149,DAR-3379CCB4,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7E9C9967,DAR-89AFC945,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-795FE950,DAR-F7CB6300,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7A1F66BC,DAR-41FB30F8,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D2EF74FC,DAR-0DAA31F9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-DE367FDD,DAR-FF13F1EB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-88C41E00,DAR-077ECD22,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-FBB1F583,DAR-1AB43FDD,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-1E56D231,DAR-A0994D45,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-96C08CDA,DAR-4449D247,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-D388CEC6,DAR-AC9C2B20,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-8BBCB697,DAR-7EA3EFC1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-F9624649,DAR-DDD52643,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-7D07A7A3,DAR-568427E5,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-CBC1AC88,DAR-030C7287,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-2662CA4D,DAR-75C333A4,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-5C1535D4,DAR-F88EFD84,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
ALN-A7D1A6A4,DAR-162D4463,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,General,,Pending,2D-4,Reconciled,Lineage reference carried forward from readiness
