audit_requirement_id,decision_action_routing_id,action_id,action_name,audit_required,audit_event_type,required_actor_role,evidence_attachment_required,reason_required,timestamp_required,approval_reference_required,future_audit_status,governance_note
AUD-A4AB271A,DAR-70764F11,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F5250C41,DAR-70764F11,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2C0C89EC,DAR-70764F11,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-461E34AE,DAR-70764F11,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-945A4785,DAR-70764F11,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-65A7A84B,DAR-70764F11,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D4313FFE,DAR-70764F11,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-15434919,DAR-AE9BC4DF,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-BB0D8E88,DAR-AE9BC4DF,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-145BD153,DAR-AE9BC4DF,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A49E2CCF,DAR-AE9BC4DF,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-74CF17AA,DAR-AE9BC4DF,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-73A938E5,DAR-AE9BC4DF,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-87435E0A,DAR-AE9BC4DF,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-4DBBB1CA,DAR-AE9BC4DF,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D564B613,DAR-AE9BC4DF,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-418080F6,DAR-AE9BC4DF,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2D6FA90D,DAR-AE9BC4DF,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-858EE012,DAR-AE9BC4DF,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-08E4590C,DAR-AE9BC4DF,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E10016AB,DAR-AE9BC4DF,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-77F231FB,DAR-AE9BC4DF,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A31BE4CC,DAR-AE9BC4DF,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2B421D14,DAR-AE9BC4DF,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-CAC847AC,DAR-AE9BC4DF,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-1520D7DE,DAR-3E418BED,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-309FECC7,DAR-3E418BED,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5CF93674,DAR-3E418BED,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A37ED579,DAR-3E418BED,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-1CB32A88,DAR-3E418BED,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-BC56FBE6,DAR-3E418BED,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5E54EB2F,DAR-3E418BED,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-BA35F478,DAR-3E418BED,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D7980F42,DAR-3E418BED,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-8107E01B,DAR-3E418BED,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-258555B0,DAR-3E418BED,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-A4D2F444,DAR-3E418BED,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F57BB14A,DAR-3E418BED,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-387D2CCB,DAR-3E418BED,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-6CD3B430,DAR-3E418BED,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-78E1BB0F,DAR-3E418BED,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-12FAB42E,DAR-3E418BED,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2A37B630,DAR-3E418BED,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-B6D03B5E,DAR-814A2C66,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-7183414A,DAR-814A2C66,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D471DAAC,DAR-814A2C66,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-85D24EC1,DAR-814A2C66,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-AB353E87,DAR-814A2C66,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-DDCD2E27,DAR-814A2C66,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-63692DE6,DAR-814A2C66,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-B4B5AD2C,DAR-814A2C66,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-68BC4416,DAR-814A2C66,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-15AA541B,DAR-814A2C66,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-65782D31,DAR-814A2C66,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-8C68B304,DAR-814A2C66,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-764EEB5E,DAR-814A2C66,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-60095CEE,DAR-814A2C66,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5F147E83,DAR-814A2C66,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-6DD60024,DAR-814A2C66,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-6A627517,DAR-814A2C66,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A15D7E32,DAR-814A2C66,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-AED96180,DAR-F293FEE6,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-74F460E2,DAR-F293FEE6,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-1B72D5D9,DAR-F293FEE6,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2C1B72A3,DAR-F293FEE6,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-35C27A81,DAR-F293FEE6,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-6B2608E9,DAR-F293FEE6,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3906C4AE,DAR-F293FEE6,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-4120FF00,DAR-F293FEE6,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F4F44A17,DAR-F293FEE6,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-8F329A99,DAR-F293FEE6,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5C5AB7D1,DAR-F293FEE6,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-D70F15AF,DAR-F293FEE6,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-7D681ECA,DAR-F293FEE6,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-B7624DC4,DAR-F293FEE6,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-74F4C96C,DAR-F293FEE6,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-B06F32DE,DAR-F293FEE6,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-826F7B27,DAR-F293FEE6,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-74E06F90,DAR-F293FEE6,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-8DC49D66,DAR-6CC8A7F9,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A37036C5,DAR-6CC8A7F9,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-6C05F132,DAR-6CC8A7F9,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A2A06B0E,DAR-6CC8A7F9,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-214814A8,DAR-6CC8A7F9,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-C62D3BF0,DAR-6CC8A7F9,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-7E16BF06,DAR-6CC8A7F9,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-7C9EB032,DAR-6CC8A7F9,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-82F785AC,DAR-6CC8A7F9,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-59E9AC54,DAR-6CC8A7F9,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-13655657,DAR-6CC8A7F9,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-0816A1EF,DAR-6CC8A7F9,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-7BA7497A,DAR-6CC8A7F9,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-940A8C07,DAR-6CC8A7F9,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-B6C28D51,DAR-6CC8A7F9,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-8EC90626,DAR-6CC8A7F9,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-03790179,DAR-6CC8A7F9,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3CCF989C,DAR-6CC8A7F9,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-EC123711,DAR-CAC703A7,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A9FDF5F6,DAR-CAC703A7,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-07CC0FC0,DAR-CAC703A7,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-971C5931,DAR-CAC703A7,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-02F888A5,DAR-CAC703A7,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-CCEFFD10,DAR-CAC703A7,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-E4162095,DAR-CAC703A7,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-3CFA3940,DAR-CAC703A7,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-AEF9C1BD,DAR-CAC703A7,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EEAC85A7,DAR-CAC703A7,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-B2BA1630,DAR-CAC703A7,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-D5D673B0,DAR-CAC703A7,A012,Escalate for Immediate Management Attention,True,Escalation,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-2303A52B,DAR-CAC703A7,A013,Defer Decision,True,Decision Deferral,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-D01683E9,DAR-CAC703A7,A014,Reject Decision Use,True,Decision Rejection,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-720C677F,DAR-CAC703A7,A015,Request Evidence Completion,True,Evidence Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-79B9D8AB,DAR-CAC703A7,A016,Request Lineage Completion,True,Lineage Request,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-5A20743B,DAR-CAC703A7,A017,Route to Non-Quantitative Review,True,Non-Quantitative Routing,Clinical Lead,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-A8A98186,DAR-CAC703A7,A018,No Action - Monitoring Continues,False,No Action,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
AUD-86FF9D03,DAR-F3BD9351,A001,Review Integrated Decision Package,True,Decision Package Review,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-0299D5F6,DAR-F3BD9351,A002,Compare Scenario Options,True,Scenario Comparison,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EF259AFB,DAR-F3BD9351,A003,Validate Assumptions,True,Assumption Validation,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-753F14A5,DAR-F3BD9351,A004,Validate Baseline,True,Baseline Validation,Data Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-7609DBBF,DAR-F3BD9351,A005,Validate Financial Inputs,True,Financial Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F05352D5,DAR-F3BD9351,A006,Validate Benefit Assumptions,True,Benefit Validation,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-F55A8DD4,DAR-F3BD9351,A007,Provide Budget Information,True,Budget Information,Finance,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-344B8403,DAR-F3BD9351,A008,Request Additional Scenario,True,Additional Scenario Request,Analytics Team,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-CCAAC999,DAR-F3BD9351,A009,Request Stakeholder Review,True,Stakeholder Review Request,Stakeholder Owner,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-B85E6D98,DAR-F3BD9351,A010,Proceed to Limited-Trial Consideration,True,Limited-Trial Consideration,Hospital COO / General Manager,True,True,True,True,Awaiting Management Action,No completed audit event created
AUD-EF5E11A6,DAR-F3BD9351,A011,Continue Monitoring,False,Monitoring Continuation,Operations Manager,False,False,False,False,Awaiting Management Action,No completed audit event created
