decision_lineage_profile_id,decision_action_routing_id,decision_readiness_id,decision_package_id,integrated_decision_id,episode_id,hospital_id,department_id,final_readiness_status,governance_note
LNP-971A1A17,DAR-0CCD9938,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,HOSP-001,DEPT-ADM,Requires Additional Scenario Analysis,Lineage profile traces source-to-decision path
LNP-F1ECE539,DAR-D040CDC1,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-C8264A5D,DAR-79C9542C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-13CEF206,DAR-6207FB56,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-D03BA371,DAR-C0188C2C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,HOSP-001,DEPT-ADM,Requires Evidence Completion,Lineage profile traces source-to-decision path
LNP-ECB5898B,DAR-7DE12342,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-0C121E35,DAR-0065947D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,HOSP-001,DEPT-ADM,Requires Evidence Completion,Lineage profile traces source-to-decision path
LNP-BE9C7FDC,DAR-CB286D43,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,EP-HOSP-001-DEPT-ADM-kpi_002-20260202,HOSP-001,DEPT-ADM,Requires Lineage Completion,Lineage profile traces source-to-decision path
LNP-FEEBE849,DAR-CC7DB954,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,EP-HOSP-001-DEPT-ADM-kpi_002-20260206,HOSP-001,DEPT-ADM,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-778F3183,DAR-FA923347,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,EP-HOSP-001-DEPT-ADM-kpi_002-20260330,HOSP-001,DEPT-ADM,Requires Additional Scenario Analysis,Lineage profile traces source-to-decision path
LNP-A3BE8ECF,DAR-22E3AC13,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,HOSP-001,DEPT-ADM,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-DDBCD881,DAR-D4026F38,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-88D57CFF,DAR-C4E6E240,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,EP-HOSP-001-DEPT-ADM-kpi_002-20260529,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-6303D21C,DAR-F2384F54,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,EP-HOSP-001-DEPT-ADM-kpi_002-20260611,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-90AAF28B,DAR-426B72C9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,EP-HOSP-001-DEPT-ADM-kpi_002-20260620,HOSP-001,DEPT-ADM,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-EFEFD958,DAR-441332C4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,EP-HOSP-001-DEPT-ADM-kpi_002-20260624,HOSP-001,DEPT-ADM,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-187E11E3,DAR-82C838CB,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,EP-HOSP-001-DEPT-ADM-kpi_002-20260710,HOSP-001,DEPT-ADM,Requires Stakeholder Validation,Lineage profile traces source-to-decision path
LNP-472A8276,DAR-1E4C9848,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,EP-HOSP-001-DEPT-ADM-kpi_002-20260716,HOSP-001,DEPT-ADM,Requires Stakeholder Validation,Lineage profile traces source-to-decision path
LNP-65250DE0,DAR-CB035459,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,EP-HOSP-001-DEPT-ADM-kpi_002-20260814,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-3786F493,DAR-AF9E3D40,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,EP-HOSP-001-DEPT-ADM-kpi_002-20260925,HOSP-001,DEPT-ADM,Requires Baseline Validation,Lineage profile traces source-to-decision path
LNP-E917A52E,DAR-5D66F99D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,EP-HOSP-001-DEPT-ADM-kpi_002-20261019,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-9320F6E0,DAR-76298A2F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,EP-HOSP-001-DEPT-ADM-kpi_002-20261102,HOSP-001,DEPT-ADM,Requires Financial Input,Lineage profile traces source-to-decision path
LNP-9ED8A268,DAR-5D6B7DD8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,EP-HOSP-001-DEPT-ADM-kpi_002-20261114,HOSP-001,DEPT-ADM,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-718A9A28,DAR-A1061C6F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,EP-HOSP-001-DEPT-ADM-kpi_002-20261121,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-CC1AFED0,DAR-16854A51,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,EP-HOSP-001-DEPT-ADM-kpi_002-20261214,HOSP-001,DEPT-ADM,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-CD290A40,DAR-8DC94D9B,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,EP-HOSP-001-DEPT-ADM-kpi_002-20261225,HOSP-001,DEPT-ADM,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-6D5631EF,DAR-117F321A,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-96C21F0B,DAR-013487F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-28EA344C,DAR-5051D7C0,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,EP-HOSP-001-DEPT-ADM-kpi_006-20260325,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-67B6C6E5,DAR-54DCC5FC,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,EP-HOSP-001-DEPT-ADM-kpi_006-20260404,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-268FB476,DAR-D0CF523E,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,EP-HOSP-001-DEPT-ADM-kpi_006-20260408,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-E401B992,DAR-17D71F53,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,EP-HOSP-001-DEPT-ADM-kpi_006-20260413,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-FF8FF82E,DAR-30C436A8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,EP-HOSP-001-DEPT-ADM-kpi_006-20260424,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-8AE147FC,DAR-1DE76F65,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,EP-HOSP-001-DEPT-ADM-kpi_006-20260509,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-E5C31810,DAR-1A845D8D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,EP-HOSP-001-DEPT-ADM-kpi_006-20260618,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-A8AD6A8F,DAR-CB39AB43,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,EP-HOSP-001-DEPT-ADM-kpi_006-20260623,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-D43F0AFD,DAR-6ED1DB35,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,EP-HOSP-001-DEPT-ADM-kpi_006-20260629,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-A8D8F772,DAR-7F544C2C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,EP-HOSP-001-DEPT-ADM-kpi_006-20260703,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-C80E4143,DAR-0F51E482,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,EP-HOSP-001-DEPT-ADM-kpi_006-20260709,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-A2651819,DAR-28B6521A,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,EP-HOSP-001-DEPT-ADM-kpi_006-20260719,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-6FE7EA3E,DAR-9DFEFBA3,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,EP-HOSP-001-DEPT-ADM-kpi_006-20260809,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-653B506E,DAR-D30299F7,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,EP-HOSP-001-DEPT-ADM-kpi_006-20260824,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-FA7631BE,DAR-577044F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,EP-HOSP-001-DEPT-ADM-kpi_006-20260904,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-72818609,DAR-3A1905CA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,EP-HOSP-001-DEPT-ADM-kpi_006-20260923,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-76DE88EE,DAR-74B2FAB6,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,EP-HOSP-001-DEPT-ADM-kpi_006-20260928,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-44DD3027,DAR-65FFC947,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,EP-HOSP-001-DEPT-ADM-kpi_006-20261007,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-3C111059,DAR-F69D881E,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,EP-HOSP-001-DEPT-ADM-kpi_006-20261023,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-9EDA254E,DAR-A088C72F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,EP-HOSP-001-DEPT-ADM-kpi_006-20261027,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-3E13017B,DAR-1FC88CEB,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,EP-HOSP-001-DEPT-ADM-kpi_006-20261202,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-54501AEA,DAR-85B425D8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,EP-HOSP-001-DEPT-ADM-kpi_006-20261218,HOSP-001,DEPT-ADM,Monitoring Only,Lineage profile traces source-to-decision path
LNP-3D6DBD40,DAR-1A8CB370,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,HOSP-001,DEPT-DIAG,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-57030FC5,DAR-A904BCBD,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,HOSP-001,DEPT-DIAG,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-B25FFD49,DAR-CBFB2A12,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,HOSP-001,DEPT-DIAG,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-841D25D2,DAR-44D140E9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,HOSP-001,DEPT-DIAG,Ready for Integrated Management Review,Lineage profile traces source-to-decision path
LNP-AED6800F,DAR-D58E9BD2,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,HOSP-001,DEPT-DIAG,Ready with Conditions,Lineage profile traces source-to-decision path
LNP-8F87FB4B,DAR-FA6D78BA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,HOSP-001,DEPT-DIAG,Requires Evidence Completion,Lineage profile traces source-to-decision path
