decision_action_routing_id,decision_package_id,final_readiness_status,primary_permitted_action,primary_action_id,assigned_flag,selected_flag,governance_note
DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Requires Stakeholder Validation,Request Stakeholder Review,,False,False,Primary action reflects readiness status: Requires Stakeholder Validation
DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Requires Baseline Validation,Validate Baseline,,False,False,Primary action reflects readiness status: Requires Baseline Validation
DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Requires Financial Input,Validate Financial Inputs,,False,False,Primary action reflects readiness status: Requires Financial Input
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-CB39AB43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-6ED1DB35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-7F544C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-0F51E482,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-28B6521A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-9DFEFBA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-D30299F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-577044F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-3A1905CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-74B2FAB6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-65FFC947,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-F69D881E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-A088C72F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-1FC88CEB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-85B425D8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-1A8CB370,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-A904BCBD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-CBFB2A12,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-44D140E9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-D58E9BD2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-FA6D78BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Requires Evidence Completion,Request Evidence Completion,,False,False,Primary action reflects readiness status: Requires Evidence Completion
DAR-F58A9C34,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-0B68089C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Requires Additional Scenario Analysis,Request Additional Scenario,,False,False,Primary action reflects readiness status: Requires Additional Scenario Analysis
DAR-EA4053CB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-98726969,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Requires Assumption Validation,Validate Assumptions,,False,False,Primary action reflects readiness status: Requires Assumption Validation
DAR-C3E2A005,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-43A3A727,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Requires Evidence Completion,Request Evidence Completion,,False,False,Primary action reflects readiness status: Requires Evidence Completion
DAR-4E0233B3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Requires Benefit Validation,Validate Benefit Assumptions,,False,False,Primary action reflects readiness status: Requires Benefit Validation
DAR-A2184B45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Requires Lineage Completion,Request Lineage Completion,,False,False,Primary action reflects readiness status: Requires Lineage Completion
DAR-8E139A61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Requires Baseline Validation,Validate Baseline,,False,False,Primary action reflects readiness status: Requires Baseline Validation
DAR-2C86E20D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Requires Stakeholder Validation,Request Stakeholder Review,,False,False,Primary action reflects readiness status: Requires Stakeholder Validation
DAR-CBD1AB9C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-72920AE5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Requires Assumption Validation,Validate Assumptions,,False,False,Primary action reflects readiness status: Requires Assumption Validation
DAR-F151BB6D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-C959CF61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-D86AFFC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Requires Baseline Validation,Validate Baseline,,False,False,Primary action reflects readiness status: Requires Baseline Validation
DAR-A8A39E5D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Requires Additional Scenario Analysis,Request Additional Scenario,,False,False,Primary action reflects readiness status: Requires Additional Scenario Analysis
DAR-91888938,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-47AA9CDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-02CD3D0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-67B60B0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-486153C0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-B041DB80,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Requires Lineage Completion,Request Lineage Completion,,False,False,Primary action reflects readiness status: Requires Lineage Completion
DAR-8A48496A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Requires Stakeholder Validation,Request Stakeholder Review,,False,False,Primary action reflects readiness status: Requires Stakeholder Validation
DAR-11B3A8FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-DCA573F0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Requires Stakeholder Validation,Request Stakeholder Review,,False,False,Primary action reflects readiness status: Requires Stakeholder Validation
DAR-8F07C192,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Not Suitable for Decision Use,Reject Decision Use,,False,False,Primary action reflects readiness status: Not Suitable for Decision Use
DAR-C10FA647,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-EE7D0265,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-654C8862,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-6E4ECFB0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-207414C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-B668EB93,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Requires Financial Input,Validate Financial Inputs,,False,False,Primary action reflects readiness status: Requires Financial Input
DAR-735B99A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-A27D8B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-C05DF516,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-D7A73F42,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Ready for Integrated Management Review,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready for Integrated Management Review
DAR-7FBB55CE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Requires Benefit Validation,Validate Benefit Assumptions,,False,False,Primary action reflects readiness status: Requires Benefit Validation
DAR-EE146E46,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Requires Additional Scenario Analysis,Request Additional Scenario,,False,False,Primary action reflects readiness status: Requires Additional Scenario Analysis
DAR-CB297F72,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-585479DB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-4F92C8DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Not Suitable for Decision Use,Reject Decision Use,,False,False,Primary action reflects readiness status: Not Suitable for Decision Use
DAR-501FE4B7,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Non-Quantitative,Route to Non-Quantitative Review,,False,False,Primary action reflects readiness status: Non-Quantitative
DAR-BFD757FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Requires Stakeholder Validation,Request Stakeholder Review,,False,False,Primary action reflects readiness status: Requires Stakeholder Validation
DAR-ACE8C1A1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-CC1CE605,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,Ready with Conditions,Review Integrated Decision Package,,False,False,Primary action reflects readiness status: Ready with Conditions
DAR-DE25D0B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-0BCF969E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-431CEE4A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-E28A4AD1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-7FEF4848,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-A8046561,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-4F657D8C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-A28849F1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-32CA4EF9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-4F1EEB63,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-F440C1BB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-F4DDBC83,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-0D1B0882,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-172F03A0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-5E15B5D2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-6D67FDDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-3379CCB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-89AFC945,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-F7CB6300,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-41FB30F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-0DAA31F9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-FF13F1EB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-077ECD22,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-1AB43FDD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-A0994D45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-4449D247,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-AC9C2B20,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-7EA3EFC1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-DDD52643,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-568427E5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-030C7287,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
DAR-75C333A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Monitoring Only,Continue Monitoring,,False,False,Primary action reflects readiness status: Monitoring Only
