decision_history_id,decision_package_id,current_package_version,current_readiness_status,current_primary_action,current_queue,current_approval_status,prior_version,prior_readiness_status,prior_primary_action,prior_queue,prior_approval_status,change_reason,changed_by,changed_timestamp,change_event_id,history_status,governance_note
HST-E1984359,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-327C85D8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-3F613E2A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-B90C7E47,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-A8E66962,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-EE9541B8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-E81305A6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-D5AE33AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-C7242D29,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,1.0,Requires Evidence Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-AB05FDCE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-B6E66068,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,1.0,Requires Additional Scenario Analysis,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-2E58FF07,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-EBC123C1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,1.0,Requires Assumption Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-418EFCDE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-E4E29AFC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,1.0,Requires Evidence Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-B1D7D18D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,1.0,Requires Benefit Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-ABF56216,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,1.0,Requires Lineage Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-6E4E4216,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,1.0,Requires Baseline Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-BAC7A036,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,1.0,Requires Stakeholder Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-EB81F940,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-BFD9C0A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,1.0,Requires Assumption Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-EBC2401E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-5B024C1E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-920CE991,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,1.0,Requires Baseline Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-7078B8FB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,1.0,Requires Additional Scenario Analysis,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-C8FFF6AD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-97966E26,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-07193267,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-98BEDE8E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-7D4297D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-C9D3EA68,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,1.0,Requires Lineage Completion,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-82337418,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,1.0,Requires Stakeholder Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-2378A8C5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-C7A8CAA1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,1.0,Requires Stakeholder Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-6F16CFC1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,1.0,Not Suitable for Decision Use,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-8054D0D2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-E26BB0BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-27A84875,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-77F5B128,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-2AD46377,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-27406133,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,1.0,Requires Financial Input,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-2F46BDA0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-50D36361,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-221F20FD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-436BCC12,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,1.0,Ready for Integrated Management Review,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-8B555102,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,1.0,Requires Benefit Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-FD50CFA5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,1.0,Requires Additional Scenario Analysis,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-05D55BD5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-66CF1A4D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-2E31C682,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,1.0,Not Suitable for Decision Use,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-61A643C4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,1.0,Non-Quantitative,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-1F90963F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,1.0,Requires Stakeholder Validation,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-90B45E8E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-39CEA02A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,1.0,Ready with Conditions,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-299A4312,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-B8173EFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-94BA9C38,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-EADBF5DD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-CCA0696C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-F2DA9A1E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-BECC2517,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-6620E414,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-12463B32,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-E41D3A40,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-F3D2FC5D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-269462BE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-1B865201,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-F83DB881,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-55C9586D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-B379C516,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-BC7DD7C0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-258051E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-2CD3552B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-29BD8DC4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-EACFAC37,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-CD444A27,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
HST-0918E930,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,1.0,Monitoring Only,,General Queue,Pending Management Review,,,,,,,,,,Initial Governed State,No historical decisions invented
