evidence_completeness_id,decision_evidence_profile_id,decision_package_id,expected_evidence_category_count,available_evidence_category_count,conditional_evidence_category_count,missing_evidence_category_count,critical_missing_evidence_count,evidence_coverage_pct,evidence_completeness_status,management_use_limitation,governance_note
EVC-9E3FE04E,EVP-1522DB02,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-84C1ABB9,EVP-D2C56DE0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-B2D98E1C,EVP-6536A98F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-466323BA,EVP-6BD47B07,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-0E38A941,EVP-38BC3D2D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-18FB7D2E,EVP-E97125F4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-7744F7E7,EVP-35CAD127,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-F18E3F25,EVP-D1256BFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-2EB066BC,EVP-7E15635D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-F09BEB73,EVP-455633B3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-0AD2675C,EVP-C2B0FF08,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-F7A46B1A,EVP-432333BE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-AA70AC6F,EVP-9433FEBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-6427CBBE,EVP-EE22A030,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-3B630D7E,EVP-7987109B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-68DBB448,EVP-50D03745,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-9B99E078,EVP-78F172BE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-85C08DA4,EVP-FEB78607,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-3BB6BCCF,EVP-0D098FF6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-21613E2F,EVP-2BC16114,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-2CD746B2,EVP-39B8A433,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-1B143CD8,EVP-207BB9CC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-FCD97189,EVP-7784E74F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-023EB81E,EVP-9FADD9C5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-6D08082B,EVP-9CE19F00,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-BA92A9AB,EVP-8186C30E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C292C61A,EVP-80D8C8A3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-5222A1CD,EVP-86BDB905,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-13909B9C,EVP-7E7FB542,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-828788D3,EVP-958234E4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-74852DA9,EVP-E904D992,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-041AC58E,EVP-7484428C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-A368A3FC,EVP-396BE1A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-6387AB7A,EVP-40731416,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-014D67A7,EVP-EAF6379F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-945F98B1,EVP-41010DBE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-B17415C8,EVP-F7363BAD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-D1D2B811,EVP-DCD466E5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-DF3DDA7B,EVP-5319ABD2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-18535316,EVP-9A3B1CAD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-EC8642DB,EVP-8830DAFE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C1A17070,EVP-65DC9F18,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-2DDABD2C,EVP-4178E61D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C3BFA0F7,EVP-999C4A09,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-8969860C,EVP-F1A9F8D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-147BF34B,EVP-A8A493CE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-42EABAE2,EVP-54939543,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-89627F08,EVP-93A61297,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-8DA7559B,EVP-EF413523,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-2CA3D33F,EVP-ED2E16BE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-ACEE6600,EVP-C2759EAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-4FA8586F,EVP-C27AB1EE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-8F7DAA3C,EVP-C0763A8A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-A309564C,EVP-698280F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-BA7B828C,EVP-3BFCCA9C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-938F96A1,EVP-EE4342E5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-16DAE897,EVP-637C62FB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-DFC0B353,EVP-39746C2F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-B4B8D20C,EVP-D58A9BF2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-1F231537,EVP-D9E78F20,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-D4E13FAD,EVP-F0FE672C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-94978ACC,EVP-C761C428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-CFDE1B80,EVP-CEE8B22F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-28EA5A44,EVP-9452C9D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-9554E7B5,EVP-C00E9FB9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-A362DADC,EVP-CB4B69FE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-48F7A2DE,EVP-9B619E83,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-BE2EC260,EVP-A8336271,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-A2A2B98B,EVP-710AACAE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-B5483726,EVP-CBD06D0D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-60E81A51,EVP-989C7FF3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-5F5515AD,EVP-947F6AAD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,28,27,22,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-50907827,EVP-E5EBDCDD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-7A889A95,EVP-B75D0D09,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-28842769,EVP-C24AD872,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-E3D53030,EVP-EE944DC9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-0D67E5D4,EVP-76E6AABB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C1E3183E,EVP-B338E365,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-063D90D3,EVP-2ACCFA03,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-9E2CDDB6,EVP-C4629BA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-A40BF00C,EVP-C0852EDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-7230EFF5,EVP-41F8F15C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-49D3F3D7,EVP-A40EEE98,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C167DA57,EVP-BFA3653B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-9C0F9D56,EVP-0AC6755B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-F15C488D,EVP-D73B63E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C4F1482A,EVP-13425178,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-D40F4CEF,EVP-47D02632,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-A7A630BF,EVP-C25D2B9C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-53938792,EVP-1B5571C5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C4CC22BA,EVP-537F33D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C17B7FB0,EVP-29BCD731,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-C9EF8EFB,EVP-EE2C63CE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-34F40FB5,EVP-3FC92C97,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-0EB6E7F4,EVP-D2322ECA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-02219F9E,EVP-1C525AD7,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-5A74D48F,EVP-B529299F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-6380B65D,EVP-B7BEECC5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-85A627BB,EVP-23E3CA6C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-5BAF2FDD,EVP-E849160B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-3759CBAB,EVP-AE61FCAD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-378D32A4,EVP-3A47F1EE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-1DEB6B97,EVP-6A9EE945,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-D43EDE22,EVP-58CACC53,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-78847FB8,EVP-D917D1A5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-2E5C2D28,EVP-ACB5FB21,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-EB6B2558,EVP-027488B8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-1E2BE187,EVP-585166F1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-5D63A7FA,EVP-582E40F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-57F15355,EVP-276F9147,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-AB6B8C5C,EVP-C93731EA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-D5E84F5C,EVP-CCADD281,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-19975918,EVP-BF67D6F9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
EVC-A2C75845,EVP-2CC5FEA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,28,26,21,0,0,100.0,Complete,None,Evidence completeness assessed from available references
