integrated_management_brief_id,decision_package_id,decision_lineage_profile_id,lineage_completeness_status,orphaned_lineage_flag,governance_note
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,LNP-FEEBE849,Complete,False,Brief lineage cross-reference
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,LNP-778F3183,Complete,False,Brief lineage cross-reference
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,LNP-A3BE8ECF,Complete,False,Brief lineage cross-reference
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,LNP-DDBCD881,Complete,False,Brief lineage cross-reference
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,LNP-88D57CFF,Complete,False,Brief lineage cross-reference
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,LNP-6303D21C,Complete,False,Brief lineage cross-reference
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,LNP-90AAF28B,Complete,False,Brief lineage cross-reference
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,LNP-EFEFD958,Complete,False,Brief lineage cross-reference
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,LNP-187E11E3,Complete,False,Brief lineage cross-reference
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,LNP-472A8276,Complete,False,Brief lineage cross-reference
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,LNP-65250DE0,Complete,False,Brief lineage cross-reference
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,LNP-3786F493,Complete,False,Brief lineage cross-reference
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,LNP-E917A52E,Complete,False,Brief lineage cross-reference
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,LNP-9320F6E0,Complete,False,Brief lineage cross-reference
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,LNP-9ED8A268,Complete,False,Brief lineage cross-reference
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,LNP-718A9A28,Complete,False,Brief lineage cross-reference
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,LNP-CC1AFED0,Complete,False,Brief lineage cross-reference
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,LNP-CD290A40,Complete,False,Brief lineage cross-reference
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,LNP-6D5631EF,Complete,False,Brief lineage cross-reference
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,LNP-96C21F0B,Complete,False,Brief lineage cross-reference
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,LNP-28EA344C,Complete,False,Brief lineage cross-reference
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,LNP-67B6C6E5,Complete,False,Brief lineage cross-reference
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,LNP-268FB476,Complete,False,Brief lineage cross-reference
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,LNP-E401B992,Complete,False,Brief lineage cross-reference
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,LNP-FF8FF82E,Complete,False,Brief lineage cross-reference
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,LNP-8AE147FC,Complete,False,Brief lineage cross-reference
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,LNP-E5C31810,Complete,False,Brief lineage cross-reference
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,LNP-A8AD6A8F,Complete,False,Brief lineage cross-reference
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,LNP-D43F0AFD,Complete,False,Brief lineage cross-reference
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,LNP-A8D8F772,Complete,False,Brief lineage cross-reference
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,LNP-C80E4143,Complete,False,Brief lineage cross-reference
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,LNP-A2651819,Complete,False,Brief lineage cross-reference
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,LNP-6FE7EA3E,Complete,False,Brief lineage cross-reference
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,LNP-653B506E,Complete,False,Brief lineage cross-reference
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,LNP-FA7631BE,Complete,False,Brief lineage cross-reference
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,LNP-72818609,Complete,False,Brief lineage cross-reference
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,LNP-76DE88EE,Complete,False,Brief lineage cross-reference
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,LNP-44DD3027,Complete,False,Brief lineage cross-reference
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,LNP-3C111059,Complete,False,Brief lineage cross-reference
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,LNP-9EDA254E,Complete,False,Brief lineage cross-reference
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,LNP-3E13017B,Complete,False,Brief lineage cross-reference
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,LNP-54501AEA,Complete,False,Brief lineage cross-reference
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,LNP-3D6DBD40,Complete,False,Brief lineage cross-reference
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,LNP-57030FC5,Complete,False,Brief lineage cross-reference
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,LNP-B25FFD49,Complete,False,Brief lineage cross-reference
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,LNP-841D25D2,Complete,False,Brief lineage cross-reference
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,LNP-AED6800F,Complete,False,Brief lineage cross-reference
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,LNP-8F87FB4B,Complete,False,Brief lineage cross-reference
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,LNP-65618CEB,Complete,False,Brief lineage cross-reference
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,LNP-61D0A624,Complete,False,Brief lineage cross-reference
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,LNP-22206510,Complete,False,Brief lineage cross-reference
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,LNP-A440C007,Complete,False,Brief lineage cross-reference
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,LNP-604031F5,Complete,False,Brief lineage cross-reference
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,LNP-62437778,Complete,False,Brief lineage cross-reference
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,LNP-04694719,Complete,False,Brief lineage cross-reference
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,LNP-DDE3CD75,Complete,False,Brief lineage cross-reference
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,LNP-C98A173A,Complete,False,Brief lineage cross-reference
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,LNP-16C36AC2,Complete,False,Brief lineage cross-reference
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,LNP-F9125679,Complete,False,Brief lineage cross-reference
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,LNP-4AE8F19D,Complete,False,Brief lineage cross-reference
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,LNP-CA80EE62,Complete,False,Brief lineage cross-reference
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,LNP-7B28F47A,Complete,False,Brief lineage cross-reference
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,LNP-ECB87FBA,Complete,False,Brief lineage cross-reference
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,LNP-51FCFAD7,Complete,False,Brief lineage cross-reference
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,LNP-E3C9FE27,Complete,False,Brief lineage cross-reference
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,LNP-D1BA227A,Complete,False,Brief lineage cross-reference
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,LNP-B492EFA1,Complete,False,Brief lineage cross-reference
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,LNP-35E06B3D,Complete,False,Brief lineage cross-reference
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,LNP-7BDBBB24,Complete,False,Brief lineage cross-reference
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,LNP-31EA747F,Complete,False,Brief lineage cross-reference
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,LNP-5C159253,Complete,False,Brief lineage cross-reference
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,LNP-DE889311,Complete,False,Brief lineage cross-reference
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,LNP-8E57F19B,Complete,False,Brief lineage cross-reference
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,LNP-0C760690,Complete,False,Brief lineage cross-reference
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,LNP-A1B463C7,Complete,False,Brief lineage cross-reference
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,LNP-92D9ABB7,Complete,False,Brief lineage cross-reference
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,LNP-72F7E9ED,Complete,False,Brief lineage cross-reference
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,LNP-3487D2FE,Complete,False,Brief lineage cross-reference
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,LNP-7AB2BA2C,Complete,False,Brief lineage cross-reference
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,LNP-BE4546EE,Complete,False,Brief lineage cross-reference
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,LNP-E0D457D7,Complete,False,Brief lineage cross-reference
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,LNP-E6704B9C,Complete,False,Brief lineage cross-reference
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,LNP-79C81F77,Complete,False,Brief lineage cross-reference
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,LNP-7DFFD2D1,Complete,False,Brief lineage cross-reference
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,LNP-AC66540D,Complete,False,Brief lineage cross-reference
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,LNP-4C8CE2B3,Complete,False,Brief lineage cross-reference
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,LNP-455BE8B2,Complete,False,Brief lineage cross-reference
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,LNP-7797B25F,Complete,False,Brief lineage cross-reference
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,LNP-44F6099C,Complete,False,Brief lineage cross-reference
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,LNP-8576E09F,Complete,False,Brief lineage cross-reference
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,LNP-2278C97D,Complete,False,Brief lineage cross-reference
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,LNP-5ED2FE58,Complete,False,Brief lineage cross-reference
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,LNP-5524EF41,Complete,False,Brief lineage cross-reference
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,LNP-8BBC76A7,Complete,False,Brief lineage cross-reference
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,LNP-18E9AB2C,Complete,False,Brief lineage cross-reference
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,LNP-CDBC405B,Complete,False,Brief lineage cross-reference
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,LNP-D0B61E45,Complete,False,Brief lineage cross-reference
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,LNP-AD226E20,Complete,False,Brief lineage cross-reference
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,LNP-F6AD2BBF,Complete,False,Brief lineage cross-reference
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,LNP-16BB1AC7,Complete,False,Brief lineage cross-reference
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,LNP-BC4172FB,Complete,False,Brief lineage cross-reference
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,LNP-4B510ACD,Complete,False,Brief lineage cross-reference
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,LNP-9ED16FFA,Complete,False,Brief lineage cross-reference
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,LNP-507E0EB9,Complete,False,Brief lineage cross-reference
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,LNP-388DEFC3,Complete,False,Brief lineage cross-reference
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,LNP-BCFF85C8,Complete,False,Brief lineage cross-reference
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,LNP-35F2CE65,Complete,False,Brief lineage cross-reference
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,LNP-D4E4F332,Complete,False,Brief lineage cross-reference
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,LNP-854DA6DF,Complete,False,Brief lineage cross-reference
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,LNP-9061C56B,Complete,False,Brief lineage cross-reference
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,LNP-3A6204EB,Complete,False,Brief lineage cross-reference
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,LNP-98A842E7,Complete,False,Brief lineage cross-reference
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,LNP-34083329,Complete,False,Brief lineage cross-reference
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,LNP-18599CBF,Complete,False,Brief lineage cross-reference
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,LNP-3977180E,Complete,False,Brief lineage cross-reference
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,LNP-4CD43E86,Complete,False,Brief lineage cross-reference
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,LNP-AF08A011,Complete,False,Brief lineage cross-reference
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,LNP-EDF44E32,Complete,False,Brief lineage cross-reference
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,LNP-0BC99A4C,Complete,False,Brief lineage cross-reference
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,LNP-F2C9B4AA,Complete,False,Brief lineage cross-reference
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,LNP-45FFECEE,Complete,False,Brief lineage cross-reference
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,LNP-F81F477E,Complete,False,Brief lineage cross-reference
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,LNP-A763F12C,Complete,False,Brief lineage cross-reference
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,LNP-916105F8,Complete,False,Brief lineage cross-reference
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,LNP-C030F107,Complete,False,Brief lineage cross-reference
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,LNP-FF8EF491,Complete,False,Brief lineage cross-reference
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,LNP-5F70103C,Complete,False,Brief lineage cross-reference
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,LNP-C68421C0,Complete,False,Brief lineage cross-reference
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,LNP-D5994392,Complete,False,Brief lineage cross-reference
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,LNP-193F2B5D,Complete,False,Brief lineage cross-reference
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,LNP-21457059,Complete,False,Brief lineage cross-reference
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,LNP-91C4CBBB,Complete,False,Brief lineage cross-reference
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,LNP-E3A4910C,Complete,False,Brief lineage cross-reference
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,LNP-308AB1D4,Complete,False,Brief lineage cross-reference
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,LNP-6BAE92FE,Complete,False,Brief lineage cross-reference
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,LNP-3E7DE003,Complete,False,Brief lineage cross-reference
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,LNP-944CEF65,Complete,False,Brief lineage cross-reference
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,LNP-5441D385,Complete,False,Brief lineage cross-reference
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,LNP-6D32A1D5,Complete,False,Brief lineage cross-reference
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,LNP-570573F9,Complete,False,Brief lineage cross-reference
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,LNP-DF8DBC9B,Complete,False,Brief lineage cross-reference
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,LNP-DB477572,Complete,False,Brief lineage cross-reference
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,LNP-A4300D38,Complete,False,Brief lineage cross-reference
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,LNP-56C024DD,Complete,False,Brief lineage cross-reference
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,LNP-21504BDD,Complete,False,Brief lineage cross-reference
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,LNP-BE36BC21,Complete,False,Brief lineage cross-reference
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,LNP-15F7E8A6,Complete,False,Brief lineage cross-reference
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,LNP-2EAFEF5D,Complete,False,Brief lineage cross-reference
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,LNP-432AE269,Complete,False,Brief lineage cross-reference
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,LNP-8C08DF79,Complete,False,Brief lineage cross-reference
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,LNP-FF839340,Complete,False,Brief lineage cross-reference
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,LNP-C4356862,Complete,False,Brief lineage cross-reference
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,LNP-2D46846C,Complete,False,Brief lineage cross-reference
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,LNP-A2072150,Complete,False,Brief lineage cross-reference
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,LNP-F24CAFA4,Complete,False,Brief lineage cross-reference
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,LNP-4D5911C7,Complete,False,Brief lineage cross-reference
IMB-C78EF025,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,LNP-F86F83AB,Complete,False,Brief lineage cross-reference
IMB-C99E0A26,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,LNP-61375C57,Complete,False,Brief lineage cross-reference
IMB-C64D83FA,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,LNP-45074A3B,Complete,False,Brief lineage cross-reference
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,LNP-FADF4F22,Complete,False,Brief lineage cross-reference
IMB-8C653F7D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,LNP-81467284,Complete,False,Brief lineage cross-reference
