decision_package_id,approval_package_id,integrated_decision_id,episode_id,hospital_id,department_id,dominant_kpi_id,dominant_kpi_name,scenario_family,package_status,department_name,decision_scorecard_id,scorecard_version,scorecard_status,approval_status
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,EP-HOSP-001-DEPT-ADM-kpi_002-20260330,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,EP-HOSP-001-DEPT-ADM-kpi_002-20260529,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,EP-HOSP-001-DEPT-ADM-kpi_002-20260611,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,EP-HOSP-001-DEPT-ADM-kpi_002-20260620,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,EP-HOSP-001-DEPT-ADM-kpi_002-20260624,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,EP-HOSP-001-DEPT-ADM-kpi_002-20260710,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,EP-HOSP-001-DEPT-ADM-kpi_002-20260716,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,EP-HOSP-001-DEPT-ADM-kpi_002-20260814,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,EP-HOSP-001-DEPT-ADM-kpi_002-20260925,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,EP-HOSP-001-DEPT-ADM-kpi_002-20261019,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,EP-HOSP-001-DEPT-ADM-kpi_002-20261102,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,EP-HOSP-001-DEPT-ADM-kpi_002-20261114,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,EP-HOSP-001-DEPT-ADM-kpi_002-20261121,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,EP-HOSP-001-DEPT-ADM-kpi_002-20261214,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,EP-HOSP-001-DEPT-ADM-kpi_002-20261225,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,EP-HOSP-001-DEPT-ADM-kpi_006-20260325,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,EP-HOSP-001-DEPT-ADM-kpi_006-20260404,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,EP-HOSP-001-DEPT-ADM-kpi_006-20260408,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,EP-HOSP-001-DEPT-ADM-kpi_006-20260413,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,EP-HOSP-001-DEPT-ADM-kpi_006-20260424,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,EP-HOSP-001-DEPT-ADM-kpi_006-20260509,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,EP-HOSP-001-DEPT-ADM-kpi_006-20260618,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,EP-HOSP-001-DEPT-ADM-kpi_006-20260623,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,EP-HOSP-001-DEPT-ADM-kpi_006-20260629,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,EP-HOSP-001-DEPT-ADM-kpi_006-20260703,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,EP-HOSP-001-DEPT-ADM-kpi_006-20260709,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,EP-HOSP-001-DEPT-ADM-kpi_006-20260719,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,EP-HOSP-001-DEPT-ADM-kpi_006-20260809,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,EP-HOSP-001-DEPT-ADM-kpi_006-20260824,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,EP-HOSP-001-DEPT-ADM-kpi_006-20260904,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,EP-HOSP-001-DEPT-ADM-kpi_006-20260923,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,EP-HOSP-001-DEPT-ADM-kpi_006-20260928,HOSP-001,DEPT-ADM,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,1.0,Active,Pending Management Review
