source_to_decision_trace_id,decision_package_id,trace_summary,source_phase_path,source_record_path,transformation_path,configuration_version_path,evidence_reference_path,lineage_reference_path,trace_status,trace_limitation,governance_note
TRC-C39F6D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20260822_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Complete,,Trace does not claim completed management decision
TRC-CC1DA837,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20261012_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Complete,,Trace does not claim completed management decision
TRC-B2C435FE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20261021_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Complete,,Trace does not claim completed management decision
TRC-D72892EC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20261127_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Partial,Limited by readiness status: Requires Evidence Completion,Trace does not claim completed management decision
TRC-18D87D22,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20261205_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Complete,,Trace does not claim completed management decision
TRC-8B6A9B88,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_001-20261220_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Partial,Limited by readiness status: Requires Evidence Completion,Trace does not claim completed management decision
TRC-FB3DCEB8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260202_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Partial,Limited by readiness status: Requires Lineage Completion,Trace does not claim completed management decision
TRC-D52E9A02,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260206_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Complete,,Trace does not claim completed management decision
TRC-0F88FD89,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260330_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Partial,Limited by readiness status: Requires Additional Scenario Analysis,Trace does not claim completed management decision
TRC-58163879,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260409_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Complete,,Trace does not claim completed management decision
TRC-B2E9AFBA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260524_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Complete,,Trace does not claim completed management decision
TRC-4182CA12,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260529_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Complete,,Trace does not claim completed management decision
TRC-0E249043,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260611_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Complete,,Trace does not claim completed management decision
TRC-AF9DD0DC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260620_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Complete,,Trace does not claim completed management decision
TRC-256A02BB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260624_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Complete,,Trace does not claim completed management decision
TRC-BD6AE776,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260710_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Partial,Limited by readiness status: Requires Stakeholder Validation,Trace does not claim completed management decision
TRC-C4D0C899,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260716_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Partial,Limited by readiness status: Requires Stakeholder Validation,Trace does not claim completed management decision
TRC-9DB58847,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260814_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Complete,,Trace does not claim completed management decision
TRC-22558861,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Source data -> Processed data -> KPI calculation -> Threshold/trend analysis -> Risk prioritisation -> Contributing-factor analysis -> Recommendation generation -> Recommendation validation -> Approval-package preparation -> Scenario modelling -> Scenario validation -> Financial analysis -> Decision integration -> Decision package -> Scorecard -> Readiness assessment -> Action routing,1 -> 2A -> 2B -> 2C-1 -> 2C-2 -> 2C-3 -> 2D-1 -> 2D-2 -> 2D-3 -> 2D-4 -> 2D-5,episode_EP-HOSP-001-DEPT-ADM-kpi_002-20260925_hospital_HOSP-001_dept_DEPT-ADM,TXF-1 through TXF-17,1.0,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,LNP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Partial,Limited by readiness status: Requires Baseline Validation,Trace does not claim completed management decision
