integrated_management_brief_id,decision_package_id,hospital_id,hospital_name,department_id,department_name,risk_tier,readiness_status,management_attention_level,urgency,primary_queue,scenario_summary_availability,financial_readiness,evidence_warning,action_queue_summary
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251012,HOSP-001,,DEPT-ADM,Admissions,51.9,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251021,HOSP-001,,DEPT-ADM,Admissions,61.93,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251127,HOSP-001,,DEPT-ADM,Admissions,65.83,Requires Evidence Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251205,HOSP-001,,DEPT-ADM,Admissions,81.87,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251220,HOSP-001,,DEPT-ADM,Admissions,87.21,Requires Evidence Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250202,HOSP-001,,DEPT-ADM,Admissions,68.17,Requires Lineage Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250206,HOSP-001,,DEPT-ADM,Admissions,75.18,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250330,HOSP-001,,DEPT-ADM,Admissions,64.57,Requires Additional Scenario Analysis,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250409,HOSP-001,,DEPT-ADM,Admissions,65.76,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250524,HOSP-001,,DEPT-ADM,Admissions,78.87,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250529,HOSP-001,,DEPT-ADM,Admissions,53.88,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250611,HOSP-001,,DEPT-ADM,Admissions,76.21,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250620,HOSP-001,,DEPT-ADM,Admissions,71.42,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250624,HOSP-001,,DEPT-ADM,Admissions,83.34,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250710,HOSP-001,,DEPT-ADM,Admissions,56.55,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250716,HOSP-001,,DEPT-ADM,Admissions,79.81,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250814,HOSP-001,,DEPT-ADM,Admissions,57.06,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250925,HOSP-001,,DEPT-ADM,Admissions,84.53,Requires Baseline Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251019,HOSP-001,,DEPT-ADM,Admissions,50.01,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251102,HOSP-001,,DEPT-ADM,Admissions,62.55,Requires Financial Input,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251114,HOSP-001,,DEPT-ADM,Admissions,59.55,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251121,HOSP-001,,DEPT-ADM,Admissions,57.91,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251214,HOSP-001,,DEPT-ADM,Admissions,53.18,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251225,HOSP-001,,DEPT-ADM,Admissions,56.37,Ready with Conditions,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250130,HOSP-001,,DEPT-ADM,Admissions,73.72,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250214,HOSP-001,,DEPT-ADM,Admissions,59.12,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250325,HOSP-001,,DEPT-ADM,Admissions,62.07,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250404,HOSP-001,,DEPT-ADM,Admissions,53.1,Monitoring Only,Monitoring,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250408,HOSP-001,,DEPT-ADM,Admissions,77.68,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250413,HOSP-001,,DEPT-ADM,Admissions,78.87,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250424,HOSP-001,,DEPT-ADM,Admissions,50.63,Monitoring Only,Monitoring,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250509,HOSP-001,,DEPT-ADM,Admissions,55.27,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250618,HOSP-001,,DEPT-ADM,Admissions,76.48,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250623,HOSP-001,,DEPT-ADM,Admissions,62.67,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250629,HOSP-001,,DEPT-ADM,Admissions,51.22,Monitoring Only,Monitoring,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250703,HOSP-001,,DEPT-ADM,Admissions,91.43,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250709,HOSP-001,,DEPT-ADM,Admissions,56.55,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250719,HOSP-001,,DEPT-ADM,Admissions,72.93,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250809,HOSP-001,,DEPT-ADM,Admissions,55.86,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250824,HOSP-001,,DEPT-ADM,Admissions,57.93,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250904,HOSP-001,,DEPT-ADM,Admissions,58.82,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250923,HOSP-001,,DEPT-ADM,Admissions,65.76,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250928,HOSP-001,,DEPT-ADM,Admissions,77.68,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251007,HOSP-001,,DEPT-ADM,Admissions,72.04,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251023,HOSP-001,,DEPT-ADM,Admissions,58.52,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251027,HOSP-001,,DEPT-ADM,Admissions,54.05,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251202,HOSP-001,,DEPT-ADM,Admissions,74.59,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251218,HOSP-001,,DEPT-ADM,Admissions,55.86,Monitoring Only,Monitoring,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250108,HOSP-001,,DEPT-DIAG,Diagnostics,82.24,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250401,HOSP-001,,DEPT-DIAG,Diagnostics,88.93,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250417,HOSP-001,,DEPT-DIAG,Diagnostics,80.98,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250423,HOSP-001,,DEPT-DIAG,Diagnostics,92.71,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250507,HOSP-001,,DEPT-DIAG,Diagnostics,71.7,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250511,HOSP-001,,DEPT-DIAG,Diagnostics,61.69,Requires Evidence Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250520,HOSP-001,,DEPT-DIAG,Diagnostics,57.32,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250606,HOSP-001,,DEPT-DIAG,Diagnostics,55.83,Requires Additional Scenario Analysis,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250610,HOSP-001,,DEPT-DIAG,Diagnostics,77.73,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250619,HOSP-001,,DEPT-DIAG,Diagnostics,88.72,Requires Assumption Validation,Conditional Review,Immediate Review,General Queue,Unavailable,,,General Queue
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250704,HOSP-001,,DEPT-DIAG,Diagnostics,61.4,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250723,HOSP-001,,DEPT-DIAG,Diagnostics,94.49,Requires Evidence Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250804,HOSP-001,,DEPT-DIAG,Diagnostics,56.97,Requires Benefit Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250810,HOSP-001,,DEPT-DIAG,Diagnostics,70.46,Requires Lineage Completion,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250901,HOSP-001,,DEPT-DIAG,Diagnostics,65.39,Requires Baseline Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250912,HOSP-001,,DEPT-DIAG,Diagnostics,85.42,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251023,HOSP-001,,DEPT-DIAG,Diagnostics,59.75,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251031,HOSP-001,,DEPT-DIAG,Diagnostics,56.7,Requires Assumption Validation,Conditional Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251108,HOSP-001,,DEPT-DIAG,Diagnostics,79.1,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250122,HOSP-001,,DEPT-DIAG,Diagnostics,53.29,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250328,HOSP-001,,DEPT-DIAG,Diagnostics,55.58,Requires Baseline Validation,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250409,HOSP-001,,DEPT-DIAG,Diagnostics,79.13,Requires Additional Scenario Analysis,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250422,HOSP-001,,DEPT-DIAG,Diagnostics,60.84,Ready with Conditions,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250426,HOSP-001,,DEPT-DIAG,Diagnostics,79.04,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250515,HOSP-001,,DEPT-DIAG,Diagnostics,72.52,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250521,HOSP-001,,DEPT-DIAG,Diagnostics,62.27,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250615,HOSP-001,,DEPT-DIAG,Diagnostics,88.41,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250621,HOSP-001,,DEPT-DIAG,Diagnostics,64.25,Requires Lineage Completion,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250626,HOSP-001,,DEPT-DIAG,Diagnostics,86.39,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250720,HOSP-001,,DEPT-DIAG,Diagnostics,69.11,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250727,HOSP-001,,DEPT-DIAG,Diagnostics,69.69,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250910,HOSP-001,,DEPT-DIAG,Diagnostics,74.3,Not Suitable for Decision Use,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250915,HOSP-001,,DEPT-DIAG,Diagnostics,74.69,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250921,HOSP-001,,DEPT-DIAG,Diagnostics,50.71,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250930,HOSP-001,,DEPT-DIAG,Diagnostics,56.3,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251015,HOSP-001,,DEPT-DIAG,Diagnostics,52.75,Ready for Integrated Management Review,Standard Management Review,Immediate Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251019,HOSP-001,,DEPT-DIAG,Diagnostics,58.46,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251027,HOSP-001,,DEPT-DIAG,Diagnostics,79.24,Requires Financial Input,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251111,HOSP-001,,DEPT-DIAG,Diagnostics,51.9,Ready with Conditions,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251115,HOSP-001,,DEPT-DIAG,Diagnostics,77.89,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251126,HOSP-001,,DEPT-DIAG,Diagnostics,60.7,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251202,HOSP-001,,DEPT-DIAG,Diagnostics,55.05,Ready for Integrated Management Review,Standard Management Review,Prompt Review,General Queue,Available,Ready for Financial Comparison,,General Queue
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251207,HOSP-001,,DEPT-DIAG,Diagnostics,58.2,Requires Benefit Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251227,HOSP-001,,DEPT-DIAG,Diagnostics,56.8,Requires Additional Scenario Analysis,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250402,HOSP-001,,DEPT-DIAG,Diagnostics,63.27,Ready with Conditions,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250412,HOSP-001,,DEPT-DIAG,Diagnostics,57.93,Ready with Conditions,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250421,HOSP-001,,DEPT-DIAG,Diagnostics,56.82,Not Suitable for Decision Use,Conditional Review,Prompt Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250428,HOSP-001,,DEPT-DIAG,Diagnostics,52.94,Non-Quantitative,Non-Quantitative Review,Prompt Review,General Queue,Unavailable,,,General Queue
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250531,HOSP-001,,DEPT-DIAG,Diagnostics,87.24,Requires Stakeholder Validation,Conditional Review,Immediate Review,General Queue,Unavailable,Ready for Financial Comparison,,General Queue
