integrated_management_brief_id,decision_package_id,scenario_readiness,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,comparator_completeness,comparator_consistency,scenario_validation_status,scenario_confidence
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,1.0,Baseline value: 73.91304347826086,Estimated impact: 8.695652173913047%,Estimated impact: 21.739130434782624%,Estimated impact: 26.08695652173914%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,1.0,Baseline value: 80.95238095238095,Estimated impact: 9.523809523809533%,Estimated impact: 19.04761904761905%,Estimated impact: 19.04761904761905%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,1.0,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,1.0,Baseline value: 79.94987468671678,Estimated impact: 10.050125313283218%,Estimated impact: 20.050125313283218%,Estimated impact: 20.050125313283218%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,1.0,Baseline value: 17.857142857142854,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,1.0,Baseline value: 15.789473684210526,Estimated impact: -10.000000000000004%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,1.0,Baseline value: 23.809523809523807,Estimated impact: -9.999999999999996%,Estimated impact: -19.99999999999999%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,1.0,Baseline value: 21.052631578947366,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,1.0,Baseline value: 18.181818181818183,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,1.0,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,1.0,Baseline value: 78.57142857142857,Estimated impact: 14.285714285714292%,Estimated impact: 21.42857142857143%,Estimated impact: 21.42857142857143%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,1.0,Baseline value: 76.92307692307693,Estimated impact: 15.384615384615373%,Estimated impact: 23.076923076923062%,Estimated impact: 23.076923076923062%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,1.0,Baseline value: 78.4090909090909,Estimated impact: 17.243083003952577%,Estimated impact: 21.590909090909093%,Estimated impact: 21.590909090909093%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,1.0,Baseline value: 76.92307692307693,Estimated impact: 15.384615384615373%,Estimated impact: 23.076923076923062%,Estimated impact: 23.076923076923062%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,1.0,Baseline value: 78.57142857142857,Estimated impact: 14.285714285714292%,Estimated impact: 21.42857142857143%,Estimated impact: 21.42857142857143%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,1.0,Baseline value: 33.33333333333333,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,1.0,Baseline value: 24.03846153846154,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,1.0,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,1.0,Baseline value: 11.794871794871796,Estimated impact: -9.999999999999991%,Estimated impact: -20.000000000000004%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,1.0,Baseline value: 21.428571428571427,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,1.0,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,0.0,,,,,,Inconsistent or Not Assessed,,
