integrated_management_brief_id,decision_package_id,hospital_name,department_name,dominant_kpi_name,risk_tier,urgency,management_attention_level,final_readiness_status,approval_status,brief_title,executive_headline,current_issue_summary,why_it_matters,representative_recommendation,immediate_action_option,near_term_action_option,preventive_action_option,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,displacement_risk,estimated_scenario_cost,estimated_financial_benefit,estimated_net_financial_impact,lower_financial_estimate,central_financial_estimate,upper_financial_estimate,financial_confidence,affordability_status,main_blocking_condition,top_secondary_conditions,failed_gates,required_resolution,primary_permitted_action,secondary_permitted_actions,escalation_status,monitoring_required,top_management_questions,blocking_question_count,causality_status,provisional_warning,contradiction_warning,evidence_completeness_status,lineage_completeness_status,future_audit_status,display_colour,display_icon,display_priority
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Requires Additional Scenario Analysis,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Additional Scenario,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,,Admissions,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,Baseline value: 17.857142857142854,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,,Admissions,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,Baseline value: 15.789473684210526,Estimated impact: -10.000000000000004%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,,Admissions,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,Baseline value: 23.809523809523807,Estimated impact: -9.999999999999996%,Estimated impact: -19.99999999999999%,Estimated impact: -35.0%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Requires Stakeholder Validation,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Stakeholder Review,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Requires Stakeholder Validation,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Request Stakeholder Review,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,,Admissions,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,Baseline value: 21.052631578947366,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Requires Baseline Validation,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Validate Baseline,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,,Admissions,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,Baseline value: 18.181818181818183,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Requires Financial Input,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Validate Financial Inputs,,Standard Review,False,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,,Admissions,Staff Absenteeism Rate,,,Standard Management Review,Ready for Integrated Management Review,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Standard Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,,Admissions,Staff Absenteeism Rate,,,Conditional Review,Ready with Conditions,Pending Management Review,Integrated Management Brief: Admissions Staff Absenteeism Rate Attention,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,Moderate,,,,,,Review Integrated Decision Package,,Priority Review,True,,0,Not Confirmed,False; False; False; False; False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,,Admissions,Patient Satisfaction Score,,,Monitoring,Monitoring Only,Pending Management Review,Integrated Management Brief: Admissions Patient Satisfaction Score Attention,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,,,,,,,,,,0.0,,,,,,,,,,,,,Continue Monitoring,,Monitoring,True,,0,Not Confirmed,False; False,,Complete,Complete,Awaiting Management Action,grey,clock,1
