monitoring_action_id,decision_action_routing_id,decision_package_id,monitoring_required,monitoring_kpi,monitoring_frequency,trigger_condition,escalation_condition,reassessment_condition,responsible_role,reporting_requirement,current_status,governance_note
MON-3573C80C,DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,False,Staff Absenteeism Rate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-BFD45EAA,DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-F24A5A71,DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,False,Staff Absenteeism Rate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-00FBC73E,DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-6542D6FA,DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-AF08ED6D,DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-D2C8E235,DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-3F762E35,DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-E5AB70F0,DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-F8E52988,DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-99F1BDB7,DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-6A97BFDC,DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-1E344F41,DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-EDDAD1BC,DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-BD40B967,DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-D36D38D1,DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-C0EBFF73,DAR-CB39AB43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-2431CB27,DAR-6ED1DB35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-CA84C7B0,DAR-7F544C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-B5D2F445,DAR-0F51E482,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-59661E8E,DAR-28B6521A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-2F12DF15,DAR-9DFEFBA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-B711E0B4,DAR-D30299F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-ABCF299D,DAR-577044F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-00D9CC0D,DAR-3A1905CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-8485C1FF,DAR-74B2FAB6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-FD0550D0,DAR-65FFC947,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-43135B96,DAR-F69D881E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-915317DE,DAR-A088C72F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-3136809E,DAR-1FC88CEB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-D39D9538,DAR-85B425D8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,True,Patient Satisfaction Score,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-9D58642B,DAR-1A8CB370,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-F1577CFB,DAR-A904BCBD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-F7CAFEFB,DAR-CBFB2A12,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-66D9A8DB,DAR-44D140E9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-FD325367,DAR-D58E9BD2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-DB92AA40,DAR-FA6D78BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,False,Staffing Level,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-D0A7A4E3,DAR-F58A9C34,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-65B8A1C6,DAR-0B68089C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,False,Staffing Level,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-6E844BED,DAR-EA4053CB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-2CE55310,DAR-98726969,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-9CE721AB,DAR-C3E2A005,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-9E8D970F,DAR-43A3A727,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,False,Staffing Level,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-BAEFDE63,DAR-4E0233B3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,False,Staffing Level,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-712F20BA,DAR-A2184B45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,False,Staffing Level,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-154E4373,DAR-8E139A61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,False,Staffing Level,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-94F1E48D,DAR-2C86E20D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,False,Staffing Level,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-7B1FB197,DAR-CBD1AB9C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-F8B93D83,DAR-72920AE5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-0EFD6842,DAR-F151BB6D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,True,Staffing Level,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-3482BC7E,DAR-C959CF61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-A46E2B31,DAR-D86AFFC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,False,Staff Absenteeism Rate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-D1880315,DAR-A8A39E5D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,False,Staff Absenteeism Rate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-F48A117B,DAR-91888938,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-E1171ED3,DAR-47AA9CDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-3ED14812,DAR-02CD3D0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-5AFCADFE,DAR-67B60B0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-067613FE,DAR-486153C0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-7155938C,DAR-B041DB80,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,False,Staff Absenteeism Rate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-5FE0804F,DAR-8A48496A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,False,Staff Absenteeism Rate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-5C531CB2,DAR-11B3A8FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-01179226,DAR-DCA573F0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,False,Staff Absenteeism Rate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-541CBB73,DAR-8F07C192,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,False,Staff Absenteeism Rate,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Operations Manager,Not Applicable,Pending Setup,Prototype default - Pending Setup
MON-1A94F9B0,DAR-C10FA647,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-3F00E24E,DAR-EE7D0265,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-252D7F0E,DAR-654C8862,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-E477A723,DAR-6E4ECFB0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
MON-CE32D385,DAR-207414C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,True,Staff Absenteeism Rate,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,Operations Manager,Standard monitoring report,Pending Setup,Prototype default - Pending Setup
