decision_evidence_profile_id,decision_action_routing_id,decision_readiness_id,decision_scorecard_id,decision_package_id,integrated_decision_id,approval_package_id,episode_id,hospital_id,department_id,final_readiness_status,primary_action_id,primary_queue,approval_status,causality_status,governance_note
EVP-25BF7A31,DAR-0CCD9938,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,HOSP-001,DEPT-ADM,Requires Additional Scenario Analysis,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-963E80C1,DAR-D040CDC1,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-2D579C93,DAR-79C9542C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-8D3541C7,DAR-6207FB56,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-E8FDB805,DAR-C0188C2C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,HOSP-001,DEPT-ADM,Requires Evidence Completion,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-12ED26C6,DAR-7DE12342,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-8948B9DF,DAR-0065947D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,HOSP-001,DEPT-ADM,Requires Evidence Completion,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-9FE294A7,DAR-CB286D43,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,EP-HOSP-001-DEPT-ADM-kpi_002-20260202,HOSP-001,DEPT-ADM,Requires Lineage Completion,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-63A3D3E5,DAR-CC7DB954,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,EP-HOSP-001-DEPT-ADM-kpi_002-20260206,HOSP-001,DEPT-ADM,Ready with Conditions,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-15719B9F,DAR-FA923347,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,EP-HOSP-001-DEPT-ADM-kpi_002-20260330,HOSP-001,DEPT-ADM,Requires Additional Scenario Analysis,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-2C398029,DAR-22E3AC13,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,EP-HOSP-001-DEPT-ADM-kpi_002-20260409,HOSP-001,DEPT-ADM,Ready with Conditions,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-B0F96DAC,DAR-D4026F38,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,EP-HOSP-001-DEPT-ADM-kpi_002-20260524,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-3F113106,DAR-C4E6E240,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,EP-HOSP-001-DEPT-ADM-kpi_002-20260529,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-7FD5786F,DAR-F2384F54,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,EP-HOSP-001-DEPT-ADM-kpi_002-20260611,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-EB6F3E41,DAR-426B72C9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,EP-HOSP-001-DEPT-ADM-kpi_002-20260620,HOSP-001,DEPT-ADM,Ready with Conditions,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-4EC9FD2E,DAR-441332C4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,EP-HOSP-001-DEPT-ADM-kpi_002-20260624,HOSP-001,DEPT-ADM,Ready with Conditions,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-91FC52D2,DAR-82C838CB,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,EP-HOSP-001-DEPT-ADM-kpi_002-20260710,HOSP-001,DEPT-ADM,Requires Stakeholder Validation,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-64FB2738,DAR-1E4C9848,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,EP-HOSP-001-DEPT-ADM-kpi_002-20260716,HOSP-001,DEPT-ADM,Requires Stakeholder Validation,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-9327EE7B,DAR-CB035459,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,EP-HOSP-001-DEPT-ADM-kpi_002-20260814,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-61BFF5E0,DAR-AF9E3D40,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,EP-HOSP-001-DEPT-ADM-kpi_002-20260925,HOSP-001,DEPT-ADM,Requires Baseline Validation,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-11C4ADF5,DAR-5D66F99D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,EP-HOSP-001-DEPT-ADM-kpi_002-20261019,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-C57EEAB2,DAR-76298A2F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,EP-HOSP-001-DEPT-ADM-kpi_002-20261102,HOSP-001,DEPT-ADM,Requires Financial Input,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-1522DB02,DAR-5D6B7DD8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,EP-HOSP-001-DEPT-ADM-kpi_002-20261114,HOSP-001,DEPT-ADM,Ready with Conditions,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-D2C56DE0,DAR-A1061C6F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,EP-HOSP-001-DEPT-ADM-kpi_002-20261121,HOSP-001,DEPT-ADM,Ready for Integrated Management Review,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-6536A98F,DAR-16854A51,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,EP-HOSP-001-DEPT-ADM-kpi_002-20261214,HOSP-001,DEPT-ADM,Ready with Conditions,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-6BD47B07,DAR-8DC94D9B,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,EP-HOSP-001-DEPT-ADM-kpi_002-20261225,HOSP-001,DEPT-ADM,Ready with Conditions,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-38BC3D2D,DAR-117F321A,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-E97125F4,DAR-013487F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-35CAD127,DAR-5051D7C0,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,EP-HOSP-001-DEPT-ADM-kpi_006-20260325,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-D1256BFE,DAR-54DCC5FC,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,EP-HOSP-001-DEPT-ADM-kpi_006-20260404,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-7E15635D,DAR-D0CF523E,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,EP-HOSP-001-DEPT-ADM-kpi_006-20260408,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-455633B3,DAR-17D71F53,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,EP-HOSP-001-DEPT-ADM-kpi_006-20260413,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-C2B0FF08,DAR-30C436A8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,EP-HOSP-001-DEPT-ADM-kpi_006-20260424,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-432333BE,DAR-1DE76F65,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,EP-HOSP-001-DEPT-ADM-kpi_006-20260509,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-9433FEBD,DAR-1A845D8D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,EP-HOSP-001-DEPT-ADM-kpi_006-20260618,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
EVP-EE22A030,DAR-CB39AB43,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,EP-HOSP-001-DEPT-ADM-kpi_006-20260623,HOSP-001,DEPT-ADM,Monitoring Only,,General Queue,Pending Management Review,Not Confirmed,Evidence profile for audit traceability
