action_evidence_id,decision_action_routing_id,decision_readiness_id,evidence_type,evidence_description,evidence_status,source_phase,reconciliation_status,governance_note
AEV-0EFB72D7,DAR-CC7DB954,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-84D4861B,DAR-FA923347,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-923E93F0,DAR-22E3AC13,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-BBAAE7D5,DAR-D4026F38,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-10D9F605,DAR-C4E6E240,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-F087FA04,DAR-F2384F54,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-09375E82,DAR-426B72C9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-3F83D1DA,DAR-441332C4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-DF8B8049,DAR-82C838CB,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-CAF52345,DAR-1E4C9848,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-4DDB4084,DAR-CB035459,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-16563FA1,DAR-AF9E3D40,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-17CD0FAC,DAR-5D66F99D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-ABE62B05,DAR-76298A2F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-B13C9C51,DAR-5D6B7DD8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-B4AB0CE7,DAR-A1061C6F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-4C74AF97,DAR-16854A51,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-4539D0B4,DAR-8DC94D9B,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-66F22A0B,DAR-117F321A,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-68EF39CB,DAR-013487F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-4D042AA5,DAR-5051D7C0,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-62AF2884,DAR-54DCC5FC,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-931E3F9E,DAR-D0CF523E,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-C70B9C73,DAR-17D71F53,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-F7ABC018,DAR-30C436A8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-027A79EC,DAR-1DE76F65,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-F71410CA,DAR-1A845D8D,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-668F8BFD,DAR-CB39AB43,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-82394767,DAR-6ED1DB35,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-96C2D03D,DAR-7F544C2C,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-92E19913,DAR-0F51E482,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-11E7DB70,DAR-28B6521A,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-03B607F5,DAR-9DFEFBA3,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-8FC748B5,DAR-D30299F7,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-A9655FD3,DAR-577044F9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-F574663E,DAR-3A1905CA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-CA4479F1,DAR-74B2FAB6,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-D2B04BB7,DAR-65FFC947,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-5EB526D4,DAR-F69D881E,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-97D6CB3C,DAR-A088C72F,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-17192F9C,DAR-1FC88CEB,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-1A22E8EE,DAR-85B425D8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-78C740F7,DAR-1A8CB370,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-99B51E3F,DAR-A904BCBD,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-5FDFEF5B,DAR-CBFB2A12,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-2A2307D3,DAR-44D140E9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-36E8603B,DAR-D58E9BD2,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-8A9C15BD,DAR-FA6D78BA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-F1DBBCE9,DAR-F58A9C34,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-C64F5107,DAR-0B68089C,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-A0E17B0B,DAR-EA4053CB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-6456A846,DAR-98726969,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-7DC1033E,DAR-C3E2A005,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-C08976CF,DAR-43A3A727,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-81062981,DAR-4E0233B3,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-78018BAF,DAR-A2184B45,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-3BAA2DEE,DAR-8E139A61,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-4B88310D,DAR-2C86E20D,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-FDD1FFA5,DAR-CBD1AB9C,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-EA08779F,DAR-72920AE5,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-DE2BFB50,DAR-F151BB6D,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-A3C66CEF,DAR-C959CF61,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-5B09C58E,DAR-D86AFFC3,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-80278E88,DAR-A8A39E5D,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-C2316105,DAR-91888938,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-1457593A,DAR-47AA9CDB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-A3F74B3A,DAR-02CD3D0A,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-43A9D84C,DAR-67B60B0A,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-F57C0D31,DAR-486153C0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-C3F88FA8,DAR-B041DB80,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-7457E50C,DAR-8A48496A,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-92108BA1,DAR-11B3A8FA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-F8B21461,DAR-DCA573F0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-5A6A8814,DAR-8F07C192,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-7DA23DFF,DAR-C10FA647,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-75F582B5,DAR-EE7D0265,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-1D1979A3,DAR-654C8862,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-DAF8AD34,DAR-6E4ECFB0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-646962FF,DAR-207414C6,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-ABAF61DC,DAR-B668EB93,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-B5FDBDA2,DAR-735B99A2,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-EC144928,DAR-A27D8B24,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-03950862,DAR-C05DF516,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-B3416E5B,DAR-D7A73F42,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-2E2DE67B,DAR-7FBB55CE,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-41706F49,DAR-EE146E46,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-E5A05EAA,DAR-CB297F72,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-40E71794,DAR-585479DB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-48FD34E4,DAR-4F92C8DE,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-B4FFAE21,DAR-501FE4B7,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-60991FCD,DAR-BFD757FA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-7DEBFD9C,DAR-ACE8C1A1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-D50C08CD,DAR-CC1CE605,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-53FC3DF3,DAR-DE25D0B9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-6FE01E86,DAR-0BCF969E,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-20DA45E1,DAR-431CEE4A,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-6DC37826,DAR-E28A4AD1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-C857B7D8,DAR-7FEF4848,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-AF261D38,DAR-A8046561,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-3685EFFE,DAR-4F657D8C,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-D4FFE958,DAR-A28849F1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-18355B9C,DAR-32CA4EF9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-FAB1888D,DAR-4F1EEB63,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-B74FC22C,DAR-F440C1BB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-425B31F6,DAR-F4DDBC83,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-FFD4C668,DAR-0D1B0882,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-835E59D6,DAR-172F03A0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-DFC402EA,DAR-5E15B5D2,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-215D0183,DAR-6D67FDDB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-48EE31E4,DAR-3379CCB4,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-E3F7086A,DAR-89AFC945,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-58D30B88,DAR-F7CB6300,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-1BC9D5D9,DAR-41FB30F8,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-BEC3BE36,DAR-0DAA31F9,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-20D180F5,DAR-FF13F1EB,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-BC3614CC,DAR-077ECD22,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-1491E667,DAR-1AB43FDD,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-596274FF,DAR-A0994D45,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-97B55C31,DAR-4449D247,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-71F97EE0,DAR-AC9C2B20,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-2AF8EC27,DAR-7EA3EFC1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-69153812,DAR-DDD52643,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-5CCE4FF8,DAR-568427E5,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-C7C1990F,DAR-030C7287,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-52FCAA9F,DAR-75C333A4,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-C770CEE1,DAR-F88EFD84,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
AEV-0E2C2C67,DAR-162D4463,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,General,,Pending,2D-4,Reconciled,Evidence reference carried forward from readiness
