version_control_id,governed_object_type,governed_object_id,current_version,previous_version,version_status,effective_timestamp,created_by_role,source_manifest,checksum,immutable_flag,superseded_flag,correction_reason,future_update_rule,governance_note
VER-CE9F95BB,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-C44D6A2F,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-618DEA49,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-085FAAA7,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-333CFF4B,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-54D6C23A,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-C4003251,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E473B60E,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-45468DEE,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-4BC101A6,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-6C90AA8A,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-5132A49C,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-50A13D29,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-98858F05,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-4AF74443,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-891C2893,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-1E262746,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-85235528,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E27D7B11,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-39EA6395,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-647B2B9D,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-BE99B95F,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-CFAF29F6,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-1C51D69E,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-96CA0EF3,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E328AE01,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-8822F85B,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-4FAB8309,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-20097613,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-32DAAF60,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E91C5AC1,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-B54AB549,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-BD145E1F,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-0BE5DB41,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-FFBB6B1E,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-8D72A9F7,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-7D7F4BAE,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-21A288EA,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-0588E8FE,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-1407B73C,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-8A267BF7,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-7568C81C,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-3B080DE0,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-89B155DA,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-A5660912,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-F3A0817F,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-EFEACADC,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-B80E8F07,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-034A2339,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-9CD62B12,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-EC14A67F,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-CBB1C5FA,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-0A00A280,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-72FF1B47,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-E8B51B19,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-345D9CD1,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-62FB89D2,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-F1C46466,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-DD762B1E,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-623E4971,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-37F2DE17,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-D3515661,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-ED0ABEF5,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-C734C0EB,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-FB6B4F49,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-65724F34,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-636537F7,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-AAFA3644,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-87FB96FA,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-EB73608A,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-5424BC43,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-A266A068,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-797E6CF3,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-547C4840,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-93E04635,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-CF3449C2,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-D3EDBF52,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-ECB41DE4,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-D9DEF653,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-FBAA5116,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
VER-FA3E1010,Decision Package,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,1.0,,Current,,Analytics Team,step_2d6_manifest.json,,True,False,,Minor increment on change,Version control for audit traceability
