integrated_management_brief_id,decision_package_id,decision_evidence_profile_id,evidence_completeness_status,evidence_coverage_pct,critical_missing_evidence_count,governance_note
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,EVP-BFA3653B,Complete,100.0,0,Brief evidence cross-reference
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,EVP-0AC6755B,Complete,100.0,0,Brief evidence cross-reference
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,EVP-D73B63E0,Complete,100.0,0,Brief evidence cross-reference
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,EVP-13425178,Complete,100.0,0,Brief evidence cross-reference
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,EVP-47D02632,Complete,100.0,0,Brief evidence cross-reference
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,EVP-C25D2B9C,Complete,100.0,0,Brief evidence cross-reference
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,EVP-1B5571C5,Complete,100.0,0,Brief evidence cross-reference
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,EVP-537F33D4,Complete,100.0,0,Brief evidence cross-reference
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,EVP-29BCD731,Complete,100.0,0,Brief evidence cross-reference
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,EVP-EE2C63CE,Complete,100.0,0,Brief evidence cross-reference
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,EVP-3FC92C97,Complete,100.0,0,Brief evidence cross-reference
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,EVP-D2322ECA,Complete,100.0,0,Brief evidence cross-reference
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,EVP-1C525AD7,Complete,100.0,0,Brief evidence cross-reference
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,EVP-B529299F,Complete,100.0,0,Brief evidence cross-reference
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,EVP-B7BEECC5,Complete,100.0,0,Brief evidence cross-reference
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,EVP-23E3CA6C,Complete,100.0,0,Brief evidence cross-reference
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,EVP-E849160B,Complete,100.0,0,Brief evidence cross-reference
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,EVP-AE61FCAD,Complete,100.0,0,Brief evidence cross-reference
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,EVP-3A47F1EE,Complete,100.0,0,Brief evidence cross-reference
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,EVP-6A9EE945,Complete,100.0,0,Brief evidence cross-reference
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,EVP-58CACC53,Complete,100.0,0,Brief evidence cross-reference
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,EVP-D917D1A5,Complete,100.0,0,Brief evidence cross-reference
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,EVP-ACB5FB21,Complete,100.0,0,Brief evidence cross-reference
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,EVP-027488B8,Complete,100.0,0,Brief evidence cross-reference
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,EVP-585166F1,Complete,100.0,0,Brief evidence cross-reference
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,EVP-582E40F2,Complete,100.0,0,Brief evidence cross-reference
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,EVP-276F9147,Complete,100.0,0,Brief evidence cross-reference
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,EVP-C93731EA,Complete,100.0,0,Brief evidence cross-reference
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,EVP-CCADD281,Complete,100.0,0,Brief evidence cross-reference
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,EVP-BF67D6F9,Complete,100.0,0,Brief evidence cross-reference
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,EVP-2CC5FEA8,Complete,100.0,0,Brief evidence cross-reference
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,EVP-B9F6B09B,Complete,100.0,0,Brief evidence cross-reference
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,EVP-FCEADD0D,Complete,100.0,0,Brief evidence cross-reference
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,EVP-AD70AF60,Complete,100.0,0,Brief evidence cross-reference
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,EVP-5B90267E,Complete,100.0,0,Brief evidence cross-reference
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,EVP-04B1AD16,Complete,100.0,0,Brief evidence cross-reference
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,EVP-71117666,Complete,100.0,0,Brief evidence cross-reference
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,EVP-48312FE0,Complete,100.0,0,Brief evidence cross-reference
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,EVP-5A87905A,Complete,100.0,0,Brief evidence cross-reference
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,EVP-6704F77B,Complete,100.0,0,Brief evidence cross-reference
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,EVP-1CCF2EC1,Complete,100.0,0,Brief evidence cross-reference
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,EVP-AE965734,Complete,100.0,0,Brief evidence cross-reference
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,EVP-B4F2BF3F,Complete,100.0,0,Brief evidence cross-reference
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,EVP-92ACD51C,Complete,100.0,0,Brief evidence cross-reference
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,EVP-80B5E388,Complete,100.0,0,Brief evidence cross-reference
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,EVP-DEDF1353,Complete,100.0,0,Brief evidence cross-reference
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,EVP-14471957,Complete,100.0,0,Brief evidence cross-reference
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,EVP-EA5DCA26,Complete,100.0,0,Brief evidence cross-reference
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,EVP-0450DA60,Complete,100.0,0,Brief evidence cross-reference
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,EVP-D48A94DE,Complete,100.0,0,Brief evidence cross-reference
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,EVP-2213068F,Complete,100.0,0,Brief evidence cross-reference
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,EVP-B1048FC7,Complete,100.0,0,Brief evidence cross-reference
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,EVP-3220ACAB,Complete,100.0,0,Brief evidence cross-reference
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,EVP-36BB0727,Complete,100.0,0,Brief evidence cross-reference
