lineage_link_id,decision_lineage_profile_id,decision_package_id,lineage_stage_number,lineage_stage_name,source_phase,source_file,source_record_id,parent_record_id,child_record_id,transformation_id,formula_id,configuration_id,version,source_checksum,link_status,orphan_flag,ambiguity_flag,governance_warning
LNL-5255426F,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,11,Scenario Validation,2C-2,step_2c2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-11,LNL-F806CF0E,LNL-5255426F,TXF-11,FML-11,LNSTG-011,1.0,,Complete,False,False,
LNL-34947959,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,12,Financial Analysis,2C-3,step_2c3_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-12,LNL-5255426F,LNL-34947959,TXF-12,FML-12,LNSTG-012,1.0,,Complete,False,False,
LNL-DEED1CA2,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,13,Decision Integration,2D-1,step_2d1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-13,LNL-34947959,LNL-DEED1CA2,TXF-13,FML-13,LNSTG-013,1.0,,Complete,False,False,
LNL-FF7C1B90,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,14,Decision Package,2D-2,step_2d2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-14,LNL-DEED1CA2,LNL-FF7C1B90,TXF-14,FML-14,LNSTG-014,1.0,,Complete,False,False,
LNL-C3B49E9A,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,15,Decision Scorecard,2D-3,step_2d3_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-15,LNL-FF7C1B90,LNL-C3B49E9A,TXF-15,FML-15,LNSTG-015,1.0,,Complete,False,False,
LNL-5CF71D41,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,16,Decision Readiness,2D-4,step_2d4_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-16,LNL-C3B49E9A,LNL-5CF71D41,TXF-16,FML-16,LNSTG-016,1.0,,Complete,False,False,
LNL-1F2A4C64,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,17,Action Routing,2D-5,step_2d5_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-17,LNL-5CF71D41,LNL-1F2A4C64,TXF-17,FML-17,LNSTG-017,1.0,,Complete,False,False,
LNL-B0361DDE,LNP-B90B2EDA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,18,Audit Contract,2D-6,step_2d6_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-18,LNL-1F2A4C64,LNL-B0361DDE,TXF-18,FML-18,LNSTG-018,1.0,,Complete with Conditions,False,False,
LNL-EB1876B3,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,1,Raw or Synthetic Source Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-1,,LNL-EB1876B3,TXF-1,FML-1,LNSTG-001,1.0,,Complete,False,False,
LNL-25C15386,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,2,Processed Operational Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-2,LNL-EB1876B3,LNL-25C15386,TXF-2,FML-2,LNSTG-002,1.0,,Complete,False,False,
LNL-EFC8CAEB,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,3,KPI Calculation,2A,step_2a_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-3,LNL-25C15386,LNL-EFC8CAEB,TXF-3,FML-3,LNSTG-003,1.0,,Complete,False,False,
LNL-857F751D,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,4,Threshold and Trend Analysis,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-4,LNL-EFC8CAEB,LNL-857F751D,TXF-4,FML-4,LNSTG-004,1.0,,Complete,False,False,
LNL-30C1DD53,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,5,Risk Prioritisation,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-5,LNL-857F751D,LNL-30C1DD53,TXF-5,FML-5,LNSTG-005,1.0,,Complete,False,False,
LNL-B90305F7,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,6,Contributing-Factor Analysis,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-6,LNL-30C1DD53,LNL-B90305F7,TXF-6,FML-6,LNSTG-006,1.0,,Complete,False,False,
LNL-2DC09893,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,7,Recommendation Generation,2C-1,step_2c1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-7,LNL-B90305F7,LNL-2DC09893,TXF-7,FML-7,LNSTG-007,1.0,,Complete,False,False,
LNL-8A1018CE,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,8,Recommendation Validation,2C-1,step_2c1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-8,LNL-2DC09893,LNL-8A1018CE,TXF-8,FML-8,LNSTG-008,1.0,,Complete,False,False,
LNL-11A7932F,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,9,Approval-Package Preparation,2D-2,step_2d2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-9,LNL-8A1018CE,LNL-11A7932F,TXF-9,FML-9,LNSTG-009,1.0,,Complete,False,False,
LNL-7EAD5F2E,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,10,Scenario Modelling,2C-2,step_2c2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-10,LNL-11A7932F,LNL-7EAD5F2E,TXF-10,FML-10,LNSTG-010,1.0,,Complete,False,False,
LNL-D1559CCF,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,11,Scenario Validation,2C-2,step_2c2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-11,LNL-7EAD5F2E,LNL-D1559CCF,TXF-11,FML-11,LNSTG-011,1.0,,Complete,False,False,
LNL-1F00B851,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,12,Financial Analysis,2C-3,step_2c3_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-12,LNL-D1559CCF,LNL-1F00B851,TXF-12,FML-12,LNSTG-012,1.0,,Complete,False,False,
LNL-75C638AE,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,13,Decision Integration,2D-1,step_2d1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-13,LNL-1F00B851,LNL-75C638AE,TXF-13,FML-13,LNSTG-013,1.0,,Complete,False,False,
LNL-AB005514,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,14,Decision Package,2D-2,step_2d2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-14,LNL-75C638AE,LNL-AB005514,TXF-14,FML-14,LNSTG-014,1.0,,Complete,False,False,
LNL-7C901F4C,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,15,Decision Scorecard,2D-3,step_2d3_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-15,LNL-AB005514,LNL-7C901F4C,TXF-15,FML-15,LNSTG-015,1.0,,Complete,False,False,
LNL-0A407743,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,16,Decision Readiness,2D-4,step_2d4_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-16,LNL-7C901F4C,LNL-0A407743,TXF-16,FML-16,LNSTG-016,1.0,,Complete,False,False,
LNL-203E98CC,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,17,Action Routing,2D-5,step_2d5_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-17,LNL-0A407743,LNL-203E98CC,TXF-17,FML-17,LNSTG-017,1.0,,Complete,False,False,
LNL-FA50FCC0,LNP-E82F577C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,18,Audit Contract,2D-6,step_2d6_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-18,LNL-203E98CC,LNL-FA50FCC0,TXF-18,FML-18,LNSTG-018,1.0,,Complete with Conditions,False,False,
LNL-A050315F,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,1,Raw or Synthetic Source Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-1,,LNL-A050315F,TXF-1,FML-1,LNSTG-001,1.0,,Complete,False,False,
LNL-E84FAC2D,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,2,Processed Operational Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-2,LNL-A050315F,LNL-E84FAC2D,TXF-2,FML-2,LNSTG-002,1.0,,Complete,False,False,
LNL-7AE54ED8,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,3,KPI Calculation,2A,step_2a_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-3,LNL-E84FAC2D,LNL-7AE54ED8,TXF-3,FML-3,LNSTG-003,1.0,,Complete,False,False,
LNL-F83B2E5F,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,4,Threshold and Trend Analysis,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-4,LNL-7AE54ED8,LNL-F83B2E5F,TXF-4,FML-4,LNSTG-004,1.0,,Complete,False,False,
LNL-2AFF9A1D,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,5,Risk Prioritisation,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-5,LNL-F83B2E5F,LNL-2AFF9A1D,TXF-5,FML-5,LNSTG-005,1.0,,Complete,False,False,
LNL-BC7DEFFD,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,6,Contributing-Factor Analysis,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-6,LNL-2AFF9A1D,LNL-BC7DEFFD,TXF-6,FML-6,LNSTG-006,1.0,,Complete,False,False,
LNL-C2227DDF,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,7,Recommendation Generation,2C-1,step_2c1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-7,LNL-BC7DEFFD,LNL-C2227DDF,TXF-7,FML-7,LNSTG-007,1.0,,Complete,False,False,
LNL-6FFEB678,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,8,Recommendation Validation,2C-1,step_2c1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-8,LNL-C2227DDF,LNL-6FFEB678,TXF-8,FML-8,LNSTG-008,1.0,,Complete,False,False,
LNL-7F15FE29,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,9,Approval-Package Preparation,2D-2,step_2d2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-9,LNL-6FFEB678,LNL-7F15FE29,TXF-9,FML-9,LNSTG-009,1.0,,Complete,False,False,
LNL-12A6CD2A,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,10,Scenario Modelling,2C-2,step_2c2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-10,LNL-7F15FE29,LNL-12A6CD2A,TXF-10,FML-10,LNSTG-010,1.0,,Complete,False,False,
LNL-CD17BE50,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,11,Scenario Validation,2C-2,step_2c2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-11,LNL-12A6CD2A,LNL-CD17BE50,TXF-11,FML-11,LNSTG-011,1.0,,Complete,False,False,
LNL-D61172E0,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,12,Financial Analysis,2C-3,step_2c3_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-12,LNL-CD17BE50,LNL-D61172E0,TXF-12,FML-12,LNSTG-012,1.0,,Complete,False,False,
LNL-AC6D9C27,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,13,Decision Integration,2D-1,step_2d1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-13,LNL-D61172E0,LNL-AC6D9C27,TXF-13,FML-13,LNSTG-013,1.0,,Complete,False,False,
LNL-37D691A3,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,14,Decision Package,2D-2,step_2d2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-14,LNL-AC6D9C27,LNL-37D691A3,TXF-14,FML-14,LNSTG-014,1.0,,Complete,False,False,
LNL-9A464747,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,15,Decision Scorecard,2D-3,step_2d3_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-15,LNL-37D691A3,LNL-9A464747,TXF-15,FML-15,LNSTG-015,1.0,,Complete,False,False,
LNL-6BBFBA65,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,16,Decision Readiness,2D-4,step_2d4_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-16,LNL-9A464747,LNL-6BBFBA65,TXF-16,FML-16,LNSTG-016,1.0,,Complete,False,False,
LNL-D8FA487A,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,17,Action Routing,2D-5,step_2d5_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-17,LNL-6BBFBA65,LNL-D8FA487A,TXF-17,FML-17,LNSTG-017,1.0,,Complete,False,False,
LNL-287839A1,LNP-93738EA1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,18,Audit Contract,2D-6,step_2d6_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-18,LNL-D8FA487A,LNL-287839A1,TXF-18,FML-18,LNSTG-018,1.0,,Complete with Conditions,False,False,
LNL-22DEDACB,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,1,Raw or Synthetic Source Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-1,,LNL-22DEDACB,TXF-1,FML-1,LNSTG-001,1.0,,Complete,False,False,
LNL-687E54CE,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,2,Processed Operational Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-2,LNL-22DEDACB,LNL-687E54CE,TXF-2,FML-2,LNSTG-002,1.0,,Complete,False,False,
LNL-0E7699FC,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,3,KPI Calculation,2A,step_2a_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-3,LNL-687E54CE,LNL-0E7699FC,TXF-3,FML-3,LNSTG-003,1.0,,Complete,False,False,
LNL-90B914C2,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,4,Threshold and Trend Analysis,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-4,LNL-0E7699FC,LNL-90B914C2,TXF-4,FML-4,LNSTG-004,1.0,,Complete,False,False,
LNL-663BF364,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,5,Risk Prioritisation,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-5,LNL-90B914C2,LNL-663BF364,TXF-5,FML-5,LNSTG-005,1.0,,Complete,False,False,
LNL-E70A326D,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,6,Contributing-Factor Analysis,2B,step_2b_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-6,LNL-663BF364,LNL-E70A326D,TXF-6,FML-6,LNSTG-006,1.0,,Complete,False,False,
LNL-260CA1CF,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,7,Recommendation Generation,2C-1,step_2c1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-7,LNL-E70A326D,LNL-260CA1CF,TXF-7,FML-7,LNSTG-007,1.0,,Complete,False,False,
LNL-34D45164,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,8,Recommendation Validation,2C-1,step_2c1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-8,LNL-260CA1CF,LNL-34D45164,TXF-8,FML-8,LNSTG-008,1.0,,Complete,False,False,
LNL-3C54E1E8,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,9,Approval-Package Preparation,2D-2,step_2d2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-9,LNL-34D45164,LNL-3C54E1E8,TXF-9,FML-9,LNSTG-009,1.0,,Complete,False,False,
LNL-EDEF371F,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,10,Scenario Modelling,2C-2,step_2c2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-10,LNL-3C54E1E8,LNL-EDEF371F,TXF-10,FML-10,LNSTG-010,1.0,,Complete,False,False,
LNL-516382F0,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,11,Scenario Validation,2C-2,step_2c2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-11,LNL-EDEF371F,LNL-516382F0,TXF-11,FML-11,LNSTG-011,1.0,,Complete,False,False,
LNL-F53FCC17,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,12,Financial Analysis,2C-3,step_2c3_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-12,LNL-516382F0,LNL-F53FCC17,TXF-12,FML-12,LNSTG-012,1.0,,Complete,False,False,
LNL-349AD487,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,13,Decision Integration,2D-1,step_2d1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-13,LNL-F53FCC17,LNL-349AD487,TXF-13,FML-13,LNSTG-013,1.0,,Complete,False,False,
LNL-3DE0D961,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,14,Decision Package,2D-2,step_2d2_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-14,LNL-349AD487,LNL-3DE0D961,TXF-14,FML-14,LNSTG-014,1.0,,Complete,False,False,
LNL-6E31EB04,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,15,Decision Scorecard,2D-3,step_2d3_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-15,LNL-3DE0D961,LNL-6E31EB04,TXF-15,FML-15,LNSTG-015,1.0,,Complete,False,False,
LNL-45C8C26D,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,16,Decision Readiness,2D-4,step_2d4_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-16,LNL-6E31EB04,LNL-45C8C26D,TXF-16,FML-16,LNSTG-016,1.0,,Complete,False,False,
LNL-2ACD326F,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,17,Action Routing,2D-5,step_2d5_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-17,LNL-45C8C26D,LNL-2ACD326F,TXF-17,FML-17,LNSTG-017,1.0,,Complete,False,False,
LNL-65C7EDF1,LNP-0B75A024,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,18,Audit Contract,2D-6,step_2d6_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-18,LNL-2ACD326F,LNL-65C7EDF1,TXF-18,FML-18,LNSTG-018,1.0,,Complete with Conditions,False,False,
LNL-3AC49CF1,LNP-841AA435,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,1,Raw or Synthetic Source Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-1,,LNL-3AC49CF1,TXF-1,FML-1,LNSTG-001,1.0,,Complete,False,False,
LNL-AAC625FF,LNP-841AA435,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,2,Processed Operational Data,1,step_1_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-2,LNL-3AC49CF1,LNL-AAC625FF,TXF-2,FML-2,LNSTG-002,1.0,,Complete,False,False,
LNL-E42AC5F3,LNP-841AA435,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,3,KPI Calculation,2A,step_2a_register.csv,SRC-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-3,LNL-AAC625FF,LNL-E42AC5F3,TXF-3,FML-3,LNSTG-003,1.0,,Complete,False,False,
