integrated_management_brief_id,decision_package_id,final_readiness_status,readiness_explanation,main_blocking_condition,blocking_condition_count,secondary_condition_count,top_secondary_conditions,failed_gates,pass_with_condition_gates,required_resolution,responsible_role
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Requires Additional Scenario Analysis,,None,1,0,,,,,Operations Manager
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Requires Assumption Validation,,None,1,0,,,,,Operations Manager
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Requires Evidence Completion,,None,1,0,,,,,Operations Manager
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Requires Benefit Validation,,None,1,0,,,,,Operations Manager
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Requires Lineage Completion,,None,1,0,,,,,Operations Manager
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Requires Baseline Validation,,None,2,0,,,,,Operations Manager
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Requires Assumption Validation,,None,1,0,,,,,Operations Manager
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Requires Baseline Validation,,None,2,0,,,,,Operations Manager
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Requires Additional Scenario Analysis,,None,1,0,,,,,Operations Manager
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Requires Lineage Completion,,None,1,0,,,,,Operations Manager
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Not Suitable for Decision Use,,None,2,0,,,,,Operations Manager
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Requires Financial Input,,None,1,0,,,,,Operations Manager
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Requires Benefit Validation,,None,1,0,,,,,Operations Manager
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Requires Additional Scenario Analysis,,None,1,0,,,,,Operations Manager
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Not Suitable for Decision Use,,None,2,0,,,,,Operations Manager
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Non-Quantitative,,None,2,0,,,,,Operations Manager
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Monitoring Only,,None,1,0,,,,,Operations Manager
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Requires Lineage Completion,,None,1,0,,,,,Operations Manager
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Requires Assumption Validation,,None,1,0,,,,,Operations Manager
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Requires Evidence Completion,,None,1,0,,,,,Operations Manager
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,Requires Evidence Completion,,None,1,0,,,,,Operations Manager
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-C78EF025,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,Ready with Conditions,,None,0,0,,,,,Operations Manager
IMB-C99E0A26,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,Requires Stakeholder Validation,,None,1,0,,,,,Operations Manager
IMB-C64D83FA,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,Requires Assumption Validation,,None,1,0,,,,,Operations Manager
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,Ready for Integrated Management Review,,None,0,0,,,,,Operations Manager
IMB-8C653F7D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,Requires Baseline Validation,,None,2,0,,,,,Operations Manager
