decision_package_id,cost_completeness,cost_components,benefit_components,net_financial_impact,lower_estimate,central_estimate,upper_estimate,financial_confidence,missing_input_warning,budget_info,affordability_status,roi_status,payback_status,double_counting_status
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251019,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251102,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251114,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251121,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251214,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251225,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250130,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250214,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250325,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250404,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250408,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250413,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250424,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250509,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250618,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250623,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250629,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250703,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250709,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250719,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250809,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250824,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250904,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250923,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250928,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251007,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251023,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251027,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251202,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251218,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250108,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250401,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250417,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250423,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250507,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250511,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250520,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250606,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250610,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250619,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250704,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250723,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250804,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250810,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250901,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250912,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251023,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251031,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251108,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-72780.0,,24820.0,47580.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250122,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250328,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250409,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250422,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250426,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250515,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250521,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250615,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250621,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250626,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250720,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250727,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250910,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250915,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250921,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250930,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251015,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251019,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251027,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251111,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251115,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251126,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251202,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251207,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251227,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-221250.0,,82180.0,124280.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250402,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-134350.0,,51250.0,102420.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250412,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-134350.0,,51250.0,102420.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250421,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-134350.0,,51250.0,102420.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250428,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250531,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-134350.0,,51250.0,102420.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250614,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-134350.0,,51250.0,102420.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250707,Complete with Governed Assumptions,Complete with Governed Assumptions,Partial,-134350.0,,51250.0,102420.0,Ready for Financial Comparison,,,,ROI Calculated — Governed Inputs,Calculated,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250107,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250116,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250123,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250130,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250207,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250213,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250220,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250302,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250317,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250324,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250410,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250420,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250506,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250528,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250629,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250817,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250830,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250904,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250911,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250923,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251003,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251009,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251014,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251026,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251102,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251119,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251125,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251205,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251209,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251219,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250126,,,,,,,,,Missing cost components,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250218,,,,,,,,,Missing cost components,,,,,
