integrated_management_brief_id,decision_package_id,approval_package_id,final_readiness_status,scenario_required_status,scenario_readiness,scenario_family,baseline_availability,conservative_availability,expected_availability,higher_intensity_availability,scenario_summary_availability,source_scenario_package_id,source_file,reason_summary_is_missing,classification
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 78.57142857142857,Estimated impact: 14.285714285714292%,Estimated impact: 21.42857142857143%,Estimated impact: 21.42857142857143%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 76.92307692307693,Estimated impact: 15.384615384615373%,Estimated impact: 23.076923076923062%,Estimated impact: 23.076923076923062%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 78.4090909090909,Estimated impact: 17.243083003952577%,Estimated impact: 21.590909090909093%,Estimated impact: 21.590909090909093%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 76.92307692307693,Estimated impact: 15.384615384615373%,Estimated impact: 23.076923076923062%,Estimated impact: 23.076923076923062%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 78.57142857142857,Estimated impact: 14.285714285714292%,Estimated impact: 21.42857142857143%,Estimated impact: 21.42857142857143%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 33.33333333333333,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 24.03846153846154,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 11.794871794871796,Estimated impact: -9.999999999999991%,Estimated impact: -20.000000000000004%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 21.428571428571427,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 70.0,Estimated impact: 20.0%,Estimated impact: 30.0%,Estimated impact: 30.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-833250CD,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 73.33333333333333,Estimated impact: 13.333333333333345%,Estimated impact: 26.66666666666667%,Estimated impact: 26.66666666666667%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-21AACEF1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-C2E556F1,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-72F9988E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-B8D4CC46,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-E9D2C951,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 54.31849080383408,Estimated impact: 6.297852474323067%,Estimated impact: 12.07792207792209%,Estimated impact: 20.98809523809524%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-13E70BCB,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260528,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260528,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 80.0,Estimated impact: 13.333333333333329%,Estimated impact: 20.0%,Estimated impact: 20.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-172B064A,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260922,PKG-EP-HOSP-001-DEPT-ICU-kpi_001-20260922,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 72.72727272727273,Estimated impact: 18.181818181818173%,Estimated impact: 27.272727272727263%,Estimated impact: 27.272727272727263%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-C1C3E1E2,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260126,PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260126,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-701A2435,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260522,PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260522,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 19.032051282051285,Estimated impact: -9.99999999999999%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-E01D65F0,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260615,PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260615,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 18.465909090909093,Estimated impact: -10.000000000000004%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-D59EBD35,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260718,PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20260718,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 33.33333333333333,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-6BC23402,DPKG-PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261207,PKG-EP-HOSP-001-DEPT-ICU-kpi_002-20261207,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 16.666666666666668,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-6B454D57,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260502,PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260502,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 82.35294117647058,Estimated impact: 11.764705882352942%,Estimated impact: 17.64705882352942%,Estimated impact: 17.64705882352942%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-65659028,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,PKG-EP-HOSP-001-DEPT-MED-kpi_001-20260916,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 85.51645658263305,Estimated impact: 12.17585110967464%,Estimated impact: 14.483543417366946%,Estimated impact: 14.483543417366946%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-6E77FE59,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260209,PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260209,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-C72DFD31,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260505,PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260505,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.833333333333336,Estimated impact: -9.999999999999991%,Estimated impact: -20.000000000000004%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-C249D542,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260601,PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260601,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-1E1235B6,DPKG-PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260624,PKG-EP-HOSP-001-DEPT-MED-kpi_002-20260624,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 25.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-3B9DA56D,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260622,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20260622,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 80.37153322867609,Estimated impact: 18.31267729763969%,Estimated impact: 19.628466771323914%,Estimated impact: 19.628466771323914%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-CC8A3007,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261223,PKG-EP-HOSP-001-DEPT-OPC-kpi_001-20261223,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 70.83333333333333,Estimated impact: 19.16666666666667%,Estimated impact: 29.16666666666667%,Estimated impact: 29.16666666666667%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-B018B677,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260118,PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260118,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-7F9439AE,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260421,PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260421,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 37.5,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-1487EEE7,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260704,PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20260704,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
IMB-E9C7C886,DPKG-PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261009,PKG-EP-HOSP-001-DEPT-OPC-kpi_002-20261009,Ready for Integrated Management Review,Required,Ready,No-Action or Baseline Comparator,Baseline value: 18.181818181818183,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,Recovered from 2D-7,,step_2d7_scenario_summary_register.csv,Scenario summary exists in frozen 2D-7 source but was not mapped to Step 2D-7 IMB output.,Scenario Summary Recoverable from Frozen Source
