decision_package_id,representative_recommendation,immediate_option,near_term_option,preventive_option,validation_status,confirmation_required,provisional_warning,stakeholder_validation_required,causality_warning,evidence_link,management_questions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,,,,,Valid with Conditions,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,,,,,Valid after Minor Revision,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,,,,Valid after Minor Revision,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,,,,Valid after Minor Revision,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,,,,Valid after Minor Revision,True,False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,,,,Valid after Minor Revision,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,,,,Valid after Minor Revision,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,,,,Valid after Minor Revision,True,False; False; False; False; False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,,,,,Valid with Conditions,True,False; False,True,Causality not confirmed,EVP-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,
