management_action_id,decision_package_id,approval_package_id,action_name,action_allowed,action_reason,prerequisite,blocking_condition,audit_required,action_selected
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Validate Baseline,True,Required when baseline uncertainty exists.,Baseline validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Validate Financial Inputs,True,Required when financial completeness is partial.,Financial validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Request Additional Scenario,True,Permitted when current scenarios are insufficient.,Scenario analysis incomplete,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Request Stakeholder Review,True,Permitted when stakeholder alignment is uncertain.,Stakeholder question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-ACT-PRO,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Proceed to Limited-Trial Consideration,True,Permitted only for Ready with Conditions packages.,Package readiness is Ready with Conditions,Package not Ready with Conditions,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-ACT-CON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Continue Monitoring,True,Default action for Monitoring Only packages.,None,None,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-ACT-DEF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Defer Decision,True,Permitted when further validation is needed.,Validation questions remain open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-ACT-REJ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Reject Decision Use,True,Permitted when package is Not Suitable.,Package marked Not Suitable,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-REV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Review Integrated Decision Package,True,Fundamental step for all packages.,None,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-COM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Compare Scenario Options,True,Permitted when scenarios are available.,Scenario data present,No scenario data,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Validate Assumptions,True,Required when assumption gaps exist.,Assumption validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Validate Baseline,True,Required when baseline uncertainty exists.,Baseline validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Validate Financial Inputs,True,Required when financial completeness is partial.,Financial validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Request Additional Scenario,True,Permitted when current scenarios are insufficient.,Scenario analysis incomplete,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Request Stakeholder Review,True,Permitted when stakeholder alignment is uncertain.,Stakeholder question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-PRO,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Proceed to Limited-Trial Consideration,True,Permitted only for Ready with Conditions packages.,Package readiness is Ready with Conditions,Package not Ready with Conditions,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-CON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Continue Monitoring,True,Default action for Monitoring Only packages.,None,None,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-DEF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Defer Decision,True,Permitted when further validation is needed.,Validation questions remain open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-ACT-REJ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Reject Decision Use,True,Permitted when package is Not Suitable.,Package marked Not Suitable,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-REV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Review Integrated Decision Package,True,Fundamental step for all packages.,None,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-COM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Compare Scenario Options,True,Permitted when scenarios are available.,Scenario data present,No scenario data,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Validate Assumptions,True,Required when assumption gaps exist.,Assumption validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Validate Baseline,True,Required when baseline uncertainty exists.,Baseline validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Validate Financial Inputs,True,Required when financial completeness is partial.,Financial validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Request Additional Scenario,True,Permitted when current scenarios are insufficient.,Scenario analysis incomplete,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Request Stakeholder Review,True,Permitted when stakeholder alignment is uncertain.,Stakeholder question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-PRO,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Proceed to Limited-Trial Consideration,True,Permitted only for Ready with Conditions packages.,Package readiness is Ready with Conditions,Package not Ready with Conditions,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-CON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Continue Monitoring,True,Default action for Monitoring Only packages.,None,None,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-DEF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Defer Decision,True,Permitted when further validation is needed.,Validation questions remain open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-ACT-REJ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Reject Decision Use,True,Permitted when package is Not Suitable.,Package marked Not Suitable,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-REV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Review Integrated Decision Package,True,Fundamental step for all packages.,None,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-COM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Compare Scenario Options,True,Permitted when scenarios are available.,Scenario data present,No scenario data,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Validate Assumptions,True,Required when assumption gaps exist.,Assumption validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Validate Baseline,True,Required when baseline uncertainty exists.,Baseline validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Validate Financial Inputs,True,Required when financial completeness is partial.,Financial validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Request Additional Scenario,True,Permitted when current scenarios are insufficient.,Scenario analysis incomplete,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Request Stakeholder Review,True,Permitted when stakeholder alignment is uncertain.,Stakeholder question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-PRO,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Proceed to Limited-Trial Consideration,True,Permitted only for Ready with Conditions packages.,Package readiness is Ready with Conditions,Package not Ready with Conditions,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-CON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Continue Monitoring,True,Default action for Monitoring Only packages.,None,None,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-DEF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Defer Decision,True,Permitted when further validation is needed.,Validation questions remain open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-ACT-REJ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Reject Decision Use,True,Permitted when package is Not Suitable.,Package marked Not Suitable,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-REV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Review Integrated Decision Package,True,Fundamental step for all packages.,None,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-COM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Compare Scenario Options,True,Permitted when scenarios are available.,Scenario data present,No scenario data,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Validate Assumptions,True,Required when assumption gaps exist.,Assumption validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Validate Baseline,True,Required when baseline uncertainty exists.,Baseline validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Validate Financial Inputs,True,Required when financial completeness is partial.,Financial validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Request Additional Scenario,True,Permitted when current scenarios are insufficient.,Scenario analysis incomplete,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Request Stakeholder Review,True,Permitted when stakeholder alignment is uncertain.,Stakeholder question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-PRO,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Proceed to Limited-Trial Consideration,True,Permitted only for Ready with Conditions packages.,Package readiness is Ready with Conditions,Package not Ready with Conditions,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-CON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Continue Monitoring,True,Default action for Monitoring Only packages.,None,None,False,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-DEF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Defer Decision,True,Permitted when further validation is needed.,Validation questions remain open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-ACT-REJ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Reject Decision Use,True,Permitted when package is Not Suitable.,Package marked Not Suitable,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-REV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Review Integrated Decision Package,True,Fundamental step for all packages.,None,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-COM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Compare Scenario Options,True,Permitted when scenarios are available.,Scenario data present,No scenario data,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Validate Assumptions,True,Required when assumption gaps exist.,Assumption validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Validate Baseline,True,Required when baseline uncertainty exists.,Baseline validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-VAL,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Validate Financial Inputs,True,Required when financial completeness is partial.,Financial validation question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Request Additional Scenario,True,Permitted when current scenarios are insufficient.,Scenario analysis incomplete,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-REQ,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Request Stakeholder Review,True,Permitted when stakeholder alignment is uncertain.,Stakeholder question open,None,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-PRO,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Proceed to Limited-Trial Consideration,True,Permitted only for Ready with Conditions packages.,Package readiness is Ready with Conditions,Package not Ready with Conditions,True,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-ACT-CON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Continue Monitoring,True,Default action for Monitoring Only packages.,None,None,False,False
