decision_package_id,risk_tier,urgency,dominant_kpi_id,dominant_kpi_name,dominant_breach,contributing_factors,contradiction_warning,operational_escalation,management_attention,affected_department,reporting_date,primary_queue,monitoring_trigger
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250710,56.55,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-07-10 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250716,79.81,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-07-16 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250814,57.06,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-08-14 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250925,84.53,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-09-25 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251019,50.01,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-10-19 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251102,62.55,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-11-02 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251114,59.55,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-11-14 assessed as High priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251121,57.91,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-11-21 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251214,53.18,Immediate Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-12-14 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251225,56.37,Prompt Review,kpi_002,Staff Absenteeism Rate,Department Admissions on 2025-12-25 assessed as High priority with Prompt Review urgency. The dominant risk driver is Staff Absenteeism Rate: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Conditional Review,Admissions,,General Queue,5 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250130,73.72,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-01-30 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250214,59.12,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-02-14 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250325,62.07,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-03-25 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250404,53.1,Prompt Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-04-04 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250408,77.68,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-04-08 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250413,78.87,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-04-13 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250424,50.63,Prompt Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-04-24 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250509,55.27,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-05-09 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250618,76.48,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-06-18 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250623,62.67,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-06-23 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250629,51.22,Prompt Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-06-29 assessed as Elevated priority with Prompt Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Amber; breach=Amber Condition. Concurrent risk conditions observed in: kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250703,91.43,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-07-03 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250709,56.55,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-07-09 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250719,72.93,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-07-19 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250809,55.86,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-08-09 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250824,57.93,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-08-24 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250904,58.82,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-09-04 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250923,65.76,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-09-23 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250928,77.68,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-09-28 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251007,72.04,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-10-07 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251023,58.52,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-10-23 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251027,54.05,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-10-27 assessed as Elevated priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_002; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251202,74.59,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-12-02 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251218,55.86,Immediate Review,kpi_006,Patient Satisfaction Score,Department Admissions on 2025-12-18 assessed as High priority with Immediate Review urgency. The dominant risk driver is Patient Satisfaction Score: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_006.,Average Patient Waiting Time may be associated with Patient Satisfaction Score,No Contradiction,No Escalation,Monitoring,Admissions,,General Queue,3 days
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250108,82.24,Immediate Review,kpi_001,Staffing Level,Department Diagnostics on 2025-01-08 assessed as Critical priority with Immediate Review urgency. The dominant risk driver is Staffing Level: threshold=Red; breach=Red Breach. Concurrent risk conditions observed in: kpi_001; kpi_002; kpi_005; kpi_006.,Staffing Level may be associated with Staff Absenteeism Rate,No Contradiction,No Escalation,Standard Management Review,Diagnostics,,General Queue,3 days
