action_block_id,decision_action_routing_id,action_id,action_name,blocking_condition_id,blocking_reason,blocking_severity,source_phase,source_record_id,resolution_required,responsible_role,current_status
BLK-1093999B,DAR-013487F9,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-C2174F51,DAR-5051D7C0,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-FD5690AC,DAR-54DCC5FC,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-F5B331BC,DAR-D0CF523E,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-44F07482,DAR-17D71F53,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-5E5371B1,DAR-30C436A8,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-35E46694,DAR-1DE76F65,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-B6713E2E,DAR-1A845D8D,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-E3374326,DAR-CB39AB43,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-4CF6381C,DAR-6ED1DB35,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-C6B3CCFA,DAR-7F544C2C,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-D6C99235,DAR-0F51E482,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-AFCE0B11,DAR-28B6521A,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-09372D06,DAR-9DFEFBA3,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-4901E2BA,DAR-D30299F7,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-99521A55,DAR-577044F9,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-50A9940A,DAR-3A1905CA,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-E6A29238,DAR-74B2FAB6,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-5960AA84,DAR-65FFC947,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-B250908F,DAR-F69D881E,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-C3C30123,DAR-A088C72F,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-D961AD45,DAR-1FC88CEB,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-CAAE985E,DAR-85B425D8,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-E497A460,DAR-FA6D78BA,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-DD7A1F73,DAR-0B68089C,A010,Proceed to Limited-Trial Consideration,ACTBLK-008,Action blocked due to incomplete scenario analysis,Critical,2D-4,,True,,Active
BLK-D431D68C,DAR-98726969,A010,Proceed to Limited-Trial Consideration,ACTBLK-002,Action blocked due to unresolved assumption issues,Critical,2D-4,,True,,Active
BLK-5A80FC03,DAR-43A3A727,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-06D224F3,DAR-4E0233B3,A010,Proceed to Limited-Trial Consideration,ACTBLK-005,Action blocked due to unsupported benefit claims,Critical,2D-4,,True,,Active
BLK-015E48E4,DAR-A2184B45,A001,Review Integrated Decision Package,ACTBLK-010,Action blocked due to lineage deficiency,Critical,2D-4,,True,,Active
BLK-EF151A46,DAR-8E139A61,A002,Compare Scenario Options,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-3A02EF80,DAR-8E139A61,A010,Proceed to Limited-Trial Consideration,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-AA59FD45,DAR-2C86E20D,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-94B51DC4,DAR-72920AE5,A010,Proceed to Limited-Trial Consideration,ACTBLK-002,Action blocked due to unresolved assumption issues,Critical,2D-4,,True,,Active
BLK-04D4241C,DAR-D86AFFC3,A002,Compare Scenario Options,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-9866BA59,DAR-D86AFFC3,A010,Proceed to Limited-Trial Consideration,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-8DA69EA6,DAR-A8A39E5D,A010,Proceed to Limited-Trial Consideration,ACTBLK-008,Action blocked due to incomplete scenario analysis,Critical,2D-4,,True,,Active
BLK-691383B5,DAR-B041DB80,A001,Review Integrated Decision Package,ACTBLK-010,Action blocked due to lineage deficiency,Critical,2D-4,,True,,Active
BLK-8142E03B,DAR-8A48496A,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-30735BA1,DAR-DCA573F0,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-0050BF8A,DAR-8F07C192,A001,Review Integrated Decision Package,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-C037EF84,DAR-8F07C192,A010,Proceed to Limited-Trial Consideration,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-F9D07586,DAR-B668EB93,A010,Proceed to Limited-Trial Consideration,ACTBLK-004,Action blocked due to missing mandatory cost data,Critical,2D-4,,True,,Active
BLK-D169CF74,DAR-7FBB55CE,A010,Proceed to Limited-Trial Consideration,ACTBLK-005,Action blocked due to unsupported benefit claims,Critical,2D-4,,True,,Active
BLK-59CBC207,DAR-EE146E46,A010,Proceed to Limited-Trial Consideration,ACTBLK-008,Action blocked due to incomplete scenario analysis,Critical,2D-4,,True,,Active
BLK-BE5A2ED4,DAR-4F92C8DE,A001,Review Integrated Decision Package,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-E5BD6C72,DAR-4F92C8DE,A010,Proceed to Limited-Trial Consideration,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-7CF53930,DAR-501FE4B7,A002,Compare Scenario Options,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-2DF366E9,DAR-501FE4B7,A010,Proceed to Limited-Trial Consideration,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-4A57DBE4,DAR-BFD757FA,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-F3D188CC,DAR-DE25D0B9,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-5D0BDAA1,DAR-0BCF969E,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-BDF98C54,DAR-431CEE4A,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-C5E26EB0,DAR-E28A4AD1,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-F5CD2BFD,DAR-7FEF4848,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-26481372,DAR-A8046561,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-9BF446A0,DAR-4F657D8C,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-1A7F2324,DAR-A28849F1,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-61100F11,DAR-32CA4EF9,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-54593918,DAR-4F1EEB63,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-51E9B6A7,DAR-F440C1BB,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-ED0E1253,DAR-F4DDBC83,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-17AA7FB9,DAR-0D1B0882,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-2010A141,DAR-172F03A0,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-3E1F7D68,DAR-5E15B5D2,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-8CD39411,DAR-6D67FDDB,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-83BEB333,DAR-3379CCB4,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-EFA6EB7C,DAR-89AFC945,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-B171238C,DAR-F7CB6300,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-31A871B7,DAR-41FB30F8,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-7C01F967,DAR-0DAA31F9,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-3B5C008C,DAR-FF13F1EB,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-223E2791,DAR-077ECD22,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-52073201,DAR-1AB43FDD,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-E4B0B1A6,DAR-A0994D45,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-20014CBB,DAR-4449D247,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-AF5F2061,DAR-AC9C2B20,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-E51E7ED5,DAR-7EA3EFC1,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-F9394834,DAR-DDD52643,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-5B43F5E6,DAR-568427E5,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-02551E64,DAR-030C7287,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-88218345,DAR-75C333A4,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-F8B16F84,DAR-F88EFD84,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-24BD2BC4,DAR-162D4463,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-7EBB8C6B,DAR-0EB1D6E9,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-E5C9ED6C,DAR-28449140,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-46F76620,DAR-2449106E,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-B85F452D,DAR-067AD019,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-4AAFBDD9,DAR-9A7C353E,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-A8819F23,DAR-91B6EBBA,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-AD57768E,DAR-92BF60FE,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-BD15CFD6,DAR-92A1DF16,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-09CA80D5,DAR-36F71515,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-50157014,DAR-262E2F28,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-F4962AE0,DAR-6F15DE85,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-034883B7,DAR-BA5941DA,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-8D03C951,DAR-71A17654,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-4238301D,DAR-BD126845,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-3A0F1A5F,DAR-1BABE2C9,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-B8E4D67B,DAR-8C498731,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-31A69085,DAR-40E0245C,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-0FD9AC06,DAR-9A8C252D,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-27EF89B3,DAR-092C1912,A001,Review Integrated Decision Package,ACTBLK-010,Action blocked due to lineage deficiency,Critical,2D-4,,True,,Active
BLK-BC421CD7,DAR-9D6EE3D4,A010,Proceed to Limited-Trial Consideration,ACTBLK-002,Action blocked due to unresolved assumption issues,Critical,2D-4,,True,,Active
BLK-5920F5A4,DAR-3F9E90FC,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-34D400E5,DAR-EDB766BC,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-96DF5832,DAR-1D80DDAB,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-AC72950C,DAR-CBC6E85A,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-09567F2B,DAR-FD378110,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-1FAFDEA0,DAR-439789D9,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-58CFECE3,DAR-2EBE8DDB,A010,Proceed to Limited-Trial Consideration,ACTBLK-002,Action blocked due to unresolved assumption issues,Critical,2D-4,,True,,Active
BLK-07A150EB,DAR-6FD4EC73,A002,Compare Scenario Options,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-F85DCC5E,DAR-6FD4EC73,A010,Proceed to Limited-Trial Consideration,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-1BD13B1D,DAR-C32C913C,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-CBD65490,DAR-6CB3BECC,A010,Proceed to Limited-Trial Consideration,ACTBLK-002,Action blocked due to unresolved assumption issues,Critical,2D-4,,True,,Active
BLK-06C2FC5C,DAR-5073CA0D,A001,Review Integrated Decision Package,ACTBLK-009,Action blocked due to evidence deficiency,Critical,2D-4,,True,,Active
BLK-7BBA9CB5,DAR-EC066580,A002,Compare Scenario Options,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-688B2FA1,DAR-EC066580,A010,Proceed to Limited-Trial Consideration,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-A335D21B,DAR-9E5250FD,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-D5FEE98E,DAR-03517CCE,A002,Compare Scenario Options,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-C7AFEA03,DAR-03517CCE,A010,Proceed to Limited-Trial Consideration,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-3FE85A34,DAR-C932E734,A010,Proceed to Limited-Trial Consideration,ACTBLK-006,Action blocked due to missing budget data,Critical,2D-4,,True,,Active
BLK-458E761E,DAR-C1D36465,A010,Proceed to Limited-Trial Consideration,ACTBLK-004,Action blocked due to missing mandatory cost data,Critical,2D-4,,True,,Active
BLK-C2DD67C2,DAR-45463007,A001,Review Integrated Decision Package,ACTBLK-010,Action blocked due to lineage deficiency,Critical,2D-4,,True,,Active
BLK-FE7E9773,DAR-B161261C,A002,Compare Scenario Options,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-03EB0BC2,DAR-B161261C,A010,Proceed to Limited-Trial Consideration,ACTBLK-003,Action blocked due to invalid baseline,Critical,2D-4,,True,,Active
BLK-797EF5F3,DAR-0CD46927,A010,Proceed to Limited-Trial Consideration,ACTBLK-007,Action blocked due to unresolved stakeholder confirmation,Critical,2D-4,,True,,Active
BLK-FADFD9D5,DAR-01347A85,A002,Compare Scenario Options,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-E6B6778B,DAR-01347A85,A010,Proceed to Limited-Trial Consideration,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-9A52B703,DAR-832A6985,A002,Compare Scenario Options,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-AC2BBE8A,DAR-832A6985,A010,Proceed to Limited-Trial Consideration,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-7CA5DB01,DAR-61AD89AF,A002,Compare Scenario Options,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-1D67E71E,DAR-61AD89AF,A010,Proceed to Limited-Trial Consideration,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-B0B4CC96,DAR-CD63524D,A002,Compare Scenario Options,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-3F923122,DAR-CD63524D,A010,Proceed to Limited-Trial Consideration,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-9FC33BAC,DAR-14887707,A002,Compare Scenario Options,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-C3E0B1CC,DAR-14887707,A010,Proceed to Limited-Trial Consideration,UNKNOWN,Blocked due to nan,Critical,2D-4,,True,,Active
BLK-B15287BA,DAR-47B56421,A010,Proceed to Limited-Trial Consideration,ACTBLK-008,Action blocked due to incomplete scenario analysis,Critical,2D-4,,True,,Active
BLK-768F21BD,DAR-65BDDDF7,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-5B2FB6B9,DAR-C211BF75,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-44AA28DA,DAR-EFCD8144,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-2ED75963,DAR-B4576CA9,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-36971873,DAR-16F53E03,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-9B90B0D7,DAR-5F5E8A92,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-BF6058AF,DAR-4E8EAFD4,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-4135ADEB,DAR-0B4B5A9A,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-68E63E1D,DAR-43B6DB98,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-72D320E1,DAR-66CE9BE2,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-79A6B35D,DAR-229F792C,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-68A74A60,DAR-253443A3,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-F1BB2E4B,DAR-E81A008F,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-AB890B57,DAR-38B19406,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-F93F2CD5,DAR-72D49F6A,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-A6CADB30,DAR-2216A943,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-C0332C00,DAR-70D964BE,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-72D9A1B5,DAR-874C02AB,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-6FFEB630,DAR-ECB93E7D,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
BLK-F57DE880,DAR-9E1146B7,A010,Proceed to Limited-Trial Consideration,ACTBLK-011,Action blocked due to multiple gate failures,Critical,2D-4,,True,,Active
