lineage_record_id,decision_package_id,approval_package_id,lineage_reference_count,lineage_complete,lineage_ids,source_phase_list,audit_traceability_status,decision_readiness_id,decision_scorecard_id,readiness_lineage_id,reconciliation_status,governance_note
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Matched,Lineage reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408-LN,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,1,1.0,Derived from Step 2D-2 lineage register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,RLN-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Matched,Lineage reconciled from Step 2D-3
