integrated_decision_id,approval_package_id,decision_status,decision_status_reason,closure_category
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Non-Quantitative,Cannot support quantitative scenario or financial comparison.,Non-Quantitative
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,Non-Quantitative,Cannot support quantitative scenario or financial comparison.,Non-Quantitative
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,Non-Quantitative,Cannot support quantitative scenario or financial comparison.,Non-Quantitative
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,Non-Quantitative,Cannot support quantitative scenario or financial comparison.,Non-Quantitative
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,Non-Quantitative,Cannot support quantitative scenario or financial comparison.,Non-Quantitative
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,Non-Quantitative,Cannot support quantitative scenario or financial comparison.,Non-Quantitative
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260323,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260323,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260412,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260412,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260702,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260702,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260712,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260712,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260805,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260805,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260902,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260902,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260909,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260909,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260914,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260914,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260921,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260921,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261004,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261004,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261111,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261111,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261118,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261118,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261129,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261129,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261203,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261203,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261210,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261210,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261224,PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261224,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260107,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260107,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260121,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260121,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260128,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260128,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260202,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260202,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260208,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260208,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260218,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260218,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260307,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260307,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260322,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260322,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260326,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260326,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260415,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260415,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260428,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260527,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260604,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260620,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260708,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260804,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260821,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260828,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260901,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260912,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20260926,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261001,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261007,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,PKG-EP-HOSP-001-DEPT-ICU-kpi_003-20261020,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
