integrated_management_brief_id,decision_package_id,brief_type,final_readiness_status,governance_note
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Lineage Completion Brief,Requires Lineage Completion,Brief type mapped from readiness
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Integrated Management Review Brief,Requires Additional Scenario Analysis,Brief type mapped from readiness
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Financial Input Brief,Requires Financial Input,Brief type mapped from readiness
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Integrated Management Review Brief,Requires Additional Scenario Analysis,Brief type mapped from readiness
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Benefit Validation Brief,Requires Benefit Validation,Brief type mapped from readiness
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Lineage Completion Brief,Requires Lineage Completion,Brief type mapped from readiness
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Baseline Validation Brief,Requires Baseline Validation,Brief type mapped from readiness
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Integrated Management Review Brief,Requires Additional Scenario Analysis,Brief type mapped from readiness
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Lineage Completion Brief,Requires Lineage Completion,Brief type mapped from readiness
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Integrated Management Review Brief,Not Suitable for Decision Use,Brief type mapped from readiness
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Financial Input Brief,Requires Financial Input,Brief type mapped from readiness
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Benefit Validation Brief,Requires Benefit Validation,Brief type mapped from readiness
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Integrated Management Review Brief,Requires Additional Scenario Analysis,Brief type mapped from readiness
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Integrated Management Review Brief,Not Suitable for Decision Use,Brief type mapped from readiness
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Non-Quantitative Review Brief,Non-Quantitative,Brief type mapped from readiness
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Monitoring Brief,Monitoring Only,Brief type mapped from readiness
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Lineage Completion Brief,Requires Lineage Completion,Brief type mapped from readiness
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Conditional Management Review Brief,Ready with Conditions,Brief type mapped from readiness
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Assumption Validation Brief,Requires Assumption Validation,Brief type mapped from readiness
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,Evidence Completion Brief,Requires Evidence Completion,Brief type mapped from readiness
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,Stakeholder Validation Brief,Requires Stakeholder Validation,Brief type mapped from readiness
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,Integrated Management Review Brief,Ready for Integrated Management Review,Brief type mapped from readiness
