integrated_management_brief_id,decision_package_id,no_preferred_scenario_selected,no_action_selected,no_recommendation_approved,no_budget_approved,no_management_review_fabricated,causality_not_confirmed,approval_status_pending,no_prohibited_wording,governance_passed,prohibited_words_found,governance_note
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-062D55CC,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-3D094DFE,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-0884C637,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-D4D15739,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-8C15F08F,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-77E18DD3,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C78EF025,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C99E0A26,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-C64D83FA,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-F6C736A7,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-8C653F7D,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-492E385E,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,True,True,True,True,True,True,True,True,True,,All governance checks passed
IMB-48FB8DCF,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,True,True,True,True,True,True,True,True,True,,All governance checks passed
