panel_type,decision_action_routing_id,decision_package_id,final_readiness_status,primary_permitted_action,primary_queue,responsible_role,escalation_status,approval_status,action_id,action_name,action_eligibility_status,enabled_flag,disabled_reason,confirmation_required,audit_required,management_selection_required,selected_flag,governance_note
Action Summary,DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Requires Evidence Completion,Request Evidence Completion,,Data Owner,Standard Review,Pending Management Review,,Request Evidence Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Requires Evidence Completion,Request Evidence Completion,,Data Owner,Standard Review,Pending Management Review,,Request Evidence Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-CB286D43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Requires Lineage Completion,Request Lineage Completion,,Data Owner,Standard Review,Pending Management Review,,Request Lineage Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Requires Additional Scenario Analysis,Request Additional Scenario,,Analytics Team,Standard Review,Pending Management Review,,Request Additional Scenario,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Requires Stakeholder Validation,Request Stakeholder Review,,Stakeholder Owner,Standard Review,Pending Management Review,,Request Stakeholder Review,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Requires Stakeholder Validation,Request Stakeholder Review,,Stakeholder Owner,Standard Review,Pending Management Review,,Request Stakeholder Review,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Requires Baseline Validation,Validate Baseline,,Data Owner,Standard Review,Pending Management Review,,Validate Baseline,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Requires Financial Input,Validate Financial Inputs,,Finance,Standard Review,Pending Management Review,,Validate Financial Inputs,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-CB39AB43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-6ED1DB35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-7F544C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-0F51E482,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-28B6521A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-9DFEFBA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-D30299F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-577044F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-3A1905CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-74B2FAB6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-65FFC947,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-F69D881E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-A088C72F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-1FC88CEB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-85B425D8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Only,Continue Monitoring,,Operations Manager,Monitoring,Pending Management Review,,Continue Monitoring,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-1A8CB370,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-A904BCBD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-CBFB2A12,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-44D140E9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-D58E9BD2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-FA6D78BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Requires Evidence Completion,Request Evidence Completion,,Data Owner,Standard Review,Pending Management Review,,Request Evidence Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-F58A9C34,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-0B68089C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Requires Additional Scenario Analysis,Request Additional Scenario,,Analytics Team,Standard Review,Pending Management Review,,Request Additional Scenario,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-EA4053CB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-98726969,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Requires Assumption Validation,Validate Assumptions,,Analytics Team,Standard Review,Pending Management Review,,Validate Assumptions,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-C3E2A005,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-43A3A727,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Requires Evidence Completion,Request Evidence Completion,,Data Owner,Standard Review,Pending Management Review,,Request Evidence Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-4E0233B3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Requires Benefit Validation,Validate Benefit Assumptions,,Finance,Standard Review,Pending Management Review,,Validate Benefit Assumptions,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-A2184B45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Requires Lineage Completion,Request Lineage Completion,,Data Owner,Standard Review,Pending Management Review,,Request Lineage Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-8E139A61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Requires Baseline Validation,Validate Baseline,,Data Owner,Standard Review,Pending Management Review,,Validate Baseline,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-2C86E20D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Requires Stakeholder Validation,Request Stakeholder Review,,Stakeholder Owner,Standard Review,Pending Management Review,,Request Stakeholder Review,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-CBD1AB9C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-72920AE5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Requires Assumption Validation,Validate Assumptions,,Analytics Team,Standard Review,Pending Management Review,,Validate Assumptions,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-F151BB6D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-C959CF61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-D86AFFC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Requires Baseline Validation,Validate Baseline,,Data Owner,Standard Review,Pending Management Review,,Validate Baseline,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-A8A39E5D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Requires Additional Scenario Analysis,Request Additional Scenario,,Analytics Team,Standard Review,Pending Management Review,,Request Additional Scenario,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-91888938,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-47AA9CDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-02CD3D0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-67B60B0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-486153C0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-B041DB80,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Requires Lineage Completion,Request Lineage Completion,,Data Owner,Standard Review,Pending Management Review,,Request Lineage Completion,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-8A48496A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Requires Stakeholder Validation,Request Stakeholder Review,,Stakeholder Owner,Standard Review,Pending Management Review,,Request Stakeholder Review,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-11B3A8FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-DCA573F0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Requires Stakeholder Validation,Request Stakeholder Review,,Stakeholder Owner,Standard Review,Pending Management Review,,Request Stakeholder Review,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-8F07C192,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Not Suitable for Decision Use,Reject Decision Use,,Hospital COO / General Manager,Not Assessable,Pending Management Review,,Reject Decision Use,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-C10FA647,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Ready with Conditions,Review Integrated Decision Package,,Hospital COO / General Manager,Priority Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-EE7D0265,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
Action Summary,DAR-654C8862,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Ready for Integrated Management Review,Review Integrated Decision Package,,Hospital COO / General Manager,Standard Review,Pending Management Review,,Review Integrated Decision Package,Allowed,True,,True,True,True,False,Streamlit contract - UI eligibility only
