decision_package_id,package_version,evidence_completeness,lineage_completeness,source_to_decision_trace,audit_requirements,audit_event_status,actor,timestamp,approval_reference,integrity_status,checksum,source_manifest,retention_classification
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,1.0,1.0,1.0,,Defined,Not Executed,,,,Verified,,,Governance
