decision_package_id,integrated_management_brief_id,executive_headline,issue_summary,why_it_matters,evidence_summary,recommendation_summary,scenario_summary,financial_summary,readiness,blocking_conditions,secondary_conditions,primary_permitted_action,management_questions,confirmations,monitoring,escalation,governance_and_limitations,audit_status,management_boundary
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250726,IMB-C95CA297,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Requires Additional Scenario Analysis,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20250822,IMB-8D8019FF,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: 21.739130434782624%,-72780.0,Ready for Integrated Management Review,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251012,IMB-4BE80CE6,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: 19.04761904761905%,-72780.0,Ready for Integrated Management Review,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251021,IMB-7923F3A5,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: 25.0%,-72780.0,Ready for Integrated Management Review,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251127,IMB-1EA09D3F,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Requires Evidence Completion,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,4,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251205,IMB-9CAF9BFB,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: 20.050125313283218%,-72780.0,Ready for Integrated Management Review,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,4,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251220,IMB-69084F9C,Admissions is experiencing Staffing Level related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-72780.0,Requires Evidence Completion,,,Review current roster gaps and activate approved temporary or relief staffing arrangements for Admissions. Focus on shifts where staffing shortfall is most acute. Document activation rationale and expected coverage duration.,,8,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250202,IMB-7ACB682D,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Requires Lineage Completion,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250206,IMB-A04C31D2,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Ready with Conditions,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250330,IMB-7BF5560B,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Requires Additional Scenario Analysis,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250409,IMB-0F7CBBBD,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Ready with Conditions,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,6,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250524,IMB-DC313032,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: -19.999999999999996%,-221250.0,Ready for Integrated Management Review,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,4,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250529,IMB-B16AC730,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: -20.0%,-221250.0,Ready for Integrated Management Review,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250611,IMB-65B007AB,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: -19.99999999999999%,-221250.0,Ready for Integrated Management Review,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250620,IMB-00BBC43E,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Ready with Conditions,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250624,IMB-CB403676,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Ready with Conditions,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250710,IMB-7A203DC9,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Requires Stakeholder Validation,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250716,IMB-6B9113B2,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Requires Stakeholder Validation,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250814,IMB-7E694674,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: -20.0%,-221250.0,Ready for Integrated Management Review,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250925,IMB-791D31AE,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Requires Baseline Validation,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251019,IMB-42E27596,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: -20.0%,-221250.0,Ready for Integrated Management Review,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251102,IMB-26E86E31,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Requires Financial Input,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251114,IMB-CD88A7D0,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Ready with Conditions,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251121,IMB-A201D5E5,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,Estimated impact: -20.0%,-221250.0,Ready for Integrated Management Review,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251214,IMB-F7E62568,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Ready with Conditions,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251225,IMB-3CC21958,Admissions is experiencing Staff Absenteeism Rate related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,-221250.0,Ready with Conditions,,,"Review the composition of current unplanned leave in Admissions (sick leave, emergency leave, unauthorised absence). Activate relief coverage for critical shifts. Flag any unusual patterns to HR for rapid review.",,2,5 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250130,IMB-D54BBA62,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,,Monitoring Only,,,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",,2,3 days,False,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250214,IMB-AB7D1D25,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,,Monitoring Only,,,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",,2,3 days,False,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250325,IMB-593A5AB7,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,,Monitoring Only,,,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",,2,3 days,False,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250404,IMB-34FF2141,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,,Monitoring Only,,,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",,2,3 days,False,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250408,IMB-B778809C,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,,Monitoring Only,,,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250413,IMB-96D5924D,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,,Monitoring Only,,,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",,2,3 days,True,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250424,IMB-EB012AEE,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,,Monitoring Only,,,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",,2,3 days,False,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250509,IMB-DB2B5F57,Admissions is experiencing Patient Satisfaction Score related operational conditions. Management attention required.,,The  risk tier and  priority indicate this package requires management attention.,,,,,Monitoring Only,,,"Verify the survey response volume, response rate, and methodology for Admissions during the reporting period. Confirm that the score is based on sufficient responses and that no methodology change (timing, channel, question set) explains the movement. Flag low-confidence scores for management awareness.",,4,3 days,False,"This brief supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision.",Awaiting Management Action,"This view supports management review and does not constitute action selection, scenario selection, recommendation approval, budget approval, or a final management decision."
