retention_record_id,object_type,object_id,record_class,retention_status,retention_period_rule,archival_required,deletion_permitted,legal_hold_flag,sensitive_data_flag,access_classification,governance_note
RET-69E080E3,Evidence Profile,EVP-E8FDB805,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-AF6F800B,Evidence Profile,EVP-12ED26C6,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-BF945FA7,Evidence Profile,EVP-8948B9DF,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-17384528,Evidence Profile,EVP-9FE294A7,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-F3A29BBB,Evidence Profile,EVP-63A3D3E5,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-6F6B8DE8,Evidence Profile,EVP-15719B9F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-A5275262,Evidence Profile,EVP-2C398029,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-07141A5C,Evidence Profile,EVP-B0F96DAC,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-05BA0110,Evidence Profile,EVP-3F113106,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E09FAFC0,Evidence Profile,EVP-7FD5786F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-BCEEE9F3,Evidence Profile,EVP-EB6F3E41,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-6918F287,Evidence Profile,EVP-4EC9FD2E,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E5589542,Evidence Profile,EVP-91FC52D2,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-0555475A,Evidence Profile,EVP-64FB2738,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E878A674,Evidence Profile,EVP-9327EE7B,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-634D3DD8,Evidence Profile,EVP-61BFF5E0,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-44C6F3AA,Evidence Profile,EVP-11C4ADF5,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-74C5E46D,Evidence Profile,EVP-C57EEAB2,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-3194329B,Evidence Profile,EVP-1522DB02,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-95DFB338,Evidence Profile,EVP-D2C56DE0,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-B2A58654,Evidence Profile,EVP-6536A98F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2005805D,Evidence Profile,EVP-6BD47B07,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8513302A,Evidence Profile,EVP-38BC3D2D,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-B25DD3CB,Evidence Profile,EVP-E97125F4,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C5B2E011,Evidence Profile,EVP-35CAD127,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-3D0780BA,Evidence Profile,EVP-D1256BFE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-84213461,Evidence Profile,EVP-7E15635D,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-0EAF8941,Evidence Profile,EVP-455633B3,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-938DB813,Evidence Profile,EVP-C2B0FF08,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C0BE77DA,Evidence Profile,EVP-432333BE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-6B686596,Evidence Profile,EVP-9433FEBD,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8B3A737E,Evidence Profile,EVP-EE22A030,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-FA6C8B68,Evidence Profile,EVP-7987109B,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-0E3829C3,Evidence Profile,EVP-50D03745,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-4C146302,Evidence Profile,EVP-78F172BE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E951F8FC,Evidence Profile,EVP-FEB78607,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C020FB13,Evidence Profile,EVP-0D098FF6,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E428EBE9,Evidence Profile,EVP-2BC16114,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-328C10AE,Evidence Profile,EVP-39B8A433,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-7F3B181B,Evidence Profile,EVP-207BB9CC,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-3C5C772D,Evidence Profile,EVP-7784E74F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-26C0168D,Evidence Profile,EVP-9FADD9C5,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-0DA7A95C,Evidence Profile,EVP-9CE19F00,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-D6BB7134,Evidence Profile,EVP-8186C30E,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-D9EF582D,Evidence Profile,EVP-80D8C8A3,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-79DD25C6,Evidence Profile,EVP-86BDB905,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-DDD50BBF,Evidence Profile,EVP-7E7FB542,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E6291E45,Evidence Profile,EVP-958234E4,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8616E655,Evidence Profile,EVP-E904D992,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8D5F6275,Evidence Profile,EVP-7484428C,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-A9C1645D,Evidence Profile,EVP-396BE1A3,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8D781784,Evidence Profile,EVP-40731416,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-186AD7C1,Evidence Profile,EVP-EAF6379F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-4EEC8562,Evidence Profile,EVP-41010DBE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-0D5841C0,Evidence Profile,EVP-F7363BAD,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-18D41A21,Evidence Profile,EVP-DCD466E5,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-B30B26A8,Evidence Profile,EVP-5319ABD2,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-F5F89CA4,Evidence Profile,EVP-9A3B1CAD,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-0AB5F211,Evidence Profile,EVP-8830DAFE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-A5B7D2DF,Evidence Profile,EVP-65DC9F18,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-48347E53,Evidence Profile,EVP-4178E61D,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2B542F1F,Evidence Profile,EVP-999C4A09,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-142CFC2D,Evidence Profile,EVP-F1A9F8D4,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-D11FB3C7,Evidence Profile,EVP-A8A493CE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-BE036B0B,Evidence Profile,EVP-54939543,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-FC0F4D2B,Evidence Profile,EVP-93A61297,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8FE9DB30,Evidence Profile,EVP-EF413523,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E2196C93,Evidence Profile,EVP-ED2E16BE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-42C6E237,Evidence Profile,EVP-C2759EAF,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-56482EC9,Evidence Profile,EVP-C27AB1EE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-1650E00B,Evidence Profile,EVP-C0763A8A,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-FF94AD01,Evidence Profile,EVP-698280F8,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E7D38415,Evidence Profile,EVP-3BFCCA9C,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-CF54B765,Evidence Profile,EVP-EE4342E5,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-4FB9893D,Evidence Profile,EVP-637C62FB,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-129E3978,Evidence Profile,EVP-39746C2F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-D4C8D487,Evidence Profile,EVP-D58A9BF2,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-DEA7CDD8,Evidence Profile,EVP-D9E78F20,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E88E06AD,Evidence Profile,EVP-F0FE672C,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C6D8CCFA,Evidence Profile,EVP-C761C428,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2FA7BDAD,Evidence Profile,EVP-CEE8B22F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2B4C2650,Evidence Profile,EVP-9452C9D4,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-1C1A707B,Evidence Profile,EVP-C00E9FB9,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-1C5CA441,Evidence Profile,EVP-CB4B69FE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-9981804C,Evidence Profile,EVP-9B619E83,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-35511566,Evidence Profile,EVP-A8336271,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-B35D7112,Evidence Profile,EVP-710AACAE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-FBE7008D,Evidence Profile,EVP-CBD06D0D,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-266FF51A,Evidence Profile,EVP-989C7FF3,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-ABF37E1C,Evidence Profile,EVP-947F6AAD,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-6B15B4A0,Evidence Profile,EVP-E5EBDCDD,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-CB016F4D,Evidence Profile,EVP-B75D0D09,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-A8C3B104,Evidence Profile,EVP-C24AD872,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-5F7C7E87,Evidence Profile,EVP-EE944DC9,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-5E32E7BB,Evidence Profile,EVP-76E6AABB,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-9DE77480,Evidence Profile,EVP-B338E365,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-79C7ABC8,Evidence Profile,EVP-2ACCFA03,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-31BA4194,Evidence Profile,EVP-C4629BA2,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-4E63B799,Evidence Profile,EVP-C0852EDB,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-72266CA1,Evidence Profile,EVP-41F8F15C,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-F66110AE,Evidence Profile,EVP-A40EEE98,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-EF581A24,Evidence Profile,EVP-BFA3653B,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-A2093B4E,Evidence Profile,EVP-0AC6755B,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-0465D92C,Evidence Profile,EVP-D73B63E0,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-74B0C881,Evidence Profile,EVP-13425178,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-9AE13956,Evidence Profile,EVP-47D02632,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-4774D046,Evidence Profile,EVP-C25D2B9C,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E021D22E,Evidence Profile,EVP-1B5571C5,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-0CC85394,Evidence Profile,EVP-537F33D4,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-3A171A44,Evidence Profile,EVP-29BCD731,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2B6C31D5,Evidence Profile,EVP-EE2C63CE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C75401D6,Evidence Profile,EVP-3FC92C97,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-3BF23B6B,Evidence Profile,EVP-D2322ECA,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-D930F884,Evidence Profile,EVP-1C525AD7,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-F096314B,Evidence Profile,EVP-B529299F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E76983CE,Evidence Profile,EVP-B7BEECC5,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2B85FE59,Evidence Profile,EVP-23E3CA6C,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E89C9F15,Evidence Profile,EVP-E849160B,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-69B0F3D3,Evidence Profile,EVP-AE61FCAD,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8E8AA8E7,Evidence Profile,EVP-3A47F1EE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-4482A3BD,Evidence Profile,EVP-6A9EE945,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-21716F00,Evidence Profile,EVP-58CACC53,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-4C0A792B,Evidence Profile,EVP-D917D1A5,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-CD1EFEFE,Evidence Profile,EVP-ACB5FB21,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-034BE071,Evidence Profile,EVP-027488B8,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-CB3F64F0,Evidence Profile,EVP-585166F1,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-BFE7B926,Evidence Profile,EVP-582E40F2,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-6BCB5F3F,Evidence Profile,EVP-276F9147,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-50B0CEFE,Evidence Profile,EVP-C93731EA,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-203F5823,Evidence Profile,EVP-CCADD281,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-94EBBF20,Evidence Profile,EVP-BF67D6F9,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-997EE520,Evidence Profile,EVP-2CC5FEA8,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-94619A66,Evidence Profile,EVP-B9F6B09B,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C9D56335,Evidence Profile,EVP-FCEADD0D,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-668DF652,Evidence Profile,EVP-AD70AF60,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-68151A84,Evidence Profile,EVP-5B90267E,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8A66CA58,Evidence Profile,EVP-04B1AD16,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-D7659FBB,Evidence Profile,EVP-71117666,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C39907FB,Evidence Profile,EVP-48312FE0,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-E3C95830,Evidence Profile,EVP-5A87905A,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-A04665EE,Evidence Profile,EVP-6704F77B,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-112D69D2,Evidence Profile,EVP-1CCF2EC1,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2C920B20,Evidence Profile,EVP-AE965734,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-D807AF83,Evidence Profile,EVP-B4F2BF3F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-FE460C17,Evidence Profile,EVP-92ACD51C,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-8E00FA09,Evidence Profile,EVP-80B5E388,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-FAB32265,Evidence Profile,EVP-DEDF1353,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-921DB265,Evidence Profile,EVP-14471957,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-B98998D9,Evidence Profile,EVP-EA5DCA26,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-16E0D4AE,Evidence Profile,EVP-0450DA60,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-FB4D46AF,Evidence Profile,EVP-D48A94DE,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-DFC79BC0,Evidence Profile,EVP-2213068F,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-2DAD384A,Evidence Profile,EVP-B1048FC7,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-7F5065C2,Evidence Profile,EVP-3220ACAB,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-C77E7113,Evidence Profile,EVP-36BB0727,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-293CEE23,Evidence Profile,EVP-7B5600B8,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-1B3A701D,Evidence Profile,EVP-B171A071,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
RET-9CB9F2F8,Evidence Profile,EVP-44483C72,Decision Evidence,Active,Retention Period Requires Organisational Policy,True,False,False,False,Restricted,Retention classification for evidence profile
