decision_package_id,integrated_management_brief_id,scenario_summary_present,scenario_summary_not_applicable,completeness_status
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,IMB-848638E0,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,IMB-5E70F27C,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,IMB-6A1954AC,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,IMB-B9321AB4,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,IMB-90F8EAE1,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,IMB-C5D0CD16,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,IMB-310AAD35,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,IMB-EB15E72D,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,IMB-88D1EAA2,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,IMB-C4E0B569,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,IMB-2C537282,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,IMB-8F710E56,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,IMB-1A1A320A,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,IMB-18DD489D,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,IMB-756B92AF,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,IMB-78B486D4,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,IMB-51772D15,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,IMB-C1CF97A4,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,IMB-2B355530,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,IMB-186319C6,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,IMB-0350210E,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,IMB-556780F8,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,IMB-DE03CA73,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,IMB-3DB07DBC,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,IMB-9A67DACE,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,IMB-756B1334,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,IMB-63E130E8,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,IMB-FBD92695,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,IMB-B13BBDEE,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,IMB-0122DA0F,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,IMB-81425FAF,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,IMB-691AAF23,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,IMB-1557EBDA,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,IMB-EDF68493,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,IMB-AF228DCA,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,IMB-0380CAC3,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,IMB-B035C641,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,IMB-F89F9397,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,IMB-28389C99,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,IMB-61D60D2B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,IMB-6E2ED4B9,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,IMB-990451D6,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,IMB-DB3BEFA8,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,IMB-4ADD3943,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,IMB-56D41D3C,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,IMB-C92C3321,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,IMB-DD5879BC,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,IMB-1839D7C6,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,IMB-84A68261,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,IMB-0C5E59E8,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,IMB-7584F4A3,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,IMB-03B0539E,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,IMB-4B5EC376,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,IMB-FFA75233,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,IMB-102138E2,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,IMB-252CEAEA,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,IMB-E1ABD162,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,IMB-06C1F371,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,IMB-6936A8F2,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,IMB-BD1A5B24,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,IMB-122AE627,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,IMB-55345F31,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,IMB-388383C6,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,IMB-C8B3D708,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,IMB-331BB463,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,IMB-5DEF4700,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,IMB-0EACA9A3,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,IMB-B3860E94,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,IMB-683A7401,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,IMB-737E3D66,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,IMB-322852D8,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,IMB-EC1791C3,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,IMB-5343FE59,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,IMB-D0035F78,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,IMB-94467A66,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,IMB-5A4DE0AF,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,IMB-A528E0F6,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,IMB-DC932E39,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,IMB-135A0B0B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,IMB-7840E148,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,IMB-E020A4F3,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,IMB-7880B462,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,IMB-51604F49,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,IMB-FE04A5CA,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,IMB-99E28637,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,IMB-5ABAC611,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,IMB-52C962BA,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,IMB-87BB1A9A,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,IMB-F21367D0,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,IMB-93E28A3B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,IMB-CBC2E359,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,IMB-5724DC90,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,IMB-2D400A12,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,IMB-062D55CC,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,IMB-3D094DFE,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,IMB-0884C637,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,IMB-D4D15739,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,IMB-8C15F08F,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,IMB-77E18DD3,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,IMB-C78EF025,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,IMB-C99E0A26,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,IMB-C64D83FA,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,IMB-F6C736A7,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261008,IMB-8C653F7D,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261014,IMB-492E385E,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261101,IMB-48FB8DCF,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261113,IMB-833250CD,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20261227,IMB-394E2514,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260106,IMB-9E7A3849,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260207,IMB-524F8372,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260310,IMB-3B12D895,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260421,IMB-6A05B58B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260425,IMB-D89DB47B,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260521,IMB-B778AC03,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260603,IMB-922A4E50,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260610,IMB-21A3EFE6,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260614,IMB-43213456,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260626,IMB-4FF86CE0,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260707,IMB-006DB262,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260818,IMB-B549CE27,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20260923,IMB-156E2C74,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261005,IMB-21AACEF1,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261013,IMB-F2E74DF4,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261026,IMB-4085771E,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261102,IMB-C2E556F1,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261109,IMB-72F9988E,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261127,IMB-B8D4CC46,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261212,IMB-4C56E237,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_002-20261217,IMB-27A400BB,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260404,IMB-8A948793,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260413,IMB-0AA72C33,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260427,IMB-B9191393,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260503,IMB-8B9D7152,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260508,IMB-D77CD007,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260601,IMB-3D431876,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260606,IMB-9B0F67A0,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_004-20260716,IMB-E9D2C951,True,False,Complete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260209,IMB-05DD713F,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260216,IMB-851E06E6,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260312,IMB-A1D3C221,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260510,IMB-6380C7FF,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260719,IMB-D57D2899,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260913,IMB-47FDB072,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20260917,IMB-934083AF,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_005-20261116,IMB-7BE1D98F,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260128,IMB-62A15DA2,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260309,IMB-EA795E57,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260318,IMB-5732FCD4,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260323,IMB-049A549E,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260330,IMB-B2C01513,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260412,IMB-FB443D62,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260702,IMB-B88045DF,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260712,IMB-391A1E0C,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260731,IMB-0A3D30AD,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260805,IMB-DC2EA785,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260902,IMB-1A93F606,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260909,IMB-C7C5A607,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260914,IMB-93A20730,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20260921,IMB-E7E997C8,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261004,IMB-682B72A4,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261111,IMB-624C0843,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261118,IMB-CAE02443,False,False,Incomplete
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_006-20261129,IMB-5C84850A,False,False,Incomplete
