section_validation_id,decision_package_id,approval_package_id,mandatory_sections_count,present_sections_count,missing_sections,section_validation_passed
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218-SV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,13,8,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs|financial_impact,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422-SV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,13,9,executive_issue_summary|kpi_and_risk_evidence|recommendation_options|kpi_impact_and_tradeoffs,False
