integrated_management_brief_id,decision_package_id,evidence_completeness_status,lineage_completeness_status,audit_traceability_status,integrity_status,current_package_version,source_manifest,audit_requirements_pending,future_audit_status
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-135A0B0B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7840E148,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-E020A4F3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-7880B462,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-51604F49,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-FE04A5CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-99E28637,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5ABAC611,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-52C962BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-87BB1A9A,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-F21367D0,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-93E28A3B,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-CBC2E359,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-5724DC90,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
IMB-2D400A12,DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,Complete,Complete,Traceable,Verified,1.0,,,Awaiting Management Action
