integrated_management_brief_id,decision_package_id,export_type,export_appendix,display_order,available_flag,governance_note
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-9332DC7F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-67568966,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-054E896F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-C2279558,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-03B9E920,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-27792F9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-6FD595C3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-DBBE6786,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Financial Comparison Appendix,Financial Comparison,4,True,Export contract for future generation
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Evidence Summary Appendix,Evidence Summary,5,True,Export contract for future generation
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Lineage and Audit Appendix,Lineage and Audit,6,True,Export contract for future generation
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Monitoring Appendix,Monitoring,7,True,Export contract for future generation
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Validation Requirements Appendix,Validation Requirements,8,True,Export contract for future generation
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,One-Page Executive Brief,Executive Brief,1,True,Export contract for future generation
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Detailed Management Brief,Detailed Management Brief,2,True,Export contract for future generation
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Scenario Comparison Appendix,Scenario Comparison,3,True,Export contract for future generation
