decision_package_id,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,scenario_assumptions,kpi_impact,tradeoffs,displacement_risk,financial_impact,confidence,validation_warning
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20251220,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250202,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250206,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250330,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250409,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250524,Baseline value: 17.857142857142854,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250529,Baseline value: 15.789473684210526,Estimated impact: -10.000000000000004%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250611,Baseline value: 23.809523809523807,Estimated impact: -9.999999999999996%,Estimated impact: -19.99999999999999%,Estimated impact: -35.0%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250620,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250624,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250710,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250716,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250814,Baseline value: 21.052631578947366,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20250925,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251019,Baseline value: 18.181818181818183,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251102,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251114,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251121,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251214,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20251225,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250130,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250214,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250325,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250404,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250408,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250413,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250424,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250509,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250618,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250623,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250629,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250703,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250709,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250719,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250809,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250824,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250904,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250923,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20250928,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251007,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251023,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251027,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251202,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20251218,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250108,Baseline value: 78.57142857142857,Estimated impact: 14.285714285714292%,Estimated impact: 21.42857142857143%,Estimated impact: 21.42857142857143%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250401,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250417,Baseline value: 76.92307692307693,Estimated impact: 15.384615384615373%,Estimated impact: 23.076923076923062%,Estimated impact: 23.076923076923062%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250423,Baseline value: 78.4090909090909,Estimated impact: 17.243083003952577%,Estimated impact: 21.590909090909093%,Estimated impact: 21.590909090909093%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250507,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250511,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250520,Baseline value: 76.92307692307693,Estimated impact: 15.384615384615373%,Estimated impact: 23.076923076923062%,Estimated impact: 23.076923076923062%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250606,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250610,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250619,,,,,No-Action or Baseline Comparator,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250704,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250723,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250804,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250810,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250901,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20250912,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251023,Baseline value: 78.57142857142857,Estimated impact: 14.285714285714292%,Estimated impact: 21.42857142857143%,Estimated impact: 21.42857142857143%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251031,,,,,No-Action or Baseline Comparator,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20251108,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250122,Baseline value: 33.33333333333333,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250328,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250409,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250422,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250426,Baseline value: 24.03846153846154,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250515,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250521,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250615,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250621,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250626,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250720,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250727,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250910,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250915,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250921,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20250930,Baseline value: 11.794871794871796,Estimated impact: -9.999999999999991%,Estimated impact: -20.000000000000004%,Estimated impact: -35.0%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251015,Baseline value: 21.428571428571427,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251019,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251027,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251111,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251115,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251126,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251202,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,No-Action or Baseline Comparator,,,,-221250.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251207,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20251227,,,,,No-Action or Baseline Comparator,,,,-221250.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250402,,,,,No-Action or Baseline Comparator,,,,-134350.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250412,,,,,No-Action or Baseline Comparator,,,,-134350.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250421,,,,,No-Action or Baseline Comparator,,,,-134350.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250428,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250531,,,,,No-Action or Baseline Comparator,,,,-134350.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250614,,,,,No-Action or Baseline Comparator,,,,-134350.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20250707,,,,,No-Action or Baseline Comparator,,,,-134350.0,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250107,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250116,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250123,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250130,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250207,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250213,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250220,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250302,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250317,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250324,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250410,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250420,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250506,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250528,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250629,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250817,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250830,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250904,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250911,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20250923,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251003,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251009,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251014,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251026,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251102,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251119,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251125,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251205,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251209,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20251219,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250126,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250218,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250224,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250319,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250331,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250416,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250425,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250504,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250523,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250611,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250702,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250728,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250813,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250828,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250902,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250920,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20250925,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20251007,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20251025,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20251114,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20251206,,,,,Monitoring-Only or Validation Scenario,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250107,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250201,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250211,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250303,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250319,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250402,,,,,No-Action or Baseline Comparator,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250502,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250509,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250522,Baseline value: 70.0,Estimated impact: 20.0%,Estimated impact: 30.0%,Estimated impact: 30.0%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250531,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250604,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250624,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250705,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250713,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250727,,,,,No-Action or Baseline Comparator,,,,,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20250930,Baseline value: 75.0,Estimated impact: 12.5%,Estimated impact: 25.0%,Estimated impact: 25.0%,No-Action or Baseline Comparator,,,,-72780.0,Insufficient Evidence,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251008,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251014,,,,,No-Action or Baseline Comparator,,,,-72780.0,,
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20251101,,,,,No-Action or Baseline Comparator,,,,,,
