decision_package_id,integrated_management_brief_id,streamlit_ready,validation_outcome,correction_classification,handover_status
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,IMB-9CAF9BFB,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,IMB-69084F9C,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,IMB-7ACB682D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,IMB-A04C31D2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,IMB-7BF5560B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,IMB-0F7CBBBD,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,IMB-DC313032,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,IMB-B16AC730,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,IMB-65B007AB,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,IMB-00BBC43E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,IMB-CB403676,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,IMB-7A203DC9,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,IMB-6B9113B2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,IMB-7E694674,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,IMB-791D31AE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,IMB-42E27596,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,IMB-26E86E31,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,IMB-CD88A7D0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,IMB-A201D5E5,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,IMB-F7E62568,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,IMB-3CC21958,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,IMB-D54BBA62,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,IMB-AB7D1D25,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,IMB-593A5AB7,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,IMB-34FF2141,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,IMB-B778809C,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,IMB-96D5924D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,IMB-EB012AEE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,IMB-DB2B5F57,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,IMB-CE996CF0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,IMB-C5CE1EFE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,IMB-658006F1,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,IMB-48F1383A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,IMB-7C829C4B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,IMB-D2F75205,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,IMB-75280831,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,IMB-5E629520,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,IMB-7EE68EF0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,IMB-F79F8EA6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,IMB-815944D4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,IMB-3E494728,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,IMB-5B350E77,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,IMB-71C375B8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,IMB-E784EC35,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,IMB-312BC4A0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,IMB-B504AD7E,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,IMB-5D0F86C8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,IMB-8FBCBB00,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,IMB-AC26D40C,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,IMB-AC0448CA,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,IMB-8C4D0024,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,IMB-03A5CBFA,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,IMB-DC7B8314,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,IMB-FA35DD9B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,IMB-F325F6DE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,IMB-8FDF73B1,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,IMB-FEBBC6DF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,IMB-F50D5B65,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,IMB-00B717A2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,IMB-46F208B5,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,IMB-848638E0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,IMB-5E70F27C,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,IMB-6A1954AC,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,IMB-B9321AB4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,IMB-90F8EAE1,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,IMB-C5D0CD16,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,IMB-310AAD35,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,IMB-EB15E72D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,IMB-88D1EAA2,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,IMB-C4E0B569,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,IMB-2C537282,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,IMB-8F710E56,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,IMB-1A1A320A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,IMB-18DD489D,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,IMB-756B92AF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,IMB-78B486D4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,IMB-51772D15,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,IMB-C1CF97A4,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,IMB-2B355530,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,IMB-186319C6,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,IMB-0350210E,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,IMB-556780F8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,IMB-DE03CA73,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,IMB-3DB07DBC,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,IMB-9A67DACE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,IMB-756B1334,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,IMB-63E130E8,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,IMB-FBD92695,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,IMB-B13BBDEE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,IMB-0122DA0F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,IMB-81425FAF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,IMB-691AAF23,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,IMB-1557EBDA,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,IMB-EDF68493,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,IMB-AF228DCA,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,IMB-0380CAC3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,IMB-B035C641,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,IMB-F89F9397,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,IMB-28389C99,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,IMB-61D60D2B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,IMB-6E2ED4B9,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,IMB-990451D6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,IMB-DB3BEFA8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,IMB-4ADD3943,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,IMB-56D41D3C,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,IMB-C92C3321,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,IMB-DD5879BC,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,IMB-1839D7C6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,IMB-84A68261,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,IMB-0C5E59E8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,IMB-7584F4A3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,IMB-03B0539E,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,IMB-4B5EC376,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,IMB-FFA75233,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,IMB-102138E2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,IMB-252CEAEA,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,IMB-E1ABD162,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,IMB-06C1F371,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,IMB-6936A8F2,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,IMB-BD1A5B24,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,IMB-122AE627,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,IMB-55345F31,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,IMB-388383C6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,IMB-C8B3D708,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,IMB-331BB463,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,IMB-5DEF4700,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,IMB-0EACA9A3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,IMB-B3860E94,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,IMB-683A7401,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,IMB-737E3D66,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,IMB-322852D8,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,IMB-EC1791C3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,IMB-5343FE59,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,IMB-D0035F78,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,IMB-94467A66,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,IMB-5A4DE0AF,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,IMB-A528E0F6,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,IMB-DC932E39,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260813,IMB-135A0B0B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260828,IMB-7840E148,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260902,IMB-E020A4F3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260920,IMB-7880B462,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260925,IMB-51604F49,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261007,IMB-FE04A5CA,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261025,IMB-99E28637,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261114,IMB-5ABAC611,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20261206,IMB-52C962BA,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260107,IMB-87BB1A9A,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260201,IMB-F21367D0,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260211,IMB-93E28A3B,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260303,IMB-CBC2E359,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260319,IMB-5724DC90,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260402,IMB-2D400A12,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260502,IMB-062D55CC,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260509,IMB-3D094DFE,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260522,IMB-0884C637,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260531,IMB-D4D15739,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260604,IMB-8C15F08F,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260624,IMB-77E18DD3,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260705,IMB-C78EF025,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260713,IMB-C99E0A26,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260727,IMB-C64D83FA,True,Validated with Conditions,Documentation Clarification,Ready with Conditions
DPKG-PKG-EP-HOSP-001-DEPT-ED-kpi_001-20260930,IMB-F6C736A7,True,Validated for Streamlit Handover,No Correction Required,Ready for Handover
