issue_id,decision_package_id,issue_type,issue_description,severity,resolution_status,governance_note
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
CISS-DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Validation Condition,Package validated with conditions: scenario:ready_review_scenario_present,Medium,Open,Condition remains visible in Streamlit handover
