management_review_id,decision_package_id,reviewer_role,reviewer_id,reviewer_name,review_timestamp,review_status,review_outcome,selected_action_id,selected_scenario_id,management_comment,conditions_imposed,evidence_reviewed_flag,financial_reviewed_flag,governance_reviewed_flag,approval_reference,audit_event_id,governance_note
MRV-5E36D266,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-981F82F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-43FB5981,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-9354C758,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-DC3AB8B4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-42052AA5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-CEC8F858,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-2B1298AC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-EF738A44,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-7AD4553A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D4FB6FB6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-8DA24E80,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-82491FAA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-1F96DF8E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-5CD70D24,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-18F64524,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-7F75D5A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-48B62204,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-15C5D044,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-F129355A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-7D95666B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-7BB698BF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-0AE67C2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-E45BFF4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-2D8B3C31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-A11B1716,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-413EFE95,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-6738C01F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-42A2D2D1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-CBF5FABD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-C598BCDC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-1DD3F2BD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-3AB42C39,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-BF17A16B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-1EA13974,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-ED8E22E1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-BAA40DDD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-F744300B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-444A19AE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-8DD307DC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-7ECF49CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-E5620105,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-0B9A0C19,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-18D1AF8F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-B64AD20D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-DE1F83B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D3AFA009,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-81110512,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-F1AF1784,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-6714330B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-3B85D6E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-B956CA69,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D5F710E7,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-1EA5780D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D0D25228,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-4B681B30,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-8C5332F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-9AA7B87A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-8E9655EC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-B8CA5465,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-080A6661,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-6FB97264,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-8278537C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-E0474435,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-C6616606,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-CAC0A62E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-FD799789,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-B189AC23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-BB2CAA42,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-B26275B6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-7FB2F06A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-4FA67B1B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-E41EED75,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-CF1E448A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-44111479,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-907F9349,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-3978D24A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-3B266CDD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-F11B3E62,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-6ED9EDF0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-14A3CF71,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-AAE6B28C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-E3E55D28,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-0CE81F54,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-42D6D68E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-FD8789D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-32E6A2DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-A61C40D3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-8E22121E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-2DC264AD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-4BED7CA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-79CB7388,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-41B86C34,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-711052F7,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-55185D69,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-04B9FC0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-2D786756,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-3630E62E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-173DE8D1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-95914878,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-71CD6E44,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D056DE83,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-782E13D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-96C99610,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-C7F4109C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-18592AD8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-A5FAA028,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-69604378,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-FCDCFBB3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-5CA91603,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-2977C6A7,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D3984BBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-50CF7488,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-FDB6BE7A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-0143BB60,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-D5658D65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-5E6DD43C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-48E75C1A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
MRV-58BCF8B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,Hospital COO / General Manager,,,,Pending Management Review,,,,,,False,False,False,,,Management review contract for future use
