priority_view_id,decision_package_id,approval_package_id,hospital,department,dominant_kpi,risk_tier,urgency,package_status,decision_readiness,scenario_readiness,financial_readiness,contradiction_warning,provisional_warning,top_management_question,permitted_next_action,monitoring_required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Unknown,Admissions,Staff Absenteeism Rate,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Unknown,Admissions,Patient Satisfaction Score,,,Monitoring Only,Unknown,0.0,,,False; False,Should the case remain under monitoring?,Continue Monitoring,True
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108-PV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Unknown,Diagnostics,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401-PV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Unknown,Diagnostics,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417-PV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Unknown,Diagnostics,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423-PV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Unknown,Diagnostics,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507-PV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Unknown,Diagnostics,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511-PV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Unknown,Diagnostics,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520-PV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Unknown,Diagnostics,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606-PV,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Unknown,Diagnostics,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
