integrated_management_brief_id,decision_package_id,monitoring_required,monitoring_kpis,monitoring_frequency,trigger_condition,escalation_condition,reassessment_condition,monitoring_responsible_role,management_attention_required
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,True
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,True
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,False,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,False
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,True
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0C5E59E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-7584F4A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-03B0539E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-4B5EC376,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-FFA75233,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-102138E2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-252CEAEA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-E1ABD162,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-06C1F371,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-6936A8F2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-BD1A5B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-122AE627,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-55345F31,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-388383C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-C8B3D708,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-331BB463,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261209,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5DEF4700,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261219,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-0EACA9A3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260126,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-B3860E94,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260218,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-683A7401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260224,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-737E3D66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260319,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-322852D8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260331,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-EC1791C3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260416,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5343FE59,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260425,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-D0035F78,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260504,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-94467A66,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260523,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-5A4DE0AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260611,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-A528E0F6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260702,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
IMB-DC932E39,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_006-20260728,True,,Monthly,KPI threshold breach,Sustained threshold breach > 2 periods,Quarterly review,,False
