management_selection_id,decision_action_routing_id,decision_package_id,eligible_action_id,selected_flag,selected_by,selected_timestamp,management_comment,approval_reference,decision_status,audit_status,governance_note
SEL-802856FE,DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-5259631A,DAR-CB286D43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-BF34526F,DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-54EBD009,DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-3BE58394,DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-06552B6C,DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-F446E48D,DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-534207D5,DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-0C7C731A,DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-46F98928,DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-49BCA9E1,DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-C679C5B7,DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-414B586B,DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-4A93112A,DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-9451862B,DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-4DC45042,DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-EDBCBAE6,DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-586A1D44,DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-92472090,DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-3DFE7F2D,DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-0E6E29B6,DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-BC311212,DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-7A008902,DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-6DFC36D3,DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-7FB5FF4F,DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-D77FC9F9,DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-9F3DBBE8,DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-F3A5DBF0,DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-59143717,DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-AB65E299,DAR-CB39AB43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-8FB2862A,DAR-6ED1DB35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-92A0C6F3,DAR-7F544C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-ACEB163C,DAR-0F51E482,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-99C1C35E,DAR-28B6521A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-F0B8F7EB,DAR-9DFEFBA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-C7FB0F4E,DAR-D30299F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-BEA14954,DAR-577044F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-C7D2EF3C,DAR-3A1905CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-BF08B6C9,DAR-74B2FAB6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-8EB4A2A9,DAR-65FFC947,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-9F8266BB,DAR-F69D881E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-72ADD804,DAR-A088C72F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-A0BDE59A,DAR-1FC88CEB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-541B7C54,DAR-85B425D8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-B0011AB7,DAR-1A8CB370,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-AC6CC7BC,DAR-A904BCBD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-B95408EF,DAR-CBFB2A12,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-55D73837,DAR-44D140E9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-E3E8784C,DAR-D58E9BD2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-A7F3247F,DAR-FA6D78BA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-DD42872D,DAR-F58A9C34,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-13E2D091,DAR-0B68089C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-77B99970,DAR-EA4053CB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-020EAC3D,DAR-98726969,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-56585D8D,DAR-C3E2A005,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-004FC6C2,DAR-43A3A727,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-3455C329,DAR-4E0233B3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-A7F3FDF5,DAR-A2184B45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-ECBB98F5,DAR-8E139A61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-6FA4FD3A,DAR-2C86E20D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-F23E9A36,DAR-CBD1AB9C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-358624A3,DAR-72920AE5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-188B6057,DAR-F151BB6D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-D39F56B7,DAR-C959CF61,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-DEDF3D86,DAR-D86AFFC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-A0AEEF80,DAR-A8A39E5D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-624E8F33,DAR-91888938,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-5571F866,DAR-47AA9CDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-3476422E,DAR-02CD3D0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-79AC2C64,DAR-67B60B0A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-8520EBDE,DAR-486153C0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-720048A4,DAR-B041DB80,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-C69C6EAD,DAR-8A48496A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-F2C254EA,DAR-11B3A8FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-E5C09F5C,DAR-DCA573F0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-82FB1932,DAR-8F07C192,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-AF45E301,DAR-C10FA647,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-3452BD39,DAR-EE7D0265,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-A9A6C7F6,DAR-654C8862,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-3E1D49B6,DAR-6E4ECFB0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-41CB0EA7,DAR-207414C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-BAE97806,DAR-B668EB93,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-E1A22DDB,DAR-735B99A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-25B7253D,DAR-A27D8B24,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-5EEB7F5E,DAR-C05DF516,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-693F0164,DAR-D7A73F42,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-DE7F7E05,DAR-7FBB55CE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-BAB7974B,DAR-EE146E46,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-33F32C99,DAR-CB297F72,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-7C605349,DAR-585479DB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-D1A0FD6E,DAR-4F92C8DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-841CA4B6,DAR-501FE4B7,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-B84AF7B9,DAR-BFD757FA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-091E96E4,DAR-ACE8C1A1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-91102C1D,DAR-CC1CE605,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-C210FE14,DAR-DE25D0B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-800E93BE,DAR-0BCF969E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-A1089BFB,DAR-431CEE4A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-82BEEE92,DAR-E28A4AD1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-513DCA5E,DAR-7FEF4848,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-62C814CC,DAR-A8046561,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-94D2864B,DAR-4F657D8C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-3CE8A847,DAR-A28849F1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-B35DE5CC,DAR-32CA4EF9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-8F92783B,DAR-4F1EEB63,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-94472D52,DAR-F440C1BB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-A95323BD,DAR-F4DDBC83,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-EC245666,DAR-0D1B0882,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-E8A2E990,DAR-172F03A0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260528,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-5CE4C071,DAR-5E15B5D2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260629,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-0ECFD0B7,DAR-6D67FDDB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260817,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-93DCE573,DAR-3379CCB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260830,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-4FAEE146,DAR-89AFC945,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260904,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-F17031D5,DAR-F7CB6300,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260911,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-36663136,DAR-41FB30F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260923,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-9B17A877,DAR-0DAA31F9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261003,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-EC5DA307,DAR-FF13F1EB,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261009,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-6CCA2DEE,DAR-077ECD22,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261014,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-10B1602F,DAR-1AB43FDD,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261026,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-CE94EF88,DAR-A0994D45,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261102,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-227AE29B,DAR-4449D247,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261119,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-37054581,DAR-AC9C2B20,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261125,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
SEL-9BA12035,DAR-7EA3EFC1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20261205,,False,,,,,Pending Management Review,Awaiting Management Action,No selection fabricated - contract for future use
