queue_assignment_id,decision_readiness_id,decision_scorecard_id,decision_package_id,final_readiness_status,primary_queue,secondary_queue,queue_entry_date,queue_priority,queue_status,governance_note
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076386,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Requires Evidence Completion,Evidence Completion Queue,,2026-07-29T13:40:33.076416,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076447,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Requires Evidence Completion,Evidence Completion Queue,,2026-07-29T13:40:33.076478,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Requires Lineage Completion,Lineage Completion Queue,,2026-07-29T13:40:33.076509,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076539,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Requires Additional Scenario Analysis,Additional Scenario Queue,,2026-07-29T13:40:33.076569,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076599,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076629,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076660,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076689,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076719,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076749,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Requires Stakeholder Validation,Stakeholder Validation Queue,,2026-07-29T13:40:33.076780,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Requires Stakeholder Validation,Stakeholder Validation Queue,,2026-07-29T13:40:33.076809,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076839,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Requires Baseline Validation,Baseline Validation Queue,,2026-07-29T13:40:33.076869,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076898,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Requires Financial Input,Financial Input Queue,,2026-07-29T13:40:33.076927,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.076957,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.076986,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.077030,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.077071,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077103,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077134,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077164,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077195,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077226,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077257,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077287,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077318,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077348,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077378,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077407,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077437,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077466,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077495,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077523,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077551,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077580,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077610,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077638,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077666,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077696,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077726,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077754,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Only,Monitoring Queue,,2026-07-29T13:40:33.077783,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.077812,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Ready with Conditions,Conditional Review Queue,,2026-07-29T13:40:33.077842,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.077871,Standard,Active,Exactly one primary queue assigned
QA-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Ready for Integrated Management Review,Integrated Management Review Queue,,2026-07-29T13:40:33.077900,Standard,Active,Exactly one primary queue assigned
