integrated_management_brief_id,decision_package_id,primary_permitted_action,secondary_permitted_actions,blocked_action_summary,primary_queue,secondary_queues,responsible_role,escalation_required,escalation_status,escalation_reason
IMB-C95CA297,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Request Additional Scenario,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-8D8019FF,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-4BE80CE6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-7923F3A5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-1EA09D3F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Request Evidence Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-9CAF9BFB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-69084F9C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Request Evidence Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-7ACB682D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Request Lineage Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-A04C31D2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-7BF5560B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Request Additional Scenario,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-0F7CBBBD,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-DC313032,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-B16AC730,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-65B007AB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-00BBC43E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-CB403676,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-7A203DC9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Request Stakeholder Review,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-6B9113B2,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Request Stakeholder Review,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-7E694674,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-791D31AE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Validate Baseline,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-42E27596,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-26E86E31,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Validate Financial Inputs,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-CD88A7D0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-A201D5E5,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-F7E62568,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-3CC21958,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-D54BBA62,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-AB7D1D25,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-593A5AB7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-34FF2141,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,
IMB-B778809C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-96D5924D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-EB012AEE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,
IMB-DB2B5F57,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-CE996CF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-C5CE1EFE,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-658006F1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,
IMB-48F1383A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-7C829C4B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-D2F75205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-75280831,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-5E629520,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-7EE68EF0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-F79F8EA6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-815944D4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-3E494728,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-5B350E77,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-71C375B8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-E784EC35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-312BC4A0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Continue Monitoring,,,General Queue,,Operations Manager,False,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-B504AD7E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-5D0F86C8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-8FBCBB00,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-AC26D40C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-AC0448CA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-8C4D0024,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Request Evidence Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-03A5CBFA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-DC7B8314,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Request Additional Scenario,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-FA35DD9B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-F325F6DE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Validate Assumptions,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-8FDF73B1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-FEBBC6DF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Request Evidence Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-F50D5B65,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Validate Benefit Assumptions,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-00B717A2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Request Lineage Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-46F208B5,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Validate Baseline,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-848638E0,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260912,Request Stakeholder Review,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-5E70F27C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261023,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-6A1954AC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261031,Validate Assumptions,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-B9321AB4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20261108,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-90F8EAE1,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260122,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-C5D0CD16,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260328,Validate Baseline,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-310AAD35,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260409,Request Additional Scenario,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-EB15E72D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260422,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-88D1EAA2,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260426,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-C4E0B569,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260515,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-2C537282,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260521,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-8F710E56,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260615,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-1A1A320A,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260621,Request Lineage Completion,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-18DD489D,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260626,Request Stakeholder Review,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-756B92AF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260720,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-78B486D4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260727,Request Stakeholder Review,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-51772D15,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260910,Reject Decision Use,,,General Queue,,Operations Manager,True,Not Assessable,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-C1CF97A4,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260915,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-2B355530,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260921,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-186319C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20260930,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-0350210E,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261015,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-556780F8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261019,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-DE03CA73,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261027,Validate Financial Inputs,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-3DB07DBC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261111,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-9A67DACE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261115,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-756B1334,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261126,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-63E130E8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261202,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-FBD92695,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261207,Validate Benefit Assumptions,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-B13BBDEE,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_002-20261227,Request Additional Scenario,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-0122DA0F,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260402,Review Integrated Decision Package,,,General Queue,,Operations Manager,False,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-81425FAF,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260412,Review Integrated Decision Package,,,General Queue,,Operations Manager,False,Priority Review,
IMB-691AAF23,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260421,Reject Decision Use,,,General Queue,,Operations Manager,False,Not Assessable,
IMB-1557EBDA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260428,Route to Non-Quantitative Review,,,General Queue,,Operations Manager,False,Standard Review,
IMB-EDF68493,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260531,Request Stakeholder Review,,,General Queue,,Operations Manager,True,Standard Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-AF228DCA,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260614,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-0380CAC3,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_004-20260707,Review Integrated Decision Package,,,General Queue,,Operations Manager,True,Priority Review,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-B035C641,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260107,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-F89F9397,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260116,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-28389C99,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260123,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-61D60D2B,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260130,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-6E2ED4B9,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260207,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-990451D6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260213,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-DB3BEFA8,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260220,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-4ADD3943,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260302,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-56D41D3C,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260317,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-C92C3321,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260324,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-DD5879BC,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260410,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-1839D7C6,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260420,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
IMB-84A68261,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_005-20260506,Continue Monitoring,,,General Queue,,Operations Manager,True,Monitoring,"Critical priority, Immediate Review urgency, or executive/clinical approval level required"
