transition_rule_id,decision_readiness_id,decision_package_id,current_state,eligible_next_state,transition_requirements,transition_not_executed_flag,transition_executed,execution_timestamp,executed_by,governance_note
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726-11,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Requires Additional Scenario Analysis,Ready with Conditions,Additional modelling completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127-7,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Requires Evidence Completion,Ready with Conditions,Required evidence references provided,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220-7,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Requires Evidence Completion,Ready with Conditions,Required evidence references provided,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202-8,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Requires Lineage Completion,Ready with Conditions,Source-to-decision lineage completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330-11,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Requires Additional Scenario Analysis,Ready with Conditions,Additional modelling completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710-9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Requires Stakeholder Validation,Ready with Conditions,Stakeholder confirmation received,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716-9,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Requires Stakeholder Validation,Ready with Conditions,Stakeholder confirmation received,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925-1,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Requires Baseline Validation,Ready with Conditions,Baseline validation passes,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102-2,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Requires Financial Input,Ready with Conditions,Mandatory financial inputs provided and validated,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225-4,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261007,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261023,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261027,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261202,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218-5,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20261218,Monitoring Only,Ready with Conditions,Escalation trigger met and valid intervention package available,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260108,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401-4,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260401,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260417,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260423,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507-4,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260507,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511-7,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260511,Requires Evidence Completion,Ready with Conditions,Required evidence references provided,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520-NA,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260520,Ready for Integrated Management Review,No eligible transition defined,No transition available from this state,True,False,,,Terminal or stable state; no transition defined
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606-11,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260606,Requires Additional Scenario Analysis,Ready with Conditions,Additional modelling completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610-4,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260610,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619-0,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260619,Requires Assumption Validation,Ready with Conditions,Required assumptions validated,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704-4,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260704,Ready with Conditions,Ready for Integrated Management Review,All blocking conditions resolved and confirmations completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723-7,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260723,Requires Evidence Completion,Ready with Conditions,Required evidence references provided,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804-10,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260804,Requires Benefit Validation,Ready with Conditions,Benefit eligibility resolved,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810-8,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260810,Requires Lineage Completion,Ready with Conditions,Source-to-decision lineage completed,True,False,,,Rule created only; transition not executed in Step 2D-4
TRANS-DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901-1,DR-DSC-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,DPKG-PKG-EP-HOSP-001-DEPT-DIAG-kpi_001-20260901,Requires Baseline Validation,Ready with Conditions,Baseline validation passes,True,False,,,Rule created only; transition not executed in Step 2D-4
