decision_action_routing_id,decision_package_id,secondary_permitted_action,assigned_flag,selected_flag,governance_note
DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-6CC8A7F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-CAC703A7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-F3BD9351,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Validate Assumptions,False,False,Secondary action for Requires Additional Scenario Analysis
DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Validate Baseline,False,False,Secondary action for Requires Additional Scenario Analysis
DAR-0CCD9938,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Continue Monitoring,False,False,Secondary action for Requires Additional Scenario Analysis
DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-D040CDC1,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-79C9542C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-6207FB56,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Request Stakeholder Review,False,False,Secondary action for Requires Evidence Completion
DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Continue Monitoring,False,False,Secondary action for Requires Evidence Completion
DAR-C0188C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Defer Decision,False,False,Secondary action for Requires Evidence Completion
DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-7DE12342,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Request Stakeholder Review,False,False,Secondary action for Requires Evidence Completion
DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Continue Monitoring,False,False,Secondary action for Requires Evidence Completion
DAR-0065947D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Defer Decision,False,False,Secondary action for Requires Evidence Completion
DAR-CB286D43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Request Evidence Completion,False,False,Secondary action for Requires Lineage Completion
DAR-CB286D43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Defer Decision,False,False,Secondary action for Requires Lineage Completion
DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-CC7DB954,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Validate Assumptions,False,False,Secondary action for Requires Additional Scenario Analysis
DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Validate Baseline,False,False,Secondary action for Requires Additional Scenario Analysis
DAR-FA923347,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Continue Monitoring,False,False,Secondary action for Requires Additional Scenario Analysis
DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-22E3AC13,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-D4026F38,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260524,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-C4E6E240,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260529,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-F2384F54,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260611,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-426B72C9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260620,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-441332C4,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260624,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Validate Assumptions,False,False,Secondary action for Requires Stakeholder Validation
DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Validate Financial Inputs,False,False,Secondary action for Requires Stakeholder Validation
DAR-82C838CB,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260710,Continue Monitoring,False,False,Secondary action for Requires Stakeholder Validation
DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Validate Assumptions,False,False,Secondary action for Requires Stakeholder Validation
DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Validate Financial Inputs,False,False,Secondary action for Requires Stakeholder Validation
DAR-1E4C9848,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260716,Continue Monitoring,False,False,Secondary action for Requires Stakeholder Validation
DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-CB035459,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260814,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Request Evidence Completion,False,False,Secondary action for Requires Baseline Validation
DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Continue Monitoring,False,False,Secondary action for Requires Baseline Validation
DAR-AF9E3D40,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260925,Defer Decision,False,False,Secondary action for Requires Baseline Validation
DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-5D66F99D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261019,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Provide Budget Information,False,False,Secondary action for Requires Financial Input
DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Request Stakeholder Review,False,False,Secondary action for Requires Financial Input
DAR-76298A2F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261102,Continue Monitoring,False,False,Secondary action for Requires Financial Input
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-5D6B7DD8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261114,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Compare Scenario Options,False,False,Secondary action for Ready for Integrated Management Review
DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Request Stakeholder Review,False,False,Secondary action for Ready for Integrated Management Review
DAR-A1061C6F,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261121,Defer Decision,False,False,Secondary action for Ready for Integrated Management Review
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-16854A51,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261214,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Compare Scenario Options,False,False,Secondary action for Ready with Conditions
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Validate Assumptions,False,False,Secondary action for Ready with Conditions
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Validate Baseline,False,False,Secondary action for Ready with Conditions
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Validate Financial Inputs,False,False,Secondary action for Ready with Conditions
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Request Stakeholder Review,False,False,Secondary action for Ready with Conditions
DAR-8DC94D9B,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20261225,Continue Monitoring,False,False,Secondary action for Ready with Conditions
DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-117F321A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-013487F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-5051D7C0,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-54DCC5FC,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-D0CF523E,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-17D71F53,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-30C436A8,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-1DE76F65,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-1A845D8D,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-CB39AB43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-CB39AB43,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-6ED1DB35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-6ED1DB35,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-7F544C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-7F544C2C,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-0F51E482,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-0F51E482,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260709,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-28B6521A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-28B6521A,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260719,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-9DFEFBA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-9DFEFBA3,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260809,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-D30299F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-D30299F7,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260824,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-577044F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-577044F9,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260904,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-3A1905CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
DAR-3A1905CA,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260923,Request Stakeholder Review,False,False,Secondary action for Monitoring Only
DAR-74B2FAB6,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260928,No Action - Monitoring Continues,False,False,Secondary action for Monitoring Only
