patient_experience_daily_id,hospital_id,department_id,reporting_date,reporting_month,reporting_year,complaint_record_count,complaint_valid_record_count,complaint_excluded_record_count,complaint_high_severity_count,complaint_medium_severity_count,complaint_low_severity_count,complaint_open_source_count,complaint_resolved_source_count,complaint_channel_distinct_count,complaint_category_distinct_count,complaint_count_available_flag,survey_record_count,survey_response_count_total,survey_valid_score_record_count,survey_invalid_score_record_count,survey_score_sum,survey_score_weighted_sum,survey_score_min,survey_score_max,survey_score_source_scale_count,survey_score_available_flag,survey_response_count_available_flag,complaint_source_present_flag,survey_source_present_flag,patient_experience_data_complete_flag,unresolved_rule_flag,processing_run_id,processed_datetime,transformation_version
PEX-HOSP-001-DEPT-MED-20260105,HOSP-001,DEPT-MED,2026-01-05,1,2026,1,1,1,0,1,0,1,0,1,1,True,1.0,1.0,1.0,0.0,4.0,4.0,4.157328754028031,4.157328754028031,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260106,HOSP-001,DEPT-ICU,2026-01-06,1,2026,1,1,1,1,0,0,0,1,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260106,HOSP-001,DEPT-ADM,2026-01-06,1,2026,1,1,1,0,0,0,1,0,1,1,True,2.0,2.0,2.0,0.0,7.0,7.0,2.9830280099551123,4.126576788714787,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260106,HOSP-001,DEPT-SURG,2026-01-06,1,2026,1,1,1,1,0,0,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.926709083431079,3.926709083431079,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-PEX-20260107,HOSP-001,DEPT-PEX,2026-01-07,1,2026,2,2,2,0,1,1,2,0,2,2,True,2.0,2.0,2.0,0.0,7.0,7.0,2.715125394089068,5.0,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260107,HOSP-001,DEPT-DIAG,2026-01-07,1,2026,1,1,1,1,0,0,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.717244357119865,3.717244357119865,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260108,HOSP-001,DEPT-MED,2026-01-08,1,2026,1,1,1,0,1,0,1,0,1,1,True,3.0,3.0,2.0,0.0,7.0,7.0,3.683454249619222,3.7244293989601855,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260108,HOSP-001,DEPT-OPC,2026-01-08,1,2026,1,1,1,0,0,1,1,0,1,1,True,2.0,2.0,2.0,0.0,6.0,6.0,3.273366694676351,3.4654586577979445,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260108,HOSP-001,DEPT-DIAG,2026-01-08,1,2026,1,1,1,0,1,0,0,1,1,1,True,3.0,3.0,2.0,0.0,8.0,8.0,3.612954575987577,4.65456138800216,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260109,HOSP-001,DEPT-DIAG,2026-01-09,1,2026,1,1,1,0,0,1,0,1,1,1,True,2.0,2.0,2.0,0.0,8.0,8.0,4.405072771326775,4.465608429139708,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260110,HOSP-001,DEPT-ED,2026-01-10,1,2026,1,1,1,0,0,1,0,1,1,1,True,5.0,5.0,5.0,0.0,19.0,19.0,2.741942060838221,5.0,5.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260110,HOSP-001,DEPT-ADM,2026-01-10,1,2026,1,1,1,0,0,1,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.1584198860998907,3.1584198860998907,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260110,HOSP-001,DEPT-OPC,2026-01-10,1,2026,1,1,1,0,0,1,1,0,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260111,HOSP-001,DEPT-ICU,2026-01-11,1,2026,2,2,2,0,2,0,1,1,1,2,True,2.0,2.0,1.0,0.0,4.0,4.0,4.054120744497785,4.054120744497785,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260111,HOSP-001,DEPT-MED,2026-01-11,1,2026,1,1,1,0,0,1,0,1,1,1,True,1.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260112,HOSP-001,DEPT-SURG,2026-01-12,1,2026,1,1,1,0,1,0,1,0,1,1,True,3.0,3.0,3.0,0.0,12.0,12.0,4.0137572261867085,4.65837430351269,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-PEX-20260112,HOSP-001,DEPT-PEX,2026-01-12,1,2026,1,1,1,0,0,1,1,0,1,1,True,2.0,2.0,2.0,0.0,8.0,8.0,4.11820355558804,4.384332249351929,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260112,HOSP-001,DEPT-DIAG,2026-01-12,1,2026,1,1,1,0,1,0,1,0,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260113,HOSP-001,DEPT-ICU,2026-01-13,1,2026,1,1,1,0,0,1,1,0,1,1,True,3.0,3.0,3.0,0.0,12.0,12.0,3.6514165340406968,4.6364249925968055,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260113,HOSP-001,DEPT-MED,2026-01-13,1,2026,1,1,1,1,0,0,1,0,1,1,True,1.0,1.0,1.0,0.0,4.0,4.0,4.840391714138022,4.840391714138022,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260113,HOSP-001,DEPT-SURG,2026-01-13,1,2026,1,1,1,1,0,0,0,1,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260113,HOSP-001,DEPT-ED,2026-01-13,1,2026,1,1,1,0,0,1,1,0,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260114,HOSP-001,DEPT-ADM,2026-01-14,1,2026,2,2,2,0,1,0,1,1,2,2,True,3.0,3.0,3.0,0.0,10.0,10.0,3.52976583511996,3.6479623275739343,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260114,HOSP-001,DEPT-ED,2026-01-14,1,2026,1,1,1,1,0,0,1,0,1,1,True,2.0,2.0,1.0,0.0,4.0,4.0,4.690901653241086,4.690901653241086,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260115,HOSP-001,DEPT-ICU,2026-01-15,1,2026,1,1,1,0,0,1,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.4993884035197063,3.4993884035197063,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260115,HOSP-001,DEPT-OPC,2026-01-15,1,2026,1,1,1,1,0,0,0,1,1,1,True,1.0,1.0,1.0,0.0,4.0,4.0,4.13571612084484,4.13571612084484,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260116,HOSP-001,DEPT-DIAG,2026-01-16,1,2026,1,1,1,0,1,0,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.2028985437570947,3.2028985437570947,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260116,HOSP-001,DEPT-ADM,2026-01-16,1,2026,1,1,1,1,0,0,1,0,1,1,True,1.0,1.0,1.0,0.0,4.0,4.0,4.111353778232421,4.111353778232421,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260117,HOSP-001,DEPT-ADM,2026-01-17,1,2026,2,2,2,0,1,1,2,0,2,2,True,1.0,1.0,1.0,0.0,4.0,4.0,4.80580895043771,4.80580895043771,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260117,HOSP-001,DEPT-MED,2026-01-17,1,2026,1,1,1,0,1,0,1,0,1,1,True,2.0,2.0,2.0,0.0,7.0,7.0,3.225555701020713,4.080023175320617,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-PEX-20260117,HOSP-001,DEPT-PEX,2026-01-17,1,2026,1,1,1,0,1,0,0,1,1,1,True,1.0,1.0,1.0,0.0,4.0,4.0,4.118886707100473,4.118886707100473,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260118,HOSP-001,DEPT-ADM,2026-01-18,1,2026,2,2,2,0,2,0,2,0,2,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260118,HOSP-001,DEPT-OPC,2026-01-18,1,2026,1,1,1,0,1,0,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.959805673797839,3.959805673797839,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260119,HOSP-001,DEPT-MED,2026-01-19,1,2026,1,1,1,0,1,0,0,1,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260119,HOSP-001,DEPT-ADM,2026-01-19,1,2026,1,1,1,0,0,1,0,1,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260120,HOSP-001,DEPT-SURG,2026-01-20,1,2026,1,1,1,1,0,0,1,0,1,1,True,2.0,2.0,2.0,0.0,6.0,6.0,2.753226954267822,3.3505365197460995,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260120,HOSP-001,DEPT-ADM,2026-01-20,1,2026,1,1,1,0,0,1,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.396050559038887,3.396050559038887,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260121,HOSP-001,DEPT-MED,2026-01-21,1,2026,1,1,1,0,1,0,0,1,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-PEX-20260121,HOSP-001,DEPT-PEX,2026-01-21,1,2026,1,1,1,0,1,0,0,1,1,1,True,1.0,1.0,1.0,0.0,2.0,2.0,2.98473819159802,2.98473819159802,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260122,HOSP-001,DEPT-SURG,2026-01-22,1,2026,1,1,1,0,0,1,1,0,1,1,True,4.0,4.0,3.0,0.0,12.0,12.0,4.231170210397785,4.364984650773733,4.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260122,HOSP-001,DEPT-OPC,2026-01-22,1,2026,1,1,1,0,0,1,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.950690245731341,3.950690245731341,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260122,HOSP-001,DEPT-ICU,2026-01-22,1,2026,1,1,1,0,0,1,1,0,1,1,True,4.0,4.0,4.0,0.0,15.0,15.0,3.416045192066021,4.393440250578041,4.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260123,HOSP-001,DEPT-OPC,2026-01-23,1,2026,1,1,1,0,0,1,0,1,1,1,True,1.0,1.0,1.0,0.0,4.0,4.0,4.186730907087558,4.186730907087558,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260123,HOSP-001,DEPT-DIAG,2026-01-23,1,2026,1,1,1,0,0,1,1,0,1,1,True,2.0,2.0,2.0,0.0,8.0,8.0,3.648793672120028,5.0,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260124,HOSP-001,DEPT-MED,2026-01-24,1,2026,1,1,1,0,1,0,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.9896281361030175,3.9896281361030175,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260124,HOSP-001,DEPT-ED,2026-01-24,1,2026,1,1,1,0,0,1,1,0,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-PEX-20260124,HOSP-001,DEPT-PEX,2026-01-24,1,2026,1,1,1,0,0,1,0,1,1,1,True,4.0,4.0,3.0,0.0,12.0,12.0,3.628134965127492,4.820509929590561,4.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ADM-20260125,HOSP-001,DEPT-ADM,2026-01-25,1,2026,1,1,1,0,0,1,1,0,1,1,True,4.0,4.0,3.0,0.0,11.0,11.0,3.7098075622647153,4.345933323343708,4.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260126,HOSP-001,DEPT-ED,2026-01-26,1,2026,1,1,1,0,1,0,0,1,1,1,True,3.0,3.0,3.0,0.0,12.0,12.0,3.339844827140038,5.0,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260126,HOSP-001,DEPT-DIAG,2026-01-26,1,2026,1,1,1,0,1,0,1,0,1,1,True,1.0,1.0,1.0,0.0,2.0,2.0,2.207602399889632,2.207602399889632,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260126,HOSP-001,DEPT-OPC,2026-01-26,1,2026,1,1,1,0,0,1,1,0,1,1,True,2.0,2.0,2.0,0.0,9.0,9.0,4.452751473902521,4.835954846926319,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260127,HOSP-001,DEPT-ICU,2026-01-27,1,2026,1,1,1,1,0,0,1,0,1,1,True,1.0,1.0,1.0,0.0,4.0,4.0,4.15952470104219,4.15952470104219,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260127,HOSP-001,DEPT-SURG,2026-01-27,1,2026,2,2,2,0,2,0,2,0,2,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260128,HOSP-001,DEPT-MED,2026-01-28,1,2026,1,1,1,0,1,0,0,1,1,1,True,2.0,2.0,2.0,0.0,8.0,8.0,3.96995113447722,4.836720692910841,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260129,HOSP-001,DEPT-ED,2026-01-29,1,2026,1,1,1,0,1,0,1,0,1,1,True,1.0,1.0,1.0,0.0,2.0,2.0,2.8156221042523977,2.8156221042523977,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260130,HOSP-001,DEPT-DIAG,2026-01-30,1,2026,1,1,1,1,0,0,1,0,1,1,True,2.0,2.0,2.0,0.0,7.0,7.0,3.618090775906082,3.7296603473052135,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260130,HOSP-001,DEPT-MED,2026-01-30,1,2026,2,2,2,0,1,1,2,0,2,2,True,2.0,2.0,2.0,0.0,6.0,6.0,2.3397428506007927,4.412112577871941,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260130,HOSP-001,DEPT-ICU,2026-01-30,1,2026,1,1,1,0,1,0,1,0,1,1,True,4.0,4.0,4.0,0.0,14.0,14.0,2.9113316732741072,4.125886615892479,4.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260131,HOSP-001,DEPT-OPC,2026-01-31,1,2026,1,1,1,0,0,1,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.396810483159526,3.396810483159526,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260131,HOSP-001,DEPT-ED,2026-01-31,1,2026,1,1,1,0,0,1,1,0,1,1,True,2.0,2.0,2.0,0.0,6.0,6.0,3.205947752320864,3.356996650487244,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260131,HOSP-001,DEPT-MED,2026-01-31,1,2026,1,1,1,0,0,0,1,0,1,1,True,2.0,2.0,2.0,0.0,9.0,9.0,4.390000012703831,4.9521597729757785,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260201,HOSP-001,DEPT-SURG,2026-02-01,2,2026,1,1,1,0,0,1,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.790330050080319,3.790330050080319,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-PEX-20260201,HOSP-001,DEPT-PEX,2026-02-01,2,2026,1,1,1,0,0,0,0,1,1,1,True,4.0,4.0,4.0,0.0,16.0,16.0,3.166258843640785,4.484891043308985,4.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260201,HOSP-001,DEPT-ED,2026-02-01,2,2026,1,1,1,0,1,0,1,0,1,1,True,5.0,5.0,5.0,0.0,20.0,20.0,3.132343809813128,5.0,5.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260202,HOSP-001,DEPT-MED,2026-02-02,2,2026,1,1,1,0,0,1,1,0,1,1,True,1.0,1.0,1.0,0.0,4.0,4.0,4.538093604045844,4.538093604045844,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260202,HOSP-001,DEPT-SURG,2026-02-02,2,2026,1,1,1,0,0,1,1,0,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.8865235137135294,3.8865235137135294,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260202,HOSP-001,DEPT-ICU,2026-02-02,2,2026,1,1,1,0,1,0,1,0,1,1,True,4.0,4.0,4.0,0.0,13.0,13.0,2.0806971010721806,4.054114303616458,4.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260202,HOSP-001,DEPT-OPC,2026-02-02,2,2026,1,1,1,1,0,0,1,0,1,1,True,3.0,3.0,3.0,0.0,10.0,10.0,2.748754921968505,3.885500731086508,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260203,HOSP-001,DEPT-MED,2026-02-03,2,2026,1,1,1,0,1,0,0,1,1,1,True,2.0,2.0,2.0,0.0,7.0,7.0,3.674540019475703,3.93746649042757,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
