queue_record_id,hospital_id,department_id,queue_date,reporting_date,reporting_month,queue_stage,arrivals_count,served_count,waiting_patient_count,average_wait_minutes,median_wait_minutes,maximum_wait_minutes,summary_source_flag,encounter_derived_flag,valid_queue_record_flag,source_primary_key,processing_run_id,validation_run_id,transformation_version,processed_datetime,source_row_number
QUEUE-000000011,HOSP-001,DEPT-DIAG,2026-01-11,2026-01-11,2026-01,Consultation,58,57,1,31.0,31.0,,,,True,QUEUE-000000011,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000012,HOSP-001,DEPT-DIAG,2026-01-12,2026-01-12,2026-01,Radiology,52,48,4,31.0,32.0,,,,True,QUEUE-000000012,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000013,HOSP-001,DEPT-DIAG,2026-01-13,2026-01-13,2026-01,Pharmacy,49,49,0,32.7,31.0,,,,True,QUEUE-000000013,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000014,HOSP-001,DEPT-DIAG,2026-01-14,2026-01-14,2026-01,Radiology,40,38,2,31.5,31.5,,,,True,QUEUE-000000014,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000015,HOSP-001,DEPT-DIAG,2026-01-15,2026-01-15,2026-01,Pharmacy,39,39,0,31.2,29.0,,,,True,QUEUE-000000015,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000016,HOSP-001,DEPT-DIAG,2026-01-16,2026-01-16,2026-01,Pharmacy,45,44,1,29.0,28.0,,,,True,QUEUE-000000016,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000017,HOSP-001,DEPT-DIAG,2026-01-17,2026-01-17,2026-01,Radiology,44,43,1,32.0,33.0,,,,True,QUEUE-000000017,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000018,HOSP-001,DEPT-DIAG,2026-01-18,2026-01-18,2026-01,Pharmacy,49,48,1,36.4,38.0,,,,True,QUEUE-000000018,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000019,HOSP-001,DEPT-DIAG,2026-01-19,2026-01-19,2026-01,Consultation,53,52,1,31.9,33.5,,,,True,QUEUE-000000019,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000020,HOSP-001,DEPT-DIAG,2026-01-20,2026-01-20,2026-01,Radiology,40,40,0,29.4,27.5,,,,True,QUEUE-000000020,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000021,HOSP-001,DEPT-DIAG,2026-01-21,2026-01-21,2026-01,Billing,39,38,1,32.2,35.0,,,,True,QUEUE-000000021,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000022,HOSP-001,DEPT-DIAG,2026-01-22,2026-01-22,2026-01,Pharmacy,47,47,0,31.9,34.0,,,,True,QUEUE-000000022,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000023,HOSP-001,DEPT-DIAG,2026-01-23,2026-01-23,2026-01,Billing,44,43,1,30.4,29.0,,,,True,QUEUE-000000023,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000024,HOSP-001,DEPT-DIAG,2026-01-24,2026-01-24,2026-01,Radiology,40,37,3,28.7,32.0,,,,True,QUEUE-000000024,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000025,HOSP-001,DEPT-DIAG,2026-01-25,2026-01-25,2026-01,Billing,51,51,0,31.5,32.0,,,,True,QUEUE-000000025,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000026,HOSP-001,DEPT-DIAG,2026-01-26,2026-01-26,2026-01,Consultation,56,56,0,31.4,32.0,,,,True,QUEUE-000000026,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000027,HOSP-001,DEPT-DIAG,2026-01-27,2026-01-27,2026-01,Registration,36,34,2,28.9,31.0,,,,True,QUEUE-000000027,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000028,HOSP-001,DEPT-DIAG,2026-01-28,2026-01-28,2026-01,Pharmacy,48,43,5,31.0,29.0,,,,True,QUEUE-000000028,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000029,HOSP-001,DEPT-DIAG,2026-01-29,2026-01-29,2026-01,Registration,47,44,3,36.0,38.5,,,,True,QUEUE-000000029,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000030,HOSP-001,DEPT-DIAG,2026-01-30,2026-01-30,2026-01,Triage,40,36,4,31.9,32.5,,,,True,QUEUE-000000030,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000031,HOSP-001,DEPT-DIAG,2026-01-31,2026-01-31,2026-01,Radiology,56,54,2,31.5,31.0,,,,True,QUEUE-000000031,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000032,HOSP-001,DEPT-DIAG,2026-02-01,2026-02-01,2026-02,Registration,49,48,1,29.6,27.5,,,,True,QUEUE-000000032,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000033,HOSP-001,DEPT-DIAG,2026-02-02,2026-02-02,2026-02,Registration,32,32,0,31.4,32.0,,,,True,QUEUE-000000033,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000034,HOSP-001,DEPT-DIAG,2026-02-03,2026-02-03,2026-02,Pharmacy,58,55,3,30.7,32.0,,,,True,QUEUE-000000034,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000035,HOSP-001,DEPT-DIAG,2026-02-04,2026-02-04,2026-02,Pharmacy,41,40,1,33.8,35.5,,,,True,QUEUE-000000035,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000036,HOSP-001,DEPT-DIAG,2026-02-05,2026-02-05,2026-02,Pharmacy,52,50,2,26.2,25.5,,,,True,QUEUE-000000036,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000037,HOSP-001,DEPT-DIAG,2026-02-06,2026-02-06,2026-02,Registration,45,44,1,27.2,23.0,,,,True,QUEUE-000000037,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000038,HOSP-001,DEPT-DIAG,2026-02-07,2026-02-07,2026-02,Consultation,45,44,1,30.6,32.5,,,,True,QUEUE-000000038,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000039,HOSP-001,DEPT-DIAG,2026-02-08,2026-02-08,2026-02,Registration,53,50,3,33.3,34.0,,,,True,QUEUE-000000039,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000040,HOSP-001,DEPT-DIAG,2026-02-09,2026-02-09,2026-02,Triage,41,39,2,29.5,28.0,,,,True,QUEUE-000000040,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000041,HOSP-001,DEPT-DIAG,2026-02-10,2026-02-10,2026-02,Radiology,46,46,0,28.2,29.0,,,,True,QUEUE-000000041,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000042,HOSP-001,DEPT-DIAG,2026-02-11,2026-02-11,2026-02,Pharmacy,49,49,0,30.3,28.0,,,,True,QUEUE-000000042,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000043,HOSP-001,DEPT-DIAG,2026-02-12,2026-02-12,2026-02,Pharmacy,49,49,0,31.0,30.0,,,,True,QUEUE-000000043,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000044,HOSP-001,DEPT-DIAG,2026-02-13,2026-02-13,2026-02,Billing,30,29,1,38.6,40.0,,,,True,QUEUE-000000044,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000045,HOSP-001,DEPT-DIAG,2026-02-14,2026-02-14,2026-02,Billing,53,50,3,30.5,29.5,,,,True,QUEUE-000000045,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000046,HOSP-001,DEPT-DIAG,2026-02-15,2026-02-15,2026-02,Triage,50,49,1,31.7,32.0,,,,True,QUEUE-000000046,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000047,HOSP-001,DEPT-DIAG,2026-02-16,2026-02-16,2026-02,Triage,42,41,1,27.9,29.0,,,,True,QUEUE-000000047,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000048,HOSP-001,DEPT-DIAG,2026-02-17,2026-02-17,2026-02,Registration,49,46,3,34.0,33.5,,,,True,QUEUE-000000048,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000049,HOSP-001,DEPT-DIAG,2026-02-18,2026-02-18,2026-02,Registration,57,55,2,31.3,35.0,,,,True,QUEUE-000000049,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000050,HOSP-001,DEPT-DIAG,2026-02-19,2026-02-19,2026-02,Registration,48,46,2,34.7,33.0,,,,True,QUEUE-000000050,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000051,HOSP-001,DEPT-DIAG,2026-02-20,2026-02-20,2026-02,Radiology,45,42,3,30.1,31.0,,,,True,QUEUE-000000051,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000052,HOSP-001,DEPT-DIAG,2026-02-21,2026-02-21,2026-02,Radiology,56,56,0,30.7,32.5,,,,True,QUEUE-000000052,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000053,HOSP-001,DEPT-DIAG,2026-02-22,2026-02-22,2026-02,Consultation,54,52,2,32.0,31.5,,,,True,QUEUE-000000053,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000054,HOSP-001,DEPT-DIAG,2026-02-23,2026-02-23,2026-02,Triage,52,52,0,35.6,39.0,,,,True,QUEUE-000000054,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000055,HOSP-001,DEPT-DIAG,2026-02-24,2026-02-24,2026-02,Billing,45,45,0,30.4,30.0,,,,True,QUEUE-000000055,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000056,HOSP-001,DEPT-DIAG,2026-02-25,2026-02-25,2026-02,Pharmacy,45,45,0,31.4,34.0,,,,True,QUEUE-000000056,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000057,HOSP-001,DEPT-DIAG,2026-02-26,2026-02-26,2026-02,Triage,57,54,3,29.9,32.0,,,,True,QUEUE-000000057,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000058,HOSP-001,DEPT-DIAG,2026-02-27,2026-02-27,2026-02,Consultation,53,51,2,28.7,30.0,,,,True,QUEUE-000000058,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000059,HOSP-001,DEPT-DIAG,2026-02-28,2026-02-28,2026-02,Radiology,53,52,1,30.1,30.0,,,,True,QUEUE-000000059,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000060,HOSP-001,DEPT-DIAG,2026-03-01,2026-03-01,2026-03,Consultation,56,54,2,37.1,36.0,,,,True,QUEUE-000000060,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000061,HOSP-001,DEPT-DIAG,2026-03-02,2026-03-02,2026-03,Registration,49,46,3,39.2,41.5,,,,True,QUEUE-000000061,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000062,HOSP-001,DEPT-DIAG,2026-03-03,2026-03-03,2026-03,Radiology,61,61,0,36.5,37.0,,,,True,QUEUE-000000062,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000063,HOSP-001,DEPT-DIAG,2026-03-04,2026-03-04,2026-03,Registration,53,51,2,36.1,38.0,,,,True,QUEUE-000000063,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000064,HOSP-001,DEPT-DIAG,2026-03-05,2026-03-05,2026-03,Triage,48,47,1,38.8,41.0,,,,True,QUEUE-000000064,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000065,HOSP-001,DEPT-DIAG,2026-03-06,2026-03-06,2026-03,Registration,47,46,1,34.7,39.0,,,,True,QUEUE-000000065,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000066,HOSP-001,DEPT-DIAG,2026-03-07,2026-03-07,2026-03,Consultation,44,42,2,39.1,39.5,,,,True,QUEUE-000000066,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000067,HOSP-001,DEPT-DIAG,2026-03-08,2026-03-08,2026-03,Pharmacy,57,57,0,35.9,36.0,,,,True,QUEUE-000000067,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000068,HOSP-001,DEPT-DIAG,2026-03-09,2026-03-09,2026-03,Consultation,50,48,2,37.0,40.0,,,,True,QUEUE-000000068,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000069,HOSP-001,DEPT-DIAG,2026-03-10,2026-03-10,2026-03,Radiology,48,47,1,35.3,38.0,,,,True,QUEUE-000000069,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000070,HOSP-001,DEPT-DIAG,2026-03-11,2026-03-11,2026-03,Pharmacy,55,53,2,33.7,35.0,,,,True,QUEUE-000000070,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000071,HOSP-001,DEPT-DIAG,2026-03-12,2026-03-12,2026-03,Triage,31,30,1,39.6,43.0,,,,True,QUEUE-000000071,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000072,HOSP-001,DEPT-DIAG,2026-03-13,2026-03-13,2026-03,Registration,59,56,3,35.6,34.5,,,,True,QUEUE-000000072,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000073,HOSP-001,DEPT-DIAG,2026-03-14,2026-03-14,2026-03,Radiology,40,40,0,32.4,33.0,,,,True,QUEUE-000000073,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000074,HOSP-001,DEPT-DIAG,2026-03-15,2026-03-15,2026-03,Billing,49,49,0,32.8,32.0,,,,True,QUEUE-000000074,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000075,HOSP-001,DEPT-DIAG,2026-03-16,2026-03-16,2026-03,Consultation,45,43,2,36.3,36.0,,,,True,QUEUE-000000075,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000076,HOSP-001,DEPT-DIAG,2026-03-17,2026-03-17,2026-03,Billing,54,53,1,37.6,37.0,,,,True,QUEUE-000000076,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000077,HOSP-001,DEPT-DIAG,2026-03-18,2026-03-18,2026-03,Billing,45,42,3,34.8,39.5,,,,True,QUEUE-000000077,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000078,HOSP-001,DEPT-DIAG,2026-03-19,2026-03-19,2026-03,Consultation,49,47,2,40.4,42.0,,,,True,QUEUE-000000078,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000079,HOSP-001,DEPT-DIAG,2026-03-20,2026-03-20,2026-03,Pharmacy,43,42,1,34.8,34.0,,,,True,QUEUE-000000079,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000080,HOSP-001,DEPT-DIAG,2026-03-21,2026-03-21,2026-03,Pharmacy,59,55,4,33.6,34.0,,,,True,QUEUE-000000080,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000081,HOSP-001,DEPT-DIAG,2026-03-22,2026-03-22,2026-03,Consultation,67,64,3,35.8,35.0,,,,True,QUEUE-000000081,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000082,HOSP-001,DEPT-DIAG,2026-03-23,2026-03-23,2026-03,Consultation,55,55,0,36.6,37.0,,,,True,QUEUE-000000082,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000083,HOSP-001,DEPT-DIAG,2026-03-24,2026-03-24,2026-03,Triage,44,44,0,36.4,41.0,,,,True,QUEUE-000000083,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000084,HOSP-001,DEPT-DIAG,2026-03-25,2026-03-25,2026-03,Billing,45,43,2,37.4,38.0,,,,True,QUEUE-000000084,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000085,HOSP-001,DEPT-DIAG,2026-03-26,2026-03-26,2026-03,Billing,56,52,4,34.8,36.0,,,,True,QUEUE-000000085,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000086,HOSP-001,DEPT-DIAG,2026-03-27,2026-03-27,2026-03,Triage,57,57,0,36.5,40.0,,,,True,QUEUE-000000086,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000087,HOSP-001,DEPT-DIAG,2026-03-28,2026-03-28,2026-03,Triage,58,56,2,39.0,35.5,,,,True,QUEUE-000000087,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000088,HOSP-001,DEPT-DIAG,2026-03-29,2026-03-29,2026-03,Consultation,57,56,1,34.1,36.0,,,,True,QUEUE-000000088,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000089,HOSP-001,DEPT-DIAG,2026-03-30,2026-03-30,2026-03,Consultation,60,60,0,36.8,40.0,,,,True,QUEUE-000000089,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000090,HOSP-001,DEPT-DIAG,2026-03-31,2026-03-31,2026-03,Registration,47,45,2,40.6,41.0,,,,True,QUEUE-000000090,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000091,HOSP-001,DEPT-DIAG,2026-04-01,2026-04-01,2026-04,Pharmacy,71,71,0,44.4,44.0,,,,True,QUEUE-000000091,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000092,HOSP-001,DEPT-DIAG,2026-04-02,2026-04-02,2026-04,Triage,54,53,1,49.5,53.0,,,,True,QUEUE-000000092,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000093,HOSP-001,DEPT-DIAG,2026-04-03,2026-04-03,2026-04,Consultation,54,53,1,41.0,39.0,,,,True,QUEUE-000000093,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000094,HOSP-001,DEPT-DIAG,2026-04-04,2026-04-04,2026-04,Radiology,66,63,3,46.2,49.0,,,,True,QUEUE-000000094,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000095,HOSP-001,DEPT-DIAG,2026-04-05,2026-04-05,2026-04,Consultation,82,81,1,47.5,44.0,,,,True,QUEUE-000000095,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000096,HOSP-001,DEPT-DIAG,2026-04-06,2026-04-06,2026-04,Registration,61,58,3,44.9,46.0,,,,True,QUEUE-000000096,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000097,HOSP-001,DEPT-DIAG,2026-04-07,2026-04-07,2026-04,Radiology,53,49,4,47.6,51.0,,,,True,QUEUE-000000097,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000098,HOSP-001,DEPT-DIAG,2026-04-08,2026-04-08,2026-04,Consultation,68,65,3,43.3,47.0,,,,True,QUEUE-000000098,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000099,HOSP-001,DEPT-DIAG,2026-04-09,2026-04-09,2026-04,Consultation,72,69,3,48.2,46.0,,,,True,QUEUE-000000099,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
