service_schedule_id,hospital_id,department_id,service_date,reporting_date,reporting_month,service_type,session_start_datetime,session_end_datetime,planned_service_hours,planned_capacity,schedule_status,reduced_session_flag,cancelled_session_flag,extended_session_flag,valid_schedule_flag,source_primary_key,processing_run_id,validation_run_id,transformation_version,processed_datetime,source_row_number
SCH-00000012,HOSP-001,DEPT-SURG,2026-01-01,2026-01-01,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,100,Planned,False,False,False,True,SCH-00000012,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000013,HOSP-001,DEPT-ICU,2026-01-01,2026-01-01,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,24,Planned,False,False,False,True,SCH-00000013,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000014,HOSP-001,DEPT-ICU,2026-01-01,2026-01-01,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,24,Planned,False,False,False,True,SCH-00000014,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000015,HOSP-001,DEPT-ICU,2026-01-01,2026-01-01,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,24,Planned,False,False,False,True,SCH-00000015,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000016,HOSP-001,DEPT-DIAG,2026-01-01,2026-01-01,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,60,Planned,False,False,False,True,SCH-00000016,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000017,HOSP-001,DEPT-DIAG,2026-01-01,2026-01-01,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,60,Planned,False,False,False,True,SCH-00000017,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000018,HOSP-001,DEPT-DIAG,2026-01-01,2026-01-01,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,60,Planned,False,False,False,True,SCH-00000018,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000019,HOSP-001,DEPT-PEX,2026-01-01,2026-01-01,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,20,Planned,False,False,False,True,SCH-00000019,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000020,HOSP-001,DEPT-PEX,2026-01-01,2026-01-01,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,20,Planned,False,False,False,True,SCH-00000020,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000021,HOSP-001,DEPT-PEX,2026-01-01,2026-01-01,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,20,Planned,False,False,False,True,SCH-00000021,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000022,HOSP-001,DEPT-ADM,2026-01-01,2026-01-01,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,20,Planned,False,False,False,True,SCH-00000022,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000023,HOSP-001,DEPT-ADM,2026-01-01,2026-01-01,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,20,Planned,False,False,False,True,SCH-00000023,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000024,HOSP-001,DEPT-ADM,2026-01-01,2026-01-01,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,20,Planned,False,False,False,True,SCH-00000024,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000025,HOSP-001,DEPT-ED,2026-01-02,2026-01-02,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,80,Planned,False,False,False,True,SCH-00000025,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000026,HOSP-001,DEPT-ED,2026-01-02,2026-01-02,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,80,Planned,False,False,False,True,SCH-00000026,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000027,HOSP-001,DEPT-ED,2026-01-02,2026-01-02,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,80,Planned,False,False,False,True,SCH-00000027,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000028,HOSP-001,DEPT-OPC,2026-01-02,2026-01-02,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,120,Planned,False,False,False,True,SCH-00000028,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000029,HOSP-001,DEPT-OPC,2026-01-02,2026-01-02,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,120,Planned,False,False,False,True,SCH-00000029,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000030,HOSP-001,DEPT-OPC,2026-01-02,2026-01-02,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,120,Planned,False,False,False,True,SCH-00000030,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000031,HOSP-001,DEPT-MED,2026-01-02,2026-01-02,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,120,Planned,False,False,False,True,SCH-00000031,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000032,HOSP-001,DEPT-MED,2026-01-02,2026-01-02,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,120,Planned,False,False,False,True,SCH-00000032,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000033,HOSP-001,DEPT-MED,2026-01-02,2026-01-02,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,120,Planned,False,False,False,True,SCH-00000033,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000034,HOSP-001,DEPT-SURG,2026-01-02,2026-01-02,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,100,Planned,False,False,False,True,SCH-00000034,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000035,HOSP-001,DEPT-SURG,2026-01-02,2026-01-02,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,100,Planned,False,False,False,True,SCH-00000035,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000036,HOSP-001,DEPT-SURG,2026-01-02,2026-01-02,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,100,Planned,False,False,False,True,SCH-00000036,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000037,HOSP-001,DEPT-ICU,2026-01-02,2026-01-02,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,24,Planned,False,False,False,True,SCH-00000037,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000038,HOSP-001,DEPT-ICU,2026-01-02,2026-01-02,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,24,Planned,False,False,False,True,SCH-00000038,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000039,HOSP-001,DEPT-ICU,2026-01-02,2026-01-02,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,24,Planned,False,False,False,True,SCH-00000039,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000040,HOSP-001,DEPT-DIAG,2026-01-02,2026-01-02,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,60,Planned,False,False,False,True,SCH-00000040,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000041,HOSP-001,DEPT-DIAG,2026-01-02,2026-01-02,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,60,Planned,False,False,False,True,SCH-00000041,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000042,HOSP-001,DEPT-DIAG,2026-01-02,2026-01-02,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,60,Planned,False,False,False,True,SCH-00000042,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000043,HOSP-001,DEPT-PEX,2026-01-02,2026-01-02,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,20,Planned,False,False,False,True,SCH-00000043,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000044,HOSP-001,DEPT-PEX,2026-01-02,2026-01-02,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,20,Planned,False,False,False,True,SCH-00000044,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000045,HOSP-001,DEPT-PEX,2026-01-02,2026-01-02,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,20,Planned,False,False,False,True,SCH-00000045,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000046,HOSP-001,DEPT-ADM,2026-01-02,2026-01-02,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,20,Planned,False,False,False,True,SCH-00000046,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000047,HOSP-001,DEPT-ADM,2026-01-02,2026-01-02,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,20,Planned,False,False,False,True,SCH-00000047,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000048,HOSP-001,DEPT-ADM,2026-01-02,2026-01-02,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,20,Planned,False,False,False,True,SCH-00000048,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000049,HOSP-001,DEPT-ED,2026-01-03,2026-01-03,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,80,Planned,False,False,False,True,SCH-00000049,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000050,HOSP-001,DEPT-ED,2026-01-03,2026-01-03,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,80,Planned,False,False,False,True,SCH-00000050,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000051,HOSP-001,DEPT-ED,2026-01-03,2026-01-03,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,80,Planned,False,False,False,True,SCH-00000051,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000052,HOSP-001,DEPT-OPC,2026-01-03,2026-01-03,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,120,Planned,False,False,False,True,SCH-00000052,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000053,HOSP-001,DEPT-OPC,2026-01-03,2026-01-03,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,120,Planned,False,False,False,True,SCH-00000053,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000054,HOSP-001,DEPT-OPC,2026-01-03,2026-01-03,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,120,Planned,False,False,False,True,SCH-00000054,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000055,HOSP-001,DEPT-MED,2026-01-03,2026-01-03,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,120,Planned,False,False,False,True,SCH-00000055,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000056,HOSP-001,DEPT-MED,2026-01-03,2026-01-03,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,120,Planned,False,False,False,True,SCH-00000056,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000057,HOSP-001,DEPT-MED,2026-01-03,2026-01-03,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,120,Planned,False,False,False,True,SCH-00000057,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000058,HOSP-001,DEPT-SURG,2026-01-03,2026-01-03,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,100,Planned,False,False,False,True,SCH-00000058,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000059,HOSP-001,DEPT-SURG,2026-01-03,2026-01-03,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,100,Planned,False,False,False,True,SCH-00000059,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000060,HOSP-001,DEPT-SURG,2026-01-03,2026-01-03,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,100,Planned,False,False,False,True,SCH-00000060,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000061,HOSP-001,DEPT-ICU,2026-01-03,2026-01-03,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,24,Planned,False,False,False,True,SCH-00000061,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000062,HOSP-001,DEPT-ICU,2026-01-03,2026-01-03,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,24,Planned,False,False,False,True,SCH-00000062,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000063,HOSP-001,DEPT-ICU,2026-01-03,2026-01-03,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,24,Planned,False,False,False,True,SCH-00000063,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000064,HOSP-001,DEPT-DIAG,2026-01-03,2026-01-03,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,60,Planned,False,False,False,True,SCH-00000064,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000065,HOSP-001,DEPT-DIAG,2026-01-03,2026-01-03,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,60,Planned,False,False,False,True,SCH-00000065,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000066,HOSP-001,DEPT-DIAG,2026-01-03,2026-01-03,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,60,Planned,False,False,False,True,SCH-00000066,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000067,HOSP-001,DEPT-PEX,2026-01-03,2026-01-03,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,20,Planned,False,False,False,True,SCH-00000067,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000068,HOSP-001,DEPT-PEX,2026-01-03,2026-01-03,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,20,Planned,False,False,False,True,SCH-00000068,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000069,HOSP-001,DEPT-PEX,2026-01-03,2026-01-03,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,20,Planned,False,False,False,True,SCH-00000069,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000070,HOSP-001,DEPT-ADM,2026-01-03,2026-01-03,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,20,Planned,False,False,False,True,SCH-00000070,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000071,HOSP-001,DEPT-ADM,2026-01-03,2026-01-03,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,20,Planned,False,False,False,True,SCH-00000071,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000072,HOSP-001,DEPT-ADM,2026-01-03,2026-01-03,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,20,Planned,False,False,False,True,SCH-00000072,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000073,HOSP-001,DEPT-ED,2026-01-04,2026-01-04,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,80,Planned,False,False,False,True,SCH-00000073,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000074,HOSP-001,DEPT-ED,2026-01-04,2026-01-04,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,80,Planned,False,False,False,True,SCH-00000074,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000075,HOSP-001,DEPT-ED,2026-01-04,2026-01-04,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,80,Planned,False,False,False,True,SCH-00000075,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000076,HOSP-001,DEPT-OPC,2026-01-04,2026-01-04,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,120,Planned,False,False,False,True,SCH-00000076,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000077,HOSP-001,DEPT-OPC,2026-01-04,2026-01-04,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,120,Planned,False,False,False,True,SCH-00000077,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000078,HOSP-001,DEPT-OPC,2026-01-04,2026-01-04,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,120,Planned,False,False,False,True,SCH-00000078,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000079,HOSP-001,DEPT-MED,2026-01-04,2026-01-04,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,120,Planned,False,False,False,True,SCH-00000079,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000080,HOSP-001,DEPT-MED,2026-01-04,2026-01-04,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,120,Planned,False,False,False,True,SCH-00000080,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000081,HOSP-001,DEPT-MED,2026-01-04,2026-01-04,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,120,Planned,False,False,False,True,SCH-00000081,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000082,HOSP-001,DEPT-SURG,2026-01-04,2026-01-04,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,100,Planned,False,False,False,True,SCH-00000082,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000083,HOSP-001,DEPT-SURG,2026-01-04,2026-01-04,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,100,Planned,False,False,False,True,SCH-00000083,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000084,HOSP-001,DEPT-SURG,2026-01-04,2026-01-04,2026-01,NIGHT,2026-07-26 23:00:00,2026-07-26 07:00:00,8.0,100,Planned,False,False,False,True,SCH-00000084,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000085,HOSP-001,DEPT-ICU,2026-01-04,2026-01-04,2026-01,MORNING,2026-07-26 07:00:00,2026-07-26 15:00:00,8.0,24,Planned,False,False,False,True,SCH-00000085,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
SCH-00000086,HOSP-001,DEPT-ICU,2026-01-04,2026-01-04,2026-01,EVENING,2026-07-26 15:00:00,2026-07-26 23:00:00,8.0,24,Planned,False,False,False,True,SCH-00000086,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.288837,
