staff_id,hospital_id,home_department_id,staff_role_id,staff_category,employment_type,fte_value,employment_start_date,employment_end_date,active_flag,source_primary_key,source_row_number,processing_run_id,validation_run_id,transformation_version,processed_datetime
STAFF-0030,HOSP-001,DEPT-ICU,ROLE-HCA,Support,Contract,0.5,2024-10-28,,True,STAFF-0030,30,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0031,HOSP-001,DEPT-PEX,ROLE-ED-PHY,Doctor,Part-Time,0.6,2023-03-21,,True,STAFF-0031,31,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0032,HOSP-001,DEPT-PEX,ROLE-RAD,Allied Health,Full-Time,1.0,2024-03-25,,True,STAFF-0032,32,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0033,HOSP-001,DEPT-ADM,ROLE-RN,Nurse,Full-Time,1.0,2024-01-26,,True,STAFF-0033,33,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0034,HOSP-001,DEPT-ADM,ROLE-AMO,Doctor,Full-Time,1.0,2023-04-18,,True,STAFF-0034,34,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0035,HOSP-001,DEPT-DIAG,ROLE-REG,Administrative,Full-Time,1.0,2024-06-25,,True,STAFF-0035,35,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0036,HOSP-001,DEPT-OPC,ROLE-ED-PHY,Doctor,Part-Time,0.5,2023-10-28,,True,STAFF-0036,36,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0037,HOSP-001,DEPT-MED,ROLE-REG,Administrative,Full-Time,1.0,2023-10-21,,True,STAFF-0037,37,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0038,HOSP-001,DEPT-ADM,ROLE-AMO,Doctor,Part-Time,0.5,2023-02-06,,True,STAFF-0038,38,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0039,HOSP-001,DEPT-MED,ROLE-AMO,Doctor,Full-Time,1.0,2024-10-06,,True,STAFF-0039,39,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0040,HOSP-001,DEPT-PEX,ROLE-PHARM,Allied Health,Full-Time,1.0,2024-05-21,,True,STAFF-0040,40,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0041,HOSP-001,DEPT-PEX,ROLE-AMO,Doctor,Full-Time,1.0,2024-06-01,,True,STAFF-0041,41,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0042,HOSP-001,DEPT-ADM,ROLE-RAD,Allied Health,Full-Time,1.0,2023-12-04,,True,STAFF-0042,42,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0043,HOSP-001,DEPT-PEX,ROLE-PEO,Administrative,Full-Time,1.0,2023-03-20,,True,STAFF-0043,43,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0044,HOSP-001,DEPT-MED,ROLE-PEO,Administrative,Full-Time,1.0,2024-11-17,,True,STAFF-0044,44,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0045,HOSP-001,DEPT-ED,ROLE-AMO,Doctor,Full-Time,1.0,2024-05-17,,True,STAFF-0045,45,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0046,HOSP-001,DEPT-DIAG,ROLE-MO,Doctor,Full-Time,1.0,2024-11-09,,True,STAFF-0046,46,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0047,HOSP-001,DEPT-SURG,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-02-21,,True,STAFF-0047,47,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0048,HOSP-001,DEPT-ED,ROLE-ED-PHY,Doctor,Full-Time,1.0,2024-01-08,,True,STAFF-0048,48,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0049,HOSP-001,DEPT-MED,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-08-12,,True,STAFF-0049,49,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0050,HOSP-001,DEPT-ADM,ROLE-PEO,Administrative,Full-Time,1.0,2024-03-19,,True,STAFF-0050,50,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0051,HOSP-001,DEPT-DIAG,ROLE-PEO,Administrative,Contract,0.5,2024-06-14,,True,STAFF-0051,51,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0052,HOSP-001,DEPT-ADM,ROLE-RN,Nurse,Contract,1.0,2024-09-13,,True,STAFF-0052,52,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0053,HOSP-001,DEPT-PEX,ROLE-REG,Administrative,Full-Time,1.0,2023-01-28,,True,STAFF-0053,53,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0054,HOSP-001,DEPT-DIAG,ROLE-REG,Administrative,Full-Time,1.0,2023-03-20,,True,STAFF-0054,54,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0055,HOSP-001,DEPT-PEX,ROLE-RN,Nurse,Contract,1.0,2023-05-28,,True,STAFF-0055,55,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0056,HOSP-001,DEPT-OPC,ROLE-HCA,Support,Full-Time,1.0,2023-05-07,,True,STAFF-0056,56,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0057,HOSP-001,DEPT-ADM,ROLE-ED-PHY,Doctor,Full-Time,1.0,2023-04-17,,True,STAFF-0057,57,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0058,HOSP-001,DEPT-DIAG,ROLE-HCA,Support,Full-Time,1.0,2024-12-31,,True,STAFF-0058,58,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0059,HOSP-001,DEPT-ICU,ROLE-REG,Administrative,Full-Time,1.0,2024-04-14,,True,STAFF-0059,59,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0060,HOSP-001,DEPT-DIAG,ROLE-RAD,Allied Health,Contract,0.75,2024-05-26,,True,STAFF-0060,60,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0061,HOSP-001,DEPT-PEX,ROLE-REG,Administrative,Part-Time,0.5,2024-06-29,,True,STAFF-0061,61,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0062,HOSP-001,DEPT-MED,ROLE-RAD,Allied Health,Full-Time,1.0,2024-11-02,,True,STAFF-0062,62,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0063,HOSP-001,DEPT-ED,ROLE-PHARM,Allied Health,Part-Time,0.5,2024-05-25,,True,STAFF-0063,63,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0064,HOSP-001,DEPT-OPC,ROLE-HCA,Support,Part-Time,0.6,2023-09-04,,True,STAFF-0064,64,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0065,HOSP-001,DEPT-MED,ROLE-MO,Doctor,Contract,0.5,2024-02-15,,True,STAFF-0065,65,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0066,HOSP-001,DEPT-DIAG,ROLE-RAD,Allied Health,Full-Time,1.0,2023-12-11,,True,STAFF-0066,66,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0067,HOSP-001,DEPT-ADM,ROLE-HCA,Support,Full-Time,1.0,2024-09-22,,True,STAFF-0067,67,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0068,HOSP-001,DEPT-PEX,ROLE-AMO,Doctor,Part-Time,0.6,2024-12-21,,True,STAFF-0068,68,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0069,HOSP-001,DEPT-ADM,ROLE-RN,Nurse,Part-Time,0.6,2023-10-23,,True,STAFF-0069,69,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0070,HOSP-001,DEPT-ADM,ROLE-REG,Administrative,Contract,0.5,2023-03-05,,True,STAFF-0070,70,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0071,HOSP-001,DEPT-OPC,ROLE-ED-PHY,Doctor,Contract,1.0,2023-05-24,,True,STAFF-0071,71,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0072,HOSP-001,DEPT-DIAG,ROLE-ED-PHY,Doctor,Part-Time,0.5,2024-09-17,,True,STAFF-0072,72,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0073,HOSP-001,DEPT-OPC,ROLE-AMO,Doctor,Full-Time,1.0,2023-06-28,,True,STAFF-0073,73,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0074,HOSP-001,DEPT-ICU,ROLE-RAD,Allied Health,Part-Time,0.5,2024-06-06,,True,STAFF-0074,74,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0075,HOSP-001,DEPT-PEX,ROLE-RAD,Allied Health,Full-Time,1.0,2023-03-26,,True,STAFF-0075,75,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0076,HOSP-001,DEPT-ED,ROLE-REG,Administrative,Full-Time,1.0,2023-08-13,,True,STAFF-0076,76,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0077,HOSP-001,DEPT-OPC,ROLE-HCA,Support,Full-Time,1.0,2024-10-18,,True,STAFF-0077,77,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0078,HOSP-001,DEPT-ED,ROLE-MO,Doctor,Full-Time,1.0,2024-09-28,,True,STAFF-0078,78,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0079,HOSP-001,DEPT-SURG,ROLE-PEO,Administrative,Full-Time,1.0,2023-04-01,,True,STAFF-0079,79,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0080,HOSP-001,DEPT-OPC,ROLE-RN,Nurse,Full-Time,1.0,2024-09-19,,True,STAFF-0080,80,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0081,HOSP-001,DEPT-DIAG,ROLE-PHARM,Allied Health,Part-Time,0.6,2024-11-15,,True,STAFF-0081,81,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0082,HOSP-001,DEPT-DIAG,ROLE-RAD,Allied Health,Contract,0.5,2024-02-15,,True,STAFF-0082,82,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0083,HOSP-001,DEPT-SURG,ROLE-ED-PHY,Doctor,Full-Time,1.0,2024-03-17,,True,STAFF-0083,83,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0084,HOSP-001,DEPT-ED,ROLE-HCA,Support,Full-Time,1.0,2024-06-19,,True,STAFF-0084,84,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0085,HOSP-001,DEPT-ICU,ROLE-RAD,Allied Health,Full-Time,1.0,2024-06-14,,True,STAFF-0085,85,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0086,HOSP-001,DEPT-DIAG,ROLE-MO,Doctor,Part-Time,0.5,2023-03-07,,True,STAFF-0086,86,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0087,HOSP-001,DEPT-ICU,ROLE-MO,Doctor,Full-Time,1.0,2024-06-27,,True,STAFF-0087,87,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0088,HOSP-001,DEPT-OPC,ROLE-ED-PHY,Doctor,Part-Time,0.6,2023-12-15,,True,STAFF-0088,88,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0089,HOSP-001,DEPT-DIAG,ROLE-PEO,Administrative,Full-Time,1.0,2024-08-04,,True,STAFF-0089,89,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0090,HOSP-001,DEPT-ICU,ROLE-RAD,Allied Health,Part-Time,0.6,2023-07-13,,True,STAFF-0090,90,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0091,HOSP-001,DEPT-ICU,ROLE-RAD,Allied Health,Full-Time,1.0,2024-09-13,,True,STAFF-0091,91,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0092,HOSP-001,DEPT-SURG,ROLE-MO,Doctor,Full-Time,1.0,2023-04-06,,True,STAFF-0092,92,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0093,HOSP-001,DEPT-ED,ROLE-AMO,Doctor,Full-Time,1.0,2024-11-18,,True,STAFF-0093,93,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0094,HOSP-001,DEPT-MED,ROLE-AMO,Doctor,Full-Time,1.0,2023-08-11,,True,STAFF-0094,94,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0095,HOSP-001,DEPT-SURG,ROLE-RAD,Allied Health,Full-Time,1.0,2024-08-29,,True,STAFF-0095,95,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0096,HOSP-001,DEPT-DIAG,ROLE-PEO,Administrative,Full-Time,1.0,2024-06-28,,True,STAFF-0096,96,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0097,HOSP-001,DEPT-ADM,ROLE-HCA,Support,Part-Time,0.5,2023-11-22,,True,STAFF-0097,97,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0098,HOSP-001,DEPT-ADM,ROLE-MO,Doctor,Contract,0.75,2024-08-06,,True,STAFF-0098,98,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0099,HOSP-001,DEPT-OPC,ROLE-REG,Administrative,Part-Time,0.6,2024-12-13,,True,STAFF-0099,99,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0100,HOSP-001,DEPT-SURG,ROLE-MO,Doctor,Full-Time,1.0,2024-11-23,,True,STAFF-0100,100,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0101,HOSP-001,DEPT-MED,ROLE-RN,Nurse,Part-Time,0.5,2023-06-24,,True,STAFF-0101,101,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0102,HOSP-001,DEPT-OPC,ROLE-PHARM,Allied Health,Full-Time,1.0,2024-09-08,,True,STAFF-0102,102,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0103,HOSP-001,DEPT-ADM,ROLE-ED-PHY,Doctor,Full-Time,1.0,2023-04-16,,True,STAFF-0103,103,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0104,HOSP-001,DEPT-ADM,ROLE-RN,Nurse,Full-Time,1.0,2024-12-18,,True,STAFF-0104,104,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0105,HOSP-001,DEPT-SURG,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-07-31,,True,STAFF-0105,105,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0106,HOSP-001,DEPT-MED,ROLE-ED-PHY,Doctor,Full-Time,1.0,2024-04-18,,True,STAFF-0106,106,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0107,HOSP-001,DEPT-ED,ROLE-MO,Doctor,Full-Time,1.0,2023-12-09,,True,STAFF-0107,107,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0108,HOSP-001,DEPT-MED,ROLE-RN,Nurse,Part-Time,0.5,2024-08-08,,True,STAFF-0108,108,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0109,HOSP-001,DEPT-MED,ROLE-ED-PHY,Doctor,Full-Time,1.0,2023-09-19,,True,STAFF-0109,109,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0110,HOSP-001,DEPT-MED,ROLE-PEO,Administrative,Full-Time,1.0,2024-10-09,,True,STAFF-0110,110,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0111,HOSP-001,DEPT-OPC,ROLE-MO,Doctor,Full-Time,1.0,2024-02-10,,True,STAFF-0111,111,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0112,HOSP-001,DEPT-ICU,ROLE-AMO,Doctor,Full-Time,1.0,2023-02-06,,True,STAFF-0112,112,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0113,HOSP-001,DEPT-PEX,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-07-02,,True,STAFF-0113,113,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0114,HOSP-001,DEPT-MED,ROLE-HCA,Support,Contract,0.5,2024-04-03,,True,STAFF-0114,114,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0115,HOSP-001,DEPT-ED,ROLE-HCA,Support,Part-Time,0.6,2023-10-16,,True,STAFF-0115,115,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0116,HOSP-001,DEPT-ADM,ROLE-RAD,Allied Health,Contract,0.75,2024-09-17,,True,STAFF-0116,116,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0117,HOSP-001,DEPT-MED,ROLE-RN,Nurse,Contract,0.75,2023-02-10,,True,STAFF-0117,117,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0118,HOSP-001,DEPT-PEX,ROLE-PHARM,Allied Health,Full-Time,1.0,2024-12-11,,True,STAFF-0118,118,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0119,HOSP-001,DEPT-DIAG,ROLE-AMO,Doctor,Full-Time,1.0,2024-06-29,,True,STAFF-0119,119,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
