patient_flow_daily_id,hospital_id,department_id,reporting_date,reporting_month,encounter_count,completed_encounter_count,cancelled_encounter_count,left_before_service_count,official_wait_eligible_encounter_count,total_arrival_to_consultation_minutes,queue_arrivals_count,queue_served_count,queue_waiting_patient_count,queue_average_wait_minutes,licensed_beds,staffed_beds,operational_beds,occupied_beds,unavailable_beds,reserved_beds,beds_above_operational_capacity,overcapacity_flag,planned_service_session_count,cancelled_service_session_count,reduced_service_session_count,extended_service_session_count,processing_run_id,validation_run_id,transformation_version,processed_datetime
PFD-HOSP-001-DEPT-OPC-20260105,HOSP-001,DEPT-OPC,2026-01-05,2026-01,56,54,1,1,0,,56.0,54.0,2.0,33.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260105,HOSP-001,DEPT-DIAG,2026-01-05,2026-01,37,35,1,1,0,,37.0,35.0,2.0,32.9,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260106,HOSP-001,DEPT-ED,2026-01-06,2026-01,91,88,1,2,0,,91.0,88.0,3.0,30.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260106,HOSP-001,DEPT-OPC,2026-01-06,2026-01,81,77,2,2,0,,81.0,77.0,4.0,30.7,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260106,HOSP-001,DEPT-DIAG,2026-01-06,2026-01,47,46,0,1,0,,47.0,46.0,1.0,32.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260107,HOSP-001,DEPT-ED,2026-01-07,2026-01,90,89,1,0,0,,90.0,89.0,1.0,32.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260107,HOSP-001,DEPT-OPC,2026-01-07,2026-01,73,71,1,1,0,,73.0,71.0,2.0,32.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260107,HOSP-001,DEPT-DIAG,2026-01-07,2026-01,42,42,0,0,0,,42.0,42.0,0.0,30.7,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260108,HOSP-001,DEPT-ED,2026-01-08,2026-01,101,96,1,4,0,,101.0,96.0,5.0,32.3,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260108,HOSP-001,DEPT-OPC,2026-01-08,2026-01,92,91,0,1,0,,92.0,91.0,1.0,33.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260108,HOSP-001,DEPT-DIAG,2026-01-08,2026-01,58,57,1,0,0,,58.0,57.0,1.0,30.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260109,HOSP-001,DEPT-ED,2026-01-09,2026-01,80,77,0,3,0,,80.0,77.0,3.0,32.5,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260109,HOSP-001,DEPT-OPC,2026-01-09,2026-01,98,96,1,1,0,,98.0,96.0,2.0,31.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260109,HOSP-001,DEPT-DIAG,2026-01-09,2026-01,53,50,2,1,0,,53.0,50.0,3.0,32.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260110,HOSP-001,DEPT-ED,2026-01-10,2026-01,103,97,1,5,0,,103.0,97.0,6.0,32.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260110,HOSP-001,DEPT-OPC,2026-01-10,2026-01,86,84,2,0,0,,86.0,84.0,2.0,31.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260110,HOSP-001,DEPT-DIAG,2026-01-10,2026-01,51,50,0,1,0,,51.0,50.0,1.0,36.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260111,HOSP-001,DEPT-ED,2026-01-11,2026-01,94,89,2,3,0,,94.0,89.0,5.0,31.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260111,HOSP-001,DEPT-OPC,2026-01-11,2026-01,86,82,2,2,0,,86.0,82.0,4.0,29.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260111,HOSP-001,DEPT-DIAG,2026-01-11,2026-01,58,57,0,1,0,,58.0,57.0,1.0,31.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260112,HOSP-001,DEPT-ED,2026-01-12,2026-01,113,112,0,1,0,,113.0,112.0,1.0,32.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260112,HOSP-001,DEPT-OPC,2026-01-12,2026-01,81,79,1,1,0,,81.0,79.0,2.0,29.6,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260112,HOSP-001,DEPT-DIAG,2026-01-12,2026-01,52,48,3,1,0,,52.0,48.0,4.0,31.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260113,HOSP-001,DEPT-ED,2026-01-13,2026-01,105,96,6,3,0,,105.0,96.0,9.0,33.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260113,HOSP-001,DEPT-OPC,2026-01-13,2026-01,70,69,1,0,0,,70.0,69.0,1.0,31.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260113,HOSP-001,DEPT-DIAG,2026-01-13,2026-01,49,49,0,0,0,,49.0,49.0,0.0,32.7,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260114,HOSP-001,DEPT-ED,2026-01-14,2026-01,78,77,1,0,0,,78.0,77.0,1.0,34.5,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260114,HOSP-001,DEPT-OPC,2026-01-14,2026-01,71,66,3,2,0,,71.0,66.0,5.0,32.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260114,HOSP-001,DEPT-DIAG,2026-01-14,2026-01,40,38,2,0,0,,40.0,38.0,2.0,31.5,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260115,HOSP-001,DEPT-ED,2026-01-15,2026-01,86,83,1,2,0,,86.0,83.0,3.0,34.3,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260115,HOSP-001,DEPT-OPC,2026-01-15,2026-01,72,69,1,2,0,,72.0,69.0,3.0,30.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260115,HOSP-001,DEPT-DIAG,2026-01-15,2026-01,39,39,0,0,0,,39.0,39.0,0.0,31.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260116,HOSP-001,DEPT-ED,2026-01-16,2026-01,94,93,0,1,0,,94.0,93.0,1.0,32.6,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260116,HOSP-001,DEPT-OPC,2026-01-16,2026-01,71,69,2,0,0,,71.0,69.0,2.0,34.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260116,HOSP-001,DEPT-DIAG,2026-01-16,2026-01,45,44,0,1,0,,45.0,44.0,1.0,29.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260117,HOSP-001,DEPT-ED,2026-01-17,2026-01,86,80,4,2,0,,86.0,80.0,6.0,34.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260117,HOSP-001,DEPT-OPC,2026-01-17,2026-01,75,69,4,2,0,,75.0,69.0,6.0,33.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260117,HOSP-001,DEPT-DIAG,2026-01-17,2026-01,44,43,0,1,0,,44.0,43.0,1.0,32.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260118,HOSP-001,DEPT-ED,2026-01-18,2026-01,75,74,1,0,0,,75.0,74.0,1.0,28.5,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260118,HOSP-001,DEPT-OPC,2026-01-18,2026-01,78,77,0,1,0,,78.0,77.0,1.0,28.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260118,HOSP-001,DEPT-DIAG,2026-01-18,2026-01,49,48,0,1,0,,49.0,48.0,1.0,36.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260119,HOSP-001,DEPT-ED,2026-01-19,2026-01,92,89,2,1,0,,92.0,89.0,3.0,32.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260119,HOSP-001,DEPT-OPC,2026-01-19,2026-01,76,74,0,2,0,,76.0,74.0,2.0,30.3,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260119,HOSP-001,DEPT-DIAG,2026-01-19,2026-01,53,52,0,1,0,,53.0,52.0,1.0,31.9,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260120,HOSP-001,DEPT-ED,2026-01-20,2026-01,99,98,0,1,0,,99.0,98.0,1.0,31.6,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260120,HOSP-001,DEPT-OPC,2026-01-20,2026-01,70,70,0,0,0,,70.0,70.0,0.0,34.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260120,HOSP-001,DEPT-DIAG,2026-01-20,2026-01,40,40,0,0,0,,40.0,40.0,0.0,29.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260121,HOSP-001,DEPT-ED,2026-01-21,2026-01,122,120,1,1,0,,122.0,120.0,2.0,30.5,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260121,HOSP-001,DEPT-OPC,2026-01-21,2026-01,69,68,0,1,0,,69.0,68.0,1.0,32.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260121,HOSP-001,DEPT-DIAG,2026-01-21,2026-01,39,38,1,0,0,,39.0,38.0,1.0,32.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260122,HOSP-001,DEPT-ED,2026-01-22,2026-01,87,87,0,0,0,,87.0,87.0,0.0,31.7,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260122,HOSP-001,DEPT-OPC,2026-01-22,2026-01,74,70,3,1,0,,74.0,70.0,4.0,30.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260122,HOSP-001,DEPT-DIAG,2026-01-22,2026-01,47,47,0,0,0,,47.0,47.0,0.0,31.9,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260123,HOSP-001,DEPT-ED,2026-01-23,2026-01,104,102,1,1,0,,104.0,102.0,2.0,31.8,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260123,HOSP-001,DEPT-OPC,2026-01-23,2026-01,88,87,0,1,0,,88.0,87.0,1.0,32.5,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260123,HOSP-001,DEPT-DIAG,2026-01-23,2026-01,44,43,0,1,0,,44.0,43.0,1.0,30.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260124,HOSP-001,DEPT-ED,2026-01-24,2026-01,98,94,3,1,0,,98.0,94.0,4.0,31.9,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260124,HOSP-001,DEPT-OPC,2026-01-24,2026-01,74,71,1,2,0,,74.0,71.0,3.0,31.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260124,HOSP-001,DEPT-DIAG,2026-01-24,2026-01,40,37,1,2,0,,40.0,37.0,3.0,28.7,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260125,HOSP-001,DEPT-ED,2026-01-25,2026-01,99,98,0,1,0,,99.0,98.0,1.0,32.5,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260125,HOSP-001,DEPT-OPC,2026-01-25,2026-01,65,64,0,1,0,,65.0,64.0,1.0,30.3,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260125,HOSP-001,DEPT-DIAG,2026-01-25,2026-01,51,51,0,0,0,,51.0,51.0,0.0,31.5,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260126,HOSP-001,DEPT-ED,2026-01-26,2026-01,94,91,2,1,0,,94.0,91.0,3.0,31.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260126,HOSP-001,DEPT-OPC,2026-01-26,2026-01,83,82,1,0,0,,83.0,82.0,1.0,34.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260126,HOSP-001,DEPT-DIAG,2026-01-26,2026-01,56,56,0,0,0,,56.0,56.0,0.0,31.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260127,HOSP-001,DEPT-ED,2026-01-27,2026-01,91,87,3,1,0,,91.0,87.0,4.0,30.9,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260127,HOSP-001,DEPT-OPC,2026-01-27,2026-01,67,65,1,1,0,,67.0,65.0,2.0,31.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260127,HOSP-001,DEPT-DIAG,2026-01-27,2026-01,36,34,0,2,0,,36.0,34.0,2.0,28.9,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260128,HOSP-001,DEPT-ED,2026-01-28,2026-01,102,99,2,1,0,,102.0,99.0,3.0,31.9,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260128,HOSP-001,DEPT-OPC,2026-01-28,2026-01,97,96,1,0,0,,97.0,96.0,1.0,33.4,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260128,HOSP-001,DEPT-DIAG,2026-01-28,2026-01,48,43,3,2,0,,48.0,43.0,5.0,31.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-ED-20260129,HOSP-001,DEPT-ED,2026-01-29,2026-01,96,91,2,3,0,,96.0,91.0,5.0,33.2,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-OPC-20260129,HOSP-001,DEPT-OPC,2026-01-29,2026-01,83,76,2,5,0,,83.0,76.0,7.0,34.1,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
PFD-HOSP-001-DEPT-DIAG-20260129,HOSP-001,DEPT-DIAG,2026-01-29,2026-01,47,44,3,0,0,,47.0,44.0,3.0,36.0,,,,,,,,,3,0,0,0,PROC-PFD-52B503B5DA53,VAL-C62B370EC6C3,2D-3C-1.0.0,2026-07-26 10:36:59.563965
