bed_capacity_record_id,hospital_id,department_id,reporting_date,reporting_month,licensed_beds,staffed_beds,operational_beds,occupied_beds,unavailable_beds,reserved_beds,beds_above_operational_capacity,overcapacity_flag,overcapacity_exception_flag,overcapacity_reason,valid_bed_record_flag,source_primary_key,processing_run_id,validation_run_id,transformation_version,processed_datetime,source_row_number
BED-000000012,HOSP-001,DEPT-ICU,2026-01-04,2026-01,24,22,21,16,3,0,0,False,False,,True,BED-000000012,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000013,HOSP-001,DEPT-MED,2026-01-05,2026-01,120,114,112,86,8,4,0,False,False,,True,BED-000000013,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000014,HOSP-001,DEPT-SURG,2026-01-05,2026-01,100,99,98,76,2,0,0,False,False,,True,BED-000000014,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000015,HOSP-001,DEPT-ICU,2026-01-05,2026-01,24,22,21,16,3,0,0,False,False,,True,BED-000000015,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000016,HOSP-001,DEPT-MED,2026-01-06,2026-01,120,112,107,88,13,2,0,False,False,,True,BED-000000016,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000017,HOSP-001,DEPT-SURG,2026-01-06,2026-01,100,92,88,82,12,0,0,False,False,,True,BED-000000017,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000018,HOSP-001,DEPT-ICU,2026-01-06,2026-01,24,23,22,18,2,0,0,False,False,,True,BED-000000018,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000019,HOSP-001,DEPT-MED,2026-01-07,2026-01,120,112,106,90,14,4,0,False,False,,True,BED-000000019,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000020,HOSP-001,DEPT-SURG,2026-01-07,2026-01,100,94,91,69,9,1,0,False,False,,True,BED-000000020,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000021,HOSP-001,DEPT-ICU,2026-01-07,2026-01,24,22,20,15,4,0,0,False,False,,True,BED-000000021,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000022,HOSP-001,DEPT-MED,2026-01-08,2026-01,120,115,111,100,9,2,0,False,False,,True,BED-000000022,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000023,HOSP-001,DEPT-SURG,2026-01-08,2026-01,100,93,92,77,8,4,0,False,False,,True,BED-000000023,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000024,HOSP-001,DEPT-ICU,2026-01-08,2026-01,24,23,21,16,3,0,0,False,False,,True,BED-000000024,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000025,HOSP-001,DEPT-MED,2026-01-09,2026-01,120,115,108,88,12,0,0,False,False,,True,BED-000000025,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000026,HOSP-001,DEPT-SURG,2026-01-09,2026-01,100,92,90,80,10,0,0,False,False,,True,BED-000000026,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000027,HOSP-001,DEPT-ICU,2026-01-09,2026-01,24,22,20,15,4,0,0,False,False,,True,BED-000000027,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000028,HOSP-001,DEPT-MED,2026-01-10,2026-01,120,118,117,109,3,1,0,False,False,,True,BED-000000028,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000029,HOSP-001,DEPT-SURG,2026-01-10,2026-01,100,96,90,73,10,4,0,False,False,,True,BED-000000029,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000030,HOSP-001,DEPT-ICU,2026-01-10,2026-01,24,23,21,15,3,0,0,False,False,,True,BED-000000030,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000031,HOSP-001,DEPT-MED,2026-01-11,2026-01,120,119,116,103,4,0,0,False,False,,True,BED-000000031,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000032,HOSP-001,DEPT-SURG,2026-01-11,2026-01,100,99,93,86,7,1,0,False,False,,True,BED-000000032,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000033,HOSP-001,DEPT-ICU,2026-01-11,2026-01,24,22,20,16,4,0,0,False,False,,True,BED-000000033,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000034,HOSP-001,DEPT-MED,2026-01-12,2026-01,120,108,101,75,19,1,0,False,False,,True,BED-000000034,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000035,HOSP-001,DEPT-SURG,2026-01-12,2026-01,100,93,85,67,15,0,0,False,False,,True,BED-000000035,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000036,HOSP-001,DEPT-ICU,2026-01-12,2026-01,24,23,22,18,2,0,0,False,False,,True,BED-000000036,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000037,HOSP-001,DEPT-MED,2026-01-13,2026-01,120,117,115,105,5,2,0,False,False,,True,BED-000000037,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000038,HOSP-001,DEPT-SURG,2026-01-13,2026-01,100,96,95,84,5,1,0,False,False,,True,BED-000000038,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000039,HOSP-001,DEPT-ICU,2026-01-13,2026-01,24,22,21,19,3,0,0,False,False,,True,BED-000000039,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000040,HOSP-001,DEPT-MED,2026-01-14,2026-01,120,117,112,101,8,3,0,False,False,,True,BED-000000040,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000041,HOSP-001,DEPT-SURG,2026-01-14,2026-01,100,95,94,72,6,2,0,False,False,,True,BED-000000041,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000042,HOSP-001,DEPT-ICU,2026-01-14,2026-01,24,23,21,17,3,0,0,False,False,,True,BED-000000042,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000043,HOSP-001,DEPT-MED,2026-01-15,2026-01,120,108,105,81,15,2,0,False,False,,True,BED-000000043,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000044,HOSP-001,DEPT-SURG,2026-01-15,2026-01,100,98,91,68,9,3,0,False,False,,True,BED-000000044,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000045,HOSP-001,DEPT-ICU,2026-01-15,2026-01,24,21,19,16,5,0,0,False,False,,True,BED-000000045,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000046,HOSP-001,DEPT-MED,2026-01-16,2026-01,120,108,102,86,18,0,0,False,False,,True,BED-000000046,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000047,HOSP-001,DEPT-SURG,2026-01-16,2026-01,100,93,92,74,8,4,0,False,False,,True,BED-000000047,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000048,HOSP-001,DEPT-ICU,2026-01-16,2026-01,24,21,20,16,4,0,0,False,False,,True,BED-000000048,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000049,HOSP-001,DEPT-MED,2026-01-17,2026-01,120,108,105,87,15,4,0,False,False,,True,BED-000000049,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000050,HOSP-001,DEPT-SURG,2026-01-17,2026-01,100,91,85,79,15,3,0,False,False,,True,BED-000000050,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000051,HOSP-001,DEPT-ICU,2026-01-17,2026-01,24,23,22,17,2,0,0,False,False,,True,BED-000000051,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000052,HOSP-001,DEPT-MED,2026-01-18,2026-01,120,115,107,98,13,0,0,False,False,,True,BED-000000052,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000053,HOSP-001,DEPT-SURG,2026-01-18,2026-01,100,92,85,65,15,3,0,False,False,,True,BED-000000053,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000054,HOSP-001,DEPT-ICU,2026-01-18,2026-01,24,23,22,19,2,0,0,False,False,,True,BED-000000054,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000055,HOSP-001,DEPT-MED,2026-01-19,2026-01,120,116,114,107,6,3,0,False,False,,True,BED-000000055,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000056,HOSP-001,DEPT-SURG,2026-01-19,2026-01,100,96,95,73,5,4,0,False,False,,True,BED-000000056,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000057,HOSP-001,DEPT-ICU,2026-01-19,2026-01,24,22,21,16,3,0,0,False,False,,True,BED-000000057,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000058,HOSP-001,DEPT-MED,2026-01-20,2026-01,120,117,114,88,6,5,0,False,False,,True,BED-000000058,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000059,HOSP-001,DEPT-SURG,2026-01-20,2026-01,100,90,84,69,16,3,0,False,False,,True,BED-000000059,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000060,HOSP-001,DEPT-ICU,2026-01-20,2026-01,24,22,21,19,3,0,0,False,False,,True,BED-000000060,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000061,HOSP-001,DEPT-MED,2026-01-21,2026-01,120,112,105,87,15,0,0,False,False,,True,BED-000000061,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000062,HOSP-001,DEPT-SURG,2026-01-21,2026-01,100,93,91,75,9,2,0,False,False,,True,BED-000000062,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000063,HOSP-001,DEPT-ICU,2026-01-21,2026-01,24,22,20,17,4,0,0,False,False,,True,BED-000000063,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000064,HOSP-001,DEPT-MED,2026-01-22,2026-01,120,109,106,92,14,3,0,False,False,,True,BED-000000064,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000065,HOSP-001,DEPT-SURG,2026-01-22,2026-01,100,94,90,68,10,1,0,False,False,,True,BED-000000065,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000066,HOSP-001,DEPT-ICU,2026-01-22,2026-01,24,22,21,16,3,0,0,False,False,,True,BED-000000066,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000067,HOSP-001,DEPT-MED,2026-01-23,2026-01,120,109,102,90,18,3,0,False,False,,True,BED-000000067,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000068,HOSP-001,DEPT-SURG,2026-01-23,2026-01,100,91,84,63,16,1,0,False,False,,True,BED-000000068,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000069,HOSP-001,DEPT-ICU,2026-01-23,2026-01,24,23,22,19,2,0,0,False,False,,True,BED-000000069,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000070,HOSP-001,DEPT-MED,2026-01-24,2026-01,120,108,105,92,15,0,0,False,False,,True,BED-000000070,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000071,HOSP-001,DEPT-SURG,2026-01-24,2026-01,100,91,89,68,11,2,0,False,False,,True,BED-000000071,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000072,HOSP-001,DEPT-ICU,2026-01-24,2026-01,24,22,21,16,3,0,0,False,False,,True,BED-000000072,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000073,HOSP-001,DEPT-MED,2026-01-25,2026-01,120,116,115,105,5,1,0,False,False,,True,BED-000000073,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000074,HOSP-001,DEPT-SURG,2026-01-25,2026-01,100,93,90,69,10,0,0,False,False,,True,BED-000000074,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000075,HOSP-001,DEPT-ICU,2026-01-25,2026-01,24,23,22,19,2,0,0,False,False,,True,BED-000000075,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000076,HOSP-001,DEPT-MED,2026-01-26,2026-01,120,112,106,90,14,0,0,False,False,,True,BED-000000076,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000077,HOSP-001,DEPT-SURG,2026-01-26,2026-01,100,97,92,83,8,0,0,False,False,,True,BED-000000077,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000078,HOSP-001,DEPT-ICU,2026-01-26,2026-01,24,23,22,17,2,0,0,False,False,,True,BED-000000078,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000079,HOSP-001,DEPT-MED,2026-01-27,2026-01,120,118,115,91,5,1,0,False,False,,True,BED-000000079,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000080,HOSP-001,DEPT-SURG,2026-01-27,2026-01,100,91,87,72,13,0,0,False,False,,True,BED-000000080,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000081,HOSP-001,DEPT-ICU,2026-01-27,2026-01,24,21,20,18,4,0,0,False,False,,True,BED-000000081,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000082,HOSP-001,DEPT-MED,2026-01-28,2026-01,120,110,104,89,16,4,0,False,False,,True,BED-000000082,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000083,HOSP-001,DEPT-SURG,2026-01-28,2026-01,100,95,88,75,12,0,0,False,False,,True,BED-000000083,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000084,HOSP-001,DEPT-ICU,2026-01-28,2026-01,24,22,20,17,4,0,0,False,False,,True,BED-000000084,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000085,HOSP-001,DEPT-MED,2026-01-29,2026-01,120,110,106,86,14,1,0,False,False,,True,BED-000000085,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000086,HOSP-001,DEPT-SURG,2026-01-29,2026-01,100,96,95,87,5,3,0,False,False,,True,BED-000000086,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000087,HOSP-001,DEPT-ICU,2026-01-29,2026-01,24,23,22,19,2,0,0,False,False,,True,BED-000000087,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000088,HOSP-001,DEPT-MED,2026-01-30,2026-01,120,112,110,93,10,5,0,False,False,,True,BED-000000088,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000089,HOSP-001,DEPT-SURG,2026-01-30,2026-01,100,90,87,74,13,0,0,False,False,,True,BED-000000089,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000090,HOSP-001,DEPT-ICU,2026-01-30,2026-01,24,23,21,17,3,0,0,False,False,,True,BED-000000090,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000091,HOSP-001,DEPT-MED,2026-01-31,2026-01,120,119,115,90,5,3,0,False,False,,True,BED-000000091,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000092,HOSP-001,DEPT-SURG,2026-01-31,2026-01,100,98,93,75,7,3,0,False,False,,True,BED-000000092,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000093,HOSP-001,DEPT-ICU,2026-01-31,2026-01,24,23,21,19,3,0,0,False,False,,True,BED-000000093,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000094,HOSP-001,DEPT-MED,2026-02-01,2026-02,120,112,104,80,16,2,0,False,False,,True,BED-000000094,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000095,HOSP-001,DEPT-SURG,2026-02-01,2026-02,100,96,95,82,5,4,0,False,False,,True,BED-000000095,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000096,HOSP-001,DEPT-ICU,2026-02-01,2026-02,24,21,20,15,4,0,0,False,False,,True,BED-000000096,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000097,HOSP-001,DEPT-MED,2026-02-02,2026-02,120,118,111,84,9,3,0,False,False,,True,BED-000000097,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000098,HOSP-001,DEPT-SURG,2026-02-02,2026-02,100,96,90,76,10,1,0,False,False,,True,BED-000000098,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000099,HOSP-001,DEPT-ICU,2026-02-02,2026-02,24,22,21,16,3,0,0,False,False,,True,BED-000000099,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000100,HOSP-001,DEPT-MED,2026-02-03,2026-02,120,114,111,89,9,5,0,False,False,,True,BED-000000100,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000101,HOSP-001,DEPT-SURG,2026-02-03,2026-02,100,90,83,62,17,1,0,False,False,,True,BED-000000101,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000102,HOSP-001,DEPT-ICU,2026-02-03,2026-02,24,21,19,17,5,0,0,False,False,,True,BED-000000102,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000103,HOSP-001,DEPT-MED,2026-02-04,2026-02,120,119,117,97,3,2,0,False,False,,True,BED-000000103,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000104,HOSP-001,DEPT-SURG,2026-02-04,2026-02,100,93,90,72,10,0,0,False,False,,True,BED-000000104,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000105,HOSP-001,DEPT-ICU,2026-02-04,2026-02,24,22,20,17,4,0,0,False,False,,True,BED-000000105,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000106,HOSP-001,DEPT-MED,2026-02-05,2026-02,120,114,105,91,15,4,0,False,False,,True,BED-000000106,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000107,HOSP-001,DEPT-SURG,2026-02-05,2026-02,100,92,90,72,10,2,0,False,False,,True,BED-000000107,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000108,HOSP-001,DEPT-ICU,2026-02-05,2026-02,24,23,22,19,2,0,0,False,False,,True,BED-000000108,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000109,HOSP-001,DEPT-MED,2026-02-06,2026-02,120,112,108,91,12,2,0,False,False,,True,BED-000000109,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000110,HOSP-001,DEPT-SURG,2026-02-06,2026-02,100,96,92,76,8,0,0,False,False,,True,BED-000000110,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000111,HOSP-001,DEPT-ICU,2026-02-06,2026-02,24,23,22,17,2,0,0,False,False,,True,BED-000000111,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000112,HOSP-001,DEPT-MED,2026-02-07,2026-02,120,114,109,91,11,4,0,False,False,,True,BED-000000112,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000113,HOSP-001,DEPT-SURG,2026-02-07,2026-02,100,91,88,76,12,0,0,False,False,,True,BED-000000113,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
