schedule_id,hospital_id,department_id,service_date,planned_start_time,planned_end_time,planned_hours,planned_capacity,schedule_status,shift_code,source_system,created_at
SCH-00000036,HOSP-001,DEPT-SURG,2026-01-02,23:00:00,07:00:00,8.0,100,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000037,HOSP-001,DEPT-ICU,2026-01-02,07:00:00,15:00:00,8.0,24,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000038,HOSP-001,DEPT-ICU,2026-01-02,15:00:00,23:00:00,8.0,24,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000039,HOSP-001,DEPT-ICU,2026-01-02,23:00:00,07:00:00,8.0,24,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000040,HOSP-001,DEPT-DIAG,2026-01-02,07:00:00,15:00:00,8.0,60,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000041,HOSP-001,DEPT-DIAG,2026-01-02,15:00:00,23:00:00,8.0,60,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000042,HOSP-001,DEPT-DIAG,2026-01-02,23:00:00,07:00:00,8.0,60,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000043,HOSP-001,DEPT-PEX,2026-01-02,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000044,HOSP-001,DEPT-PEX,2026-01-02,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000045,HOSP-001,DEPT-PEX,2026-01-02,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000046,HOSP-001,DEPT-ADM,2026-01-02,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000047,HOSP-001,DEPT-ADM,2026-01-02,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000048,HOSP-001,DEPT-ADM,2026-01-02,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000049,HOSP-001,DEPT-ED,2026-01-03,07:00:00,15:00:00,8.0,80,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000050,HOSP-001,DEPT-ED,2026-01-03,15:00:00,23:00:00,8.0,80,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000051,HOSP-001,DEPT-ED,2026-01-03,23:00:00,07:00:00,8.0,80,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000052,HOSP-001,DEPT-OPC,2026-01-03,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000053,HOSP-001,DEPT-OPC,2026-01-03,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000054,HOSP-001,DEPT-OPC,2026-01-03,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000055,HOSP-001,DEPT-MED,2026-01-03,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000056,HOSP-001,DEPT-MED,2026-01-03,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000057,HOSP-001,DEPT-MED,2026-01-03,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000058,HOSP-001,DEPT-SURG,2026-01-03,07:00:00,15:00:00,8.0,100,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000059,HOSP-001,DEPT-SURG,2026-01-03,15:00:00,23:00:00,8.0,100,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000060,HOSP-001,DEPT-SURG,2026-01-03,23:00:00,07:00:00,8.0,100,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000061,HOSP-001,DEPT-ICU,2026-01-03,07:00:00,15:00:00,8.0,24,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000062,HOSP-001,DEPT-ICU,2026-01-03,15:00:00,23:00:00,8.0,24,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000063,HOSP-001,DEPT-ICU,2026-01-03,23:00:00,07:00:00,8.0,24,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000064,HOSP-001,DEPT-DIAG,2026-01-03,07:00:00,15:00:00,8.0,60,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000065,HOSP-001,DEPT-DIAG,2026-01-03,15:00:00,23:00:00,8.0,60,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000066,HOSP-001,DEPT-DIAG,2026-01-03,23:00:00,07:00:00,8.0,60,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000067,HOSP-001,DEPT-PEX,2026-01-03,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000068,HOSP-001,DEPT-PEX,2026-01-03,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000069,HOSP-001,DEPT-PEX,2026-01-03,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000070,HOSP-001,DEPT-ADM,2026-01-03,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000071,HOSP-001,DEPT-ADM,2026-01-03,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000072,HOSP-001,DEPT-ADM,2026-01-03,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000073,HOSP-001,DEPT-ED,2026-01-04,07:00:00,15:00:00,8.0,80,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000074,HOSP-001,DEPT-ED,2026-01-04,15:00:00,23:00:00,8.0,80,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000075,HOSP-001,DEPT-ED,2026-01-04,23:00:00,07:00:00,8.0,80,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000076,HOSP-001,DEPT-OPC,2026-01-04,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000077,HOSP-001,DEPT-OPC,2026-01-04,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000078,HOSP-001,DEPT-OPC,2026-01-04,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000079,HOSP-001,DEPT-MED,2026-01-04,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000080,HOSP-001,DEPT-MED,2026-01-04,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000081,HOSP-001,DEPT-MED,2026-01-04,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000082,HOSP-001,DEPT-SURG,2026-01-04,07:00:00,15:00:00,8.0,100,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000083,HOSP-001,DEPT-SURG,2026-01-04,15:00:00,23:00:00,8.0,100,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000084,HOSP-001,DEPT-SURG,2026-01-04,23:00:00,07:00:00,8.0,100,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000085,HOSP-001,DEPT-ICU,2026-01-04,07:00:00,15:00:00,8.0,24,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000086,HOSP-001,DEPT-ICU,2026-01-04,15:00:00,23:00:00,8.0,24,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000087,HOSP-001,DEPT-ICU,2026-01-04,23:00:00,07:00:00,8.0,24,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000088,HOSP-001,DEPT-DIAG,2026-01-04,07:00:00,15:00:00,8.0,60,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000089,HOSP-001,DEPT-DIAG,2026-01-04,15:00:00,23:00:00,8.0,60,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000090,HOSP-001,DEPT-DIAG,2026-01-04,23:00:00,07:00:00,8.0,60,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000091,HOSP-001,DEPT-PEX,2026-01-04,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000092,HOSP-001,DEPT-PEX,2026-01-04,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000093,HOSP-001,DEPT-PEX,2026-01-04,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000094,HOSP-001,DEPT-ADM,2026-01-04,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000095,HOSP-001,DEPT-ADM,2026-01-04,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000096,HOSP-001,DEPT-ADM,2026-01-04,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000097,HOSP-001,DEPT-ED,2026-01-05,07:00:00,15:00:00,8.0,80,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000098,HOSP-001,DEPT-ED,2026-01-05,15:00:00,23:00:00,8.0,80,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000099,HOSP-001,DEPT-ED,2026-01-05,23:00:00,07:00:00,8.0,80,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000100,HOSP-001,DEPT-OPC,2026-01-05,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000101,HOSP-001,DEPT-OPC,2026-01-05,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000102,HOSP-001,DEPT-OPC,2026-01-05,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000103,HOSP-001,DEPT-MED,2026-01-05,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000104,HOSP-001,DEPT-MED,2026-01-05,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000105,HOSP-001,DEPT-MED,2026-01-05,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000106,HOSP-001,DEPT-SURG,2026-01-05,07:00:00,15:00:00,8.0,100,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000107,HOSP-001,DEPT-SURG,2026-01-05,15:00:00,23:00:00,8.0,100,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000108,HOSP-001,DEPT-SURG,2026-01-05,23:00:00,07:00:00,8.0,100,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000109,HOSP-001,DEPT-ICU,2026-01-05,07:00:00,15:00:00,8.0,24,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000110,HOSP-001,DEPT-ICU,2026-01-05,15:00:00,23:00:00,8.0,24,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000111,HOSP-001,DEPT-ICU,2026-01-05,23:00:00,07:00:00,8.0,24,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000112,HOSP-001,DEPT-DIAG,2026-01-05,07:00:00,15:00:00,8.0,60,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000113,HOSP-001,DEPT-DIAG,2026-01-05,15:00:00,23:00:00,8.0,60,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000114,HOSP-001,DEPT-DIAG,2026-01-05,23:00:00,07:00:00,8.0,60,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000115,HOSP-001,DEPT-PEX,2026-01-05,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000116,HOSP-001,DEPT-PEX,2026-01-05,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000117,HOSP-001,DEPT-PEX,2026-01-05,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000118,HOSP-001,DEPT-ADM,2026-01-05,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000119,HOSP-001,DEPT-ADM,2026-01-05,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000120,HOSP-001,DEPT-ADM,2026-01-05,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000121,HOSP-001,DEPT-ED,2026-01-06,07:00:00,15:00:00,8.0,80,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000122,HOSP-001,DEPT-ED,2026-01-06,15:00:00,23:00:00,8.0,80,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000123,HOSP-001,DEPT-ED,2026-01-06,23:00:00,07:00:00,8.0,80,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000124,HOSP-001,DEPT-OPC,2026-01-06,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000125,HOSP-001,DEPT-OPC,2026-01-06,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000126,HOSP-001,DEPT-OPC,2026-01-06,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000127,HOSP-001,DEPT-MED,2026-01-06,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000128,HOSP-001,DEPT-MED,2026-01-06,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000129,HOSP-001,DEPT-MED,2026-01-06,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000130,HOSP-001,DEPT-SURG,2026-01-06,07:00:00,15:00:00,8.0,100,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000131,HOSP-001,DEPT-SURG,2026-01-06,15:00:00,23:00:00,8.0,100,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000132,HOSP-001,DEPT-SURG,2026-01-06,23:00:00,07:00:00,8.0,100,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000133,HOSP-001,DEPT-ICU,2026-01-06,07:00:00,15:00:00,8.0,24,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000134,HOSP-001,DEPT-ICU,2026-01-06,15:00:00,23:00:00,8.0,24,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000135,HOSP-001,DEPT-ICU,2026-01-06,23:00:00,07:00:00,8.0,24,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000136,HOSP-001,DEPT-DIAG,2026-01-06,07:00:00,15:00:00,8.0,60,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000137,HOSP-001,DEPT-DIAG,2026-01-06,15:00:00,23:00:00,8.0,60,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000138,HOSP-001,DEPT-DIAG,2026-01-06,23:00:00,07:00:00,8.0,60,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000139,HOSP-001,DEPT-PEX,2026-01-06,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000140,HOSP-001,DEPT-PEX,2026-01-06,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000141,HOSP-001,DEPT-PEX,2026-01-06,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000142,HOSP-001,DEPT-ADM,2026-01-06,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000143,HOSP-001,DEPT-ADM,2026-01-06,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000144,HOSP-001,DEPT-ADM,2026-01-06,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000145,HOSP-001,DEPT-ED,2026-01-07,07:00:00,15:00:00,8.0,80,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000146,HOSP-001,DEPT-ED,2026-01-07,15:00:00,23:00:00,8.0,80,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000147,HOSP-001,DEPT-ED,2026-01-07,23:00:00,07:00:00,8.0,80,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000148,HOSP-001,DEPT-OPC,2026-01-07,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000149,HOSP-001,DEPT-OPC,2026-01-07,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000150,HOSP-001,DEPT-OPC,2026-01-07,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000151,HOSP-001,DEPT-MED,2026-01-07,07:00:00,15:00:00,8.0,120,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000152,HOSP-001,DEPT-MED,2026-01-07,15:00:00,23:00:00,8.0,120,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000153,HOSP-001,DEPT-MED,2026-01-07,23:00:00,07:00:00,8.0,120,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000154,HOSP-001,DEPT-SURG,2026-01-07,07:00:00,15:00:00,8.0,100,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000155,HOSP-001,DEPT-SURG,2026-01-07,15:00:00,23:00:00,8.0,100,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000156,HOSP-001,DEPT-SURG,2026-01-07,23:00:00,07:00:00,8.0,100,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000157,HOSP-001,DEPT-ICU,2026-01-07,07:00:00,15:00:00,8.0,24,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000158,HOSP-001,DEPT-ICU,2026-01-07,15:00:00,23:00:00,8.0,24,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000159,HOSP-001,DEPT-ICU,2026-01-07,23:00:00,07:00:00,8.0,24,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000160,HOSP-001,DEPT-DIAG,2026-01-07,07:00:00,15:00:00,8.0,60,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000161,HOSP-001,DEPT-DIAG,2026-01-07,15:00:00,23:00:00,8.0,60,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000162,HOSP-001,DEPT-DIAG,2026-01-07,23:00:00,07:00:00,8.0,60,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000163,HOSP-001,DEPT-PEX,2026-01-07,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000164,HOSP-001,DEPT-PEX,2026-01-07,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000165,HOSP-001,DEPT-PEX,2026-01-07,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000166,HOSP-001,DEPT-ADM,2026-01-07,07:00:00,15:00:00,8.0,20,Planned,MORNING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000167,HOSP-001,DEPT-ADM,2026-01-07,15:00:00,23:00:00,8.0,20,Planned,EVENING,SENTINEL_DEMO_SCHED,2025-01-01
SCH-00000168,HOSP-001,DEPT-ADM,2026-01-07,23:00:00,07:00:00,8.0,20,Planned,NIGHT,SENTINEL_DEMO_SCHED,2025-01-01
