observation_id,dataset_name,observation_type,severity,record_count,expected_in_clean_mode,observation_status,explanation,requires_step_2c_validation
OBS-044,staff_roster,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-045,staff_attendance,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-046,patient_encounters,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-047,patient_queue_records,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-048,bed_capacity_records,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-049,patient_complaints,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-050,patient_surveys,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-051,service_schedule,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-052,staffing_requirement,Records Outside Configured Date Range,Information,0,False,Not Observed,Date range: 2026-01-01 00:00:00 to 2026-12-31 00:00:00; configured: 2026-01-01 to 2026-12-31,True
OBS-053,hospital_master,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-054,department_master,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-055,staff_role_master,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-056,staff_roster,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-057,staff_attendance,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-058,staffing_requirement,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-059,patient_encounters,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-060,patient_queue_records,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-061,bed_capacity_records,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-062,patient_complaints,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-063,patient_surveys,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-064,service_schedule,Unexpected Direct Identifier Fields,Information,0,False,Not Observed,No forbidden identifier fields found.,True
OBS-065,staff_master,Staff Names Populated,Information,0,False,Not Observed,staff_name populated count: 0,True
