staff_id,hospital_id,department_id,role_id,staff_name,email,phone_number,ic_number,address,employment_type,fte_value,is_active,employment_start_date,employment_end_date,source_system,record_version,record_created_datetime,record_updated_datetime
STAFF-0016,HOSP-001,DEPT-ADM,ROLE-RN,,,,,,Full-Time,1.0,True,2025-03-05,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0017,HOSP-001,DEPT-MED,ROLE-MO,,,,,,Part-Time,0.6,True,2025-04-18,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0018,HOSP-001,DEPT-ADM,ROLE-ED-PHY,,,,,,Contract,1.0,True,2024-11-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0019,HOSP-001,DEPT-ED,ROLE-AMO,,,,,,Contract,0.75,True,2025-07-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0020,HOSP-001,DEPT-SURG,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-03-20,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0021,HOSP-001,DEPT-DIAG,ROLE-AMO,,,,,,Part-Time,0.6,True,2025-04-02,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0022,HOSP-001,DEPT-SURG,ROLE-RAD,,,,,,Part-Time,0.5,True,2024-11-05,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0023,HOSP-001,DEPT-MED,ROLE-MO,,,,,,Part-Time,0.6,True,2024-11-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0024,HOSP-001,DEPT-OPC,ROLE-PHARM,,,,,,Full-Time,1.0,True,2025-04-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0025,HOSP-001,DEPT-ED,ROLE-MO,,,,,,Full-Time,1.0,True,2024-05-29,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0026,HOSP-001,DEPT-ADM,ROLE-MO,,,,,,Full-Time,1.0,True,2024-04-04,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0027,HOSP-001,DEPT-MED,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-09-07,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0028,HOSP-001,DEPT-MED,ROLE-PEO,,,,,,Contract,0.5,True,2025-01-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0029,HOSP-001,DEPT-ICU,ROLE-AMO,,,,,,Full-Time,1.0,True,2024-10-15,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0030,HOSP-001,DEPT-ICU,ROLE-HCA,,,,,,Contract,0.5,True,2025-10-28,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0031,HOSP-001,DEPT-PEX,ROLE-ED-PHY,,,,,,Part-Time,0.6,True,2024-03-20,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0032,HOSP-001,DEPT-PEX,ROLE-RAD,,,,,,Full-Time,1.0,True,2025-03-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0033,HOSP-001,DEPT-ADM,ROLE-RN,,,,,,Full-Time,1.0,True,2025-01-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0034,HOSP-001,DEPT-ADM,ROLE-AMO,,,,,,Full-Time,1.0,True,2024-04-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0035,HOSP-001,DEPT-DIAG,ROLE-REG,,,,,,Full-Time,1.0,True,2025-06-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0036,HOSP-001,DEPT-OPC,ROLE-ED-PHY,,,,,,Part-Time,0.5,True,2024-10-27,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0037,HOSP-001,DEPT-MED,ROLE-REG,,,,,,Full-Time,1.0,True,2024-10-20,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0038,HOSP-001,DEPT-ADM,ROLE-AMO,,,,,,Part-Time,0.5,True,2024-02-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0039,HOSP-001,DEPT-MED,ROLE-AMO,,,,,,Full-Time,1.0,True,2025-10-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0040,HOSP-001,DEPT-PEX,ROLE-PHARM,,,,,,Full-Time,1.0,True,2025-05-21,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0041,HOSP-001,DEPT-PEX,ROLE-AMO,,,,,,Full-Time,1.0,True,2025-06-01,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0042,HOSP-001,DEPT-ADM,ROLE-RAD,,,,,,Full-Time,1.0,True,2024-12-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0043,HOSP-001,DEPT-PEX,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-03-19,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0044,HOSP-001,DEPT-MED,ROLE-PEO,,,,,,Full-Time,1.0,True,2025-11-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0045,HOSP-001,DEPT-ED,ROLE-AMO,,,,,,Full-Time,1.0,True,2025-05-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0046,HOSP-001,DEPT-DIAG,ROLE-MO,,,,,,Full-Time,1.0,True,2025-11-09,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0047,HOSP-001,DEPT-SURG,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-02-21,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0048,HOSP-001,DEPT-ED,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2025-01-07,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0049,HOSP-001,DEPT-MED,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-08-11,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0050,HOSP-001,DEPT-ADM,ROLE-PEO,,,,,,Full-Time,1.0,True,2025-03-19,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0051,HOSP-001,DEPT-DIAG,ROLE-PEO,,,,,,Contract,0.5,True,2025-06-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0052,HOSP-001,DEPT-ADM,ROLE-RN,,,,,,Contract,1.0,True,2025-09-13,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0053,HOSP-001,DEPT-PEX,ROLE-REG,,,,,,Full-Time,1.0,True,2024-01-28,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0054,HOSP-001,DEPT-DIAG,ROLE-REG,,,,,,Full-Time,1.0,True,2024-03-19,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0055,HOSP-001,DEPT-PEX,ROLE-RN,,,,,,Contract,1.0,True,2024-05-27,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0056,HOSP-001,DEPT-OPC,ROLE-HCA,,,,,,Full-Time,1.0,True,2024-05-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0057,HOSP-001,DEPT-ADM,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2024-04-16,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0058,HOSP-001,DEPT-DIAG,ROLE-HCA,,,,,,Full-Time,1.0,True,2025-12-31,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0059,HOSP-001,DEPT-ICU,ROLE-REG,,,,,,Full-Time,1.0,True,2025-04-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0060,HOSP-001,DEPT-DIAG,ROLE-RAD,,,,,,Contract,0.75,True,2025-05-26,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0061,HOSP-001,DEPT-PEX,ROLE-REG,,,,,,Part-Time,0.5,True,2025-06-29,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0062,HOSP-001,DEPT-MED,ROLE-RAD,,,,,,Full-Time,1.0,True,2025-11-02,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0063,HOSP-001,DEPT-ED,ROLE-PHARM,,,,,,Part-Time,0.5,True,2025-05-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0064,HOSP-001,DEPT-OPC,ROLE-HCA,,,,,,Part-Time,0.6,True,2024-09-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0065,HOSP-001,DEPT-MED,ROLE-MO,,,,,,Contract,0.5,True,2025-02-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0066,HOSP-001,DEPT-DIAG,ROLE-RAD,,,,,,Full-Time,1.0,True,2024-12-10,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0067,HOSP-001,DEPT-ADM,ROLE-HCA,,,,,,Full-Time,1.0,True,2025-09-22,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0068,HOSP-001,DEPT-PEX,ROLE-AMO,,,,,,Part-Time,0.6,True,2025-12-21,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0069,HOSP-001,DEPT-ADM,ROLE-RN,,,,,,Part-Time,0.6,True,2024-10-22,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0070,HOSP-001,DEPT-ADM,ROLE-REG,,,,,,Contract,0.5,True,2024-03-04,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0071,HOSP-001,DEPT-OPC,ROLE-ED-PHY,,,,,,Contract,1.0,True,2024-05-23,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0072,HOSP-001,DEPT-DIAG,ROLE-ED-PHY,,,,,,Part-Time,0.5,True,2025-09-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0073,HOSP-001,DEPT-OPC,ROLE-AMO,,,,,,Full-Time,1.0,True,2024-06-27,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0074,HOSP-001,DEPT-ICU,ROLE-RAD,,,,,,Part-Time,0.5,True,2025-06-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0075,HOSP-001,DEPT-PEX,ROLE-RAD,,,,,,Full-Time,1.0,True,2024-03-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0076,HOSP-001,DEPT-ED,ROLE-REG,,,,,,Full-Time,1.0,True,2024-08-12,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0077,HOSP-001,DEPT-OPC,ROLE-HCA,,,,,,Full-Time,1.0,True,2025-10-18,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0078,HOSP-001,DEPT-ED,ROLE-MO,,,,,,Full-Time,1.0,True,2025-09-28,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0079,HOSP-001,DEPT-SURG,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-03-31,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0080,HOSP-001,DEPT-OPC,ROLE-RN,,,,,,Full-Time,1.0,True,2025-09-19,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0081,HOSP-001,DEPT-DIAG,ROLE-PHARM,,,,,,Part-Time,0.6,True,2025-11-15,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0082,HOSP-001,DEPT-DIAG,ROLE-RAD,,,,,,Contract,0.5,True,2025-02-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0083,HOSP-001,DEPT-SURG,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2025-03-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0084,HOSP-001,DEPT-ED,ROLE-HCA,,,,,,Full-Time,1.0,True,2025-06-19,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0085,HOSP-001,DEPT-ICU,ROLE-RAD,,,,,,Full-Time,1.0,True,2025-06-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0086,HOSP-001,DEPT-DIAG,ROLE-MO,,,,,,Part-Time,0.5,True,2024-03-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0087,HOSP-001,DEPT-ICU,ROLE-MO,,,,,,Full-Time,1.0,True,2025-06-27,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0088,HOSP-001,DEPT-OPC,ROLE-ED-PHY,,,,,,Part-Time,0.6,True,2024-12-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0089,HOSP-001,DEPT-DIAG,ROLE-PEO,,,,,,Full-Time,1.0,True,2025-08-04,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0090,HOSP-001,DEPT-ICU,ROLE-RAD,,,,,,Part-Time,0.6,True,2024-07-12,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0091,HOSP-001,DEPT-ICU,ROLE-RAD,,,,,,Full-Time,1.0,True,2025-09-13,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0092,HOSP-001,DEPT-SURG,ROLE-MO,,,,,,Full-Time,1.0,True,2024-04-05,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0093,HOSP-001,DEPT-ED,ROLE-AMO,,,,,,Full-Time,1.0,True,2025-11-18,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0094,HOSP-001,DEPT-MED,ROLE-AMO,,,,,,Full-Time,1.0,True,2024-08-10,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0095,HOSP-001,DEPT-SURG,ROLE-RAD,,,,,,Full-Time,1.0,True,2025-08-29,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0096,HOSP-001,DEPT-DIAG,ROLE-PEO,,,,,,Full-Time,1.0,True,2025-06-28,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0097,HOSP-001,DEPT-ADM,ROLE-HCA,,,,,,Part-Time,0.5,True,2024-11-21,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0098,HOSP-001,DEPT-ADM,ROLE-MO,,,,,,Contract,0.75,True,2025-08-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0099,HOSP-001,DEPT-OPC,ROLE-REG,,,,,,Part-Time,0.6,True,2025-12-13,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0100,HOSP-001,DEPT-SURG,ROLE-MO,,,,,,Full-Time,1.0,True,2025-11-23,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0101,HOSP-001,DEPT-MED,ROLE-RN,,,,,,Part-Time,0.5,True,2024-06-23,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0102,HOSP-001,DEPT-OPC,ROLE-PHARM,,,,,,Full-Time,1.0,True,2025-09-08,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0103,HOSP-001,DEPT-ADM,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2024-04-15,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0104,HOSP-001,DEPT-ADM,ROLE-RN,,,,,,Full-Time,1.0,True,2025-12-18,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0105,HOSP-001,DEPT-SURG,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-07-30,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0106,HOSP-001,DEPT-MED,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2025-04-18,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0107,HOSP-001,DEPT-ED,ROLE-MO,,,,,,Full-Time,1.0,True,2024-12-08,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0108,HOSP-001,DEPT-MED,ROLE-RN,,,,,,Part-Time,0.5,True,2025-08-08,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0109,HOSP-001,DEPT-MED,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2024-09-18,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0110,HOSP-001,DEPT-MED,ROLE-PEO,,,,,,Full-Time,1.0,True,2025-10-09,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0111,HOSP-001,DEPT-OPC,ROLE-MO,,,,,,Full-Time,1.0,True,2025-02-09,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0112,HOSP-001,DEPT-ICU,ROLE-AMO,,,,,,Full-Time,1.0,True,2024-02-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0113,HOSP-001,DEPT-PEX,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-07-01,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0114,HOSP-001,DEPT-MED,ROLE-HCA,,,,,,Contract,0.5,True,2025-04-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0115,HOSP-001,DEPT-ED,ROLE-HCA,,,,,,Part-Time,0.6,True,2024-10-15,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0116,HOSP-001,DEPT-ADM,ROLE-RAD,,,,,,Contract,0.75,True,2025-09-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0117,HOSP-001,DEPT-MED,ROLE-RN,,,,,,Contract,0.75,True,2024-02-10,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0118,HOSP-001,DEPT-PEX,ROLE-PHARM,,,,,,Full-Time,1.0,True,2025-12-11,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0119,HOSP-001,DEPT-DIAG,ROLE-AMO,,,,,,Full-Time,1.0,True,2025-06-29,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0120,HOSP-001,DEPT-MED,ROLE-HCA,,,,,,Contract,0.5,True,2024-06-11,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0121,HOSP-001,DEPT-PEX,ROLE-RN,,,,,,Full-Time,1.0,True,2025-10-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0122,HOSP-001,DEPT-ED,ROLE-RAD,,,,,,Full-Time,1.0,True,2024-05-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0123,HOSP-001,DEPT-MED,ROLE-REG,,,,,,Full-Time,1.0,True,2025-06-16,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0124,HOSP-001,DEPT-SURG,ROLE-RAD,,,,,,Full-Time,1.0,True,2024-03-22,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0125,HOSP-001,DEPT-ADM,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-05-31,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0126,HOSP-001,DEPT-PEX,ROLE-HCA,,,,,,Part-Time,0.5,True,2025-12-12,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0127,HOSP-001,DEPT-ADM,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-08-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0128,HOSP-001,DEPT-MED,ROLE-REG,,,,,,Full-Time,1.0,True,2024-02-24,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0129,HOSP-001,DEPT-PEX,ROLE-AMO,,,,,,Full-Time,1.0,True,2024-01-16,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0130,HOSP-001,DEPT-MED,ROLE-MO,,,,,,Part-Time,0.5,True,2025-10-12,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0131,HOSP-001,DEPT-PEX,ROLE-PHARM,,,,,,Full-Time,1.0,True,2025-05-22,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0132,HOSP-001,DEPT-ICU,ROLE-PEO,,,,,,Part-Time,0.5,True,2025-06-30,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0133,HOSP-001,DEPT-MED,ROLE-AMO,,,,,,Part-Time,0.5,True,2025-07-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0134,HOSP-001,DEPT-ADM,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2024-05-27,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0135,HOSP-001,DEPT-OPC,ROLE-AMO,,,,,,Full-Time,1.0,True,2025-02-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0136,HOSP-001,DEPT-OPC,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-01-30,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0137,HOSP-001,DEPT-MED,ROLE-MO,,,,,,Part-Time,0.5,True,2024-08-10,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0138,HOSP-001,DEPT-ED,ROLE-RAD,,,,,,Part-Time,0.6,True,2024-02-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0139,HOSP-001,DEPT-SURG,ROLE-AMO,,,,,,Full-Time,1.0,True,2025-04-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0140,HOSP-001,DEPT-ADM,ROLE-AMO,,,,,,Full-Time,1.0,True,2024-11-05,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0141,HOSP-001,DEPT-ADM,ROLE-HCA,,,,,,Full-Time,1.0,True,2025-08-17,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0142,HOSP-001,DEPT-ADM,ROLE-RN,,,,,,Part-Time,0.5,True,2024-10-10,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0143,HOSP-001,DEPT-DIAG,ROLE-HCA,,,,,,Full-Time,1.0,True,2025-05-23,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0144,HOSP-001,DEPT-ADM,ROLE-MO,,,,,,Part-Time,0.6,True,2024-12-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0145,HOSP-001,DEPT-ED,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-02-11,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0146,HOSP-001,DEPT-ICU,ROLE-HCA,,,,,,Full-Time,1.0,True,2024-02-10,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0147,HOSP-001,DEPT-SURG,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-01-16,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0148,HOSP-001,DEPT-ADM,ROLE-REG,,,,,,Contract,0.5,True,2024-07-31,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0149,HOSP-001,DEPT-MED,ROLE-MO,,,,,,Full-Time,1.0,True,2025-01-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0150,HOSP-001,DEPT-ADM,ROLE-RAD,,,,,,Full-Time,1.0,True,2025-05-20,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0151,HOSP-001,DEPT-ICU,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-02-01,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0152,HOSP-001,DEPT-OPC,ROLE-RAD,,,,,,Full-Time,1.0,True,2025-10-03,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0153,HOSP-001,DEPT-ED,ROLE-PHARM,,,,,,Full-Time,1.0,True,2024-02-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0154,HOSP-001,DEPT-MED,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2024-04-25,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0155,HOSP-001,DEPT-SURG,ROLE-HCA,,,,,,Part-Time,0.6,True,2024-03-11,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
