issue_id,issue_type,severity,relationship_id,hospital_id,department_id,description,engine_run_id
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,Insufficient Paired Observations,Warning,kpi_005_kpi_006,HOSP-001,DEPT-ICU,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,Insufficient Paired Observations,Warning,kpi_001_kpi_004,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,Insufficient Paired Observations,Warning,kpi_001_kpi_005,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,Insufficient Paired Observations,Warning,kpi_002_kpi_004,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,Insufficient Paired Observations,Warning,kpi_002_kpi_005,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,Insufficient Paired Observations,Warning,kpi_004_kpi_005,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,Insufficient Paired Observations,Warning,kpi_004_kpi_006,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_005-kpi_006,Insufficient Paired Observations,Warning,kpi_005_kpi_006,HOSP-001,DEPT-MED,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_003,Insufficient Paired Observations,Warning,kpi_001_kpi_003,HOSP-001,DEPT-OPC,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_003,Insufficient Paired Observations,Warning,kpi_002_kpi_003,HOSP-001,DEPT-OPC,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,DEPT-OPC,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,DEPT-OPC,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_006,Insufficient Paired Observations,Warning,kpi_003_kpi_006,HOSP-001,DEPT-OPC,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_003,Insufficient Paired Observations,Warning,kpi_001_kpi_003,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_004,Insufficient Paired Observations,Warning,kpi_001_kpi_004,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_005,Insufficient Paired Observations,Warning,kpi_001_kpi_005,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_003,Insufficient Paired Observations,Warning,kpi_002_kpi_003,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_004,Insufficient Paired Observations,Warning,kpi_002_kpi_004,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_005,Insufficient Paired Observations,Warning,kpi_002_kpi_005,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_006,Insufficient Paired Observations,Warning,kpi_003_kpi_006,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_005,Insufficient Paired Observations,Warning,kpi_004_kpi_005,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_006,Insufficient Paired Observations,Warning,kpi_004_kpi_006,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_005-kpi_006,Insufficient Paired Observations,Warning,kpi_005_kpi_006,HOSP-001,DEPT-PEX,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_004,Insufficient Paired Observations,Warning,kpi_001_kpi_004,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_005,Insufficient Paired Observations,Warning,kpi_001_kpi_005,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_004,Insufficient Paired Observations,Warning,kpi_002_kpi_004,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_005,Insufficient Paired Observations,Warning,kpi_002_kpi_005,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_005,Insufficient Paired Observations,Warning,kpi_004_kpi_005,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_006,Insufficient Paired Observations,Warning,kpi_004_kpi_006,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_005-kpi_006,Insufficient Paired Observations,Warning,kpi_005_kpi_006,HOSP-001,DEPT-SURG,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-ALL-kpi_003-kpi_004,Insufficient Paired Observations,Warning,kpi_003_kpi_004,HOSP-001,ALL,Only 0 paired observations available,RELCF-20260728043649
ISS-RELCF-20260728043649-RELCF-20260728043649-HOSP-001-ALL-kpi_003-kpi_005,Insufficient Paired Observations,Warning,kpi_003_kpi_005,HOSP-001,ALL,Only 0 paired observations available,RELCF-20260728043649
