governance_id,scenario_run_id,rule_id,rule_name,rule_applied,rule_outcome,message,applied_at
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.688853
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.688856
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.688860
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.692897
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.692903
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.692908
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.692912
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.692917
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.692922
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.692926
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.692931
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.692935
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.692940
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.692944
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.692949
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.692953
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.692958
GOV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.692965
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.699471
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.699475
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.699478
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.699482
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.699485
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.699488
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.699491
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.699494
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.699497
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.699501
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.699504
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.699507
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.699510
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.699513
GOV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.699516
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.707011
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.707015
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.707019
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.707022
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.707025
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.707028
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.707031
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.707034
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.707037
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.707040
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.707043
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.707046
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.707049
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.707052
GOV-SR-BL-8967EE194089397D-COMP-BASE-001-,SR-BL-8967EE194089397D-COMP-BASE-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.707055
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.713726
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.713734
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.713741
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.713747
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.713753
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.713759
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.713765
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.713771
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.713777
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.713783
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.713789
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.713795
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.713800
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.713847
GOV-SR-BL-8967EE194089397D-COMP-CONS-001-,SR-BL-8967EE194089397D-COMP-CONS-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.713876
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.718147
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.718151
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.718154
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.718157
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.718160
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.718163
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.718167
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.718170
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.718173
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.718176
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.718179
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.718182
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.718185
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.718188
GOV-SR-BL-8967EE194089397D-COMP-EXP-001-,SR-BL-8967EE194089397D-COMP-EXP-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.718191
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.722535
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.722539
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.722543
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.722546
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.722549
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.722552
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.722555
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.722558
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.722561
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.722564
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.722567
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.722570
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.722573
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.722576
GOV-SR-BL-8967EE194089397D-COMP-HIGH-001-,SR-BL-8967EE194089397D-COMP-HIGH-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.722579
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.731897
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.731902
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.731905
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.731908
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.731912
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.731915
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.731918
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.731921
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.731925
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.731928
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.731931
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.731934
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.731938
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.731941
GOV-SR-BL-DC41AA9F364EC81B-COMP-BASE-001-,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.731944
