analytical_record_id,hospital_id,department_id,reporting_date,reporting_month,reporting_year,kpi_id,kpi_name,domain,numerator_value,denominator_value,kpi_value,unit,calculation_status,readiness_status,threshold_status,threshold_version,threshold_approval_status,threshold_is_provisional,configuration_version,data_confidence_level,confidence_rule_version,source_dataset,source_record_id,calculation_run_id,calculated_at
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260117,HOSP-001,DEPT-ADM,2026-01-17,,,kpi_006,Patient Satisfaction Score,Patient Experience,4.0,1.0,4.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260117,PEX-KPI-DCF120177644,2026-07-27T14:43:24.980682
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260118,HOSP-001,DEPT-ADM,2026-01-18,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644,2026-07-27T14:43:24.984256
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260118,HOSP-001,DEPT-ADM,2026-01-18,,,kpi_006,Patient Satisfaction Score,Patient Experience,,0.0,,Score (1-5 scale),Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260118,PEX-KPI-DCF120177644,2026-07-27T14:43:24.986004
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260119,HOSP-001,DEPT-ADM,2026-01-19,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644,2026-07-27T14:43:24.988258
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260119,HOSP-001,DEPT-ADM,2026-01-19,,,kpi_006,Patient Satisfaction Score,Patient Experience,,0.0,,Score (1-5 scale),Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260119,PEX-KPI-DCF120177644,2026-07-27T14:43:24.990885
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260120,HOSP-001,DEPT-ADM,2026-01-20,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260120,PEX-KPI-DCF120177644,2026-07-27T14:43:24.993267
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260120,HOSP-001,DEPT-ADM,2026-01-20,,,kpi_006,Patient Satisfaction Score,Patient Experience,3.0,1.0,3.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260120,PEX-KPI-DCF120177644,2026-07-27T14:43:24.995158
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260121,HOSP-001,DEPT-ADM,2026-01-21,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260121,PEX-KPI-DCF120177644,2026-07-27T14:43:24.998957
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260121,HOSP-001,DEPT-ADM,2026-01-21,,,kpi_006,Patient Satisfaction Score,Patient Experience,3.0,1.0,3.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260121,PEX-KPI-DCF120177644,2026-07-27T14:43:25.000767
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260122,HOSP-001,DEPT-ADM,2026-01-22,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260122,PEX-KPI-DCF120177644,2026-07-27T14:43:25.004381
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260122,HOSP-001,DEPT-ADM,2026-01-22,,,kpi_006,Patient Satisfaction Score,Patient Experience,10.0,3.0,3.3333333333333335,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260122,PEX-KPI-DCF120177644,2026-07-27T14:43:25.008404
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260123,HOSP-001,DEPT-ADM,2026-01-23,,,kpi_005,Patient Complaint Rate,Patient Experience,,,,Complaints per 1000 encounters,Insufficient Data,PX Data Unavailable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260123,PEX-KPI-DCF120177644,2026-07-27T14:43:25.012414
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260123,HOSP-001,DEPT-ADM,2026-01-23,,,kpi_006,Patient Satisfaction Score,Patient Experience,,,,Score (1-5 scale),Insufficient Data,PX Data Unavailable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260123,PEX-KPI-DCF120177644,2026-07-27T14:43:25.014281
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260124,HOSP-001,DEPT-ADM,2026-01-24,,,kpi_005,Patient Complaint Rate,Patient Experience,,,,Complaints per 1000 encounters,Insufficient Data,PX Data Unavailable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260124,PEX-KPI-DCF120177644,2026-07-27T14:43:25.016297
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260124,HOSP-001,DEPT-ADM,2026-01-24,,,kpi_006,Patient Satisfaction Score,Patient Experience,,,,Score (1-5 scale),Insufficient Data,PX Data Unavailable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260124,PEX-KPI-DCF120177644,2026-07-27T14:43:25.018062
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260125,HOSP-001,DEPT-ADM,2026-01-25,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260125,PEX-KPI-DCF120177644,2026-07-27T14:43:25.020013
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260125,HOSP-001,DEPT-ADM,2026-01-25,,,kpi_006,Patient Satisfaction Score,Patient Experience,11.0,3.0,3.6666666666666665,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260125,PEX-KPI-DCF120177644,2026-07-27T14:43:25.021848
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260126,HOSP-001,DEPT-ADM,2026-01-26,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260126,PEX-KPI-DCF120177644,2026-07-27T14:43:25.027652
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260126,HOSP-001,DEPT-ADM,2026-01-26,,,kpi_006,Patient Satisfaction Score,Patient Experience,3.0,1.0,3.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260126,PEX-KPI-DCF120177644,2026-07-27T14:43:25.029504
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260127,HOSP-001,DEPT-ADM,2026-01-27,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260127,PEX-KPI-DCF120177644,2026-07-27T14:43:25.033149
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260127,HOSP-001,DEPT-ADM,2026-01-27,,,kpi_006,Patient Satisfaction Score,Patient Experience,7.0,2.0,3.5,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260127,PEX-KPI-DCF120177644,2026-07-27T14:43:25.034926
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260128,HOSP-001,DEPT-ADM,2026-01-28,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260128,PEX-KPI-DCF120177644,2026-07-27T14:43:25.038561
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260128,HOSP-001,DEPT-ADM,2026-01-28,,,kpi_006,Patient Satisfaction Score,Patient Experience,,0.0,,Score (1-5 scale),Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260128,PEX-KPI-DCF120177644,2026-07-27T14:43:25.042153
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260129,HOSP-001,DEPT-ADM,2026-01-29,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260129,PEX-KPI-DCF120177644,2026-07-27T14:43:25.044339
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260129,HOSP-001,DEPT-ADM,2026-01-29,,,kpi_006,Patient Satisfaction Score,Patient Experience,3.0,1.0,3.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260129,PEX-KPI-DCF120177644,2026-07-27T14:43:25.046012
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260130,HOSP-001,DEPT-ADM,2026-01-30,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260130,PEX-KPI-DCF120177644,2026-07-27T14:43:25.049326
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260130,HOSP-001,DEPT-ADM,2026-01-30,,,kpi_006,Patient Satisfaction Score,Patient Experience,2.0,1.0,2.0,Score (1-5 scale),Calculated,Calculable,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Medium,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260130,PEX-KPI-DCF120177644,2026-07-27T14:43:25.050937
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260131,HOSP-001,DEPT-ADM,2026-01-31,,,kpi_005,Patient Complaint Rate,Patient Experience,,0.0,,Complaints per 1000 encounters,Zero Denominator,Not Assessed,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260131,PEX-KPI-DCF120177644,2026-07-27T14:43:25.054208
