analytical_record_id,kpi_id,source_dataset,source_record_id,calculation_run_id,evidence_type,source_field,source_value,evidence_role
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260104,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,15.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,20.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260105,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260105,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,18.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260106,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,2.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260106,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,12.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,15.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260107,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260107,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,15.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,15.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260108,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260108,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,22.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,22.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260109,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260109,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,22.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,19.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,21.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260110,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260110,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,21.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,14.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260111,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260111,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,20.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260112,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260112,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,22.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,25.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260113,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,2.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260113,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,25.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,13.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,15.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260114,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260114,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,15.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,16.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260115,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,2.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260115,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,12.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,15.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260116,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,2.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260116,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,15.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,20.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260117,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260117,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,20.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260118,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260118,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,17.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260119,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260119,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,18.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260120,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,3.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260120,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,14.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260121,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260121,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,17.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260122,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260122,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,25.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,26.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260123,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260123,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,26.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,23.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,23.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260124,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260124,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,23.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,17.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260125,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260125,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,18.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260126,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260126,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,21.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,23.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260127,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260127,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,23.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,14.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260128,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,2.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260128,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260129,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,13.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260129,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,14.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260129,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260129,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,14.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260130,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,16.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260130,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260130,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,2.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260130,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260131,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,16.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260131,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,19.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260131,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,2.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260131,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,19.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260201,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,17.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260201,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260201,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260201,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260202,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,17.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260202,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,21.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260202,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,5.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260202,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,21.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260203,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,18.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260203,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260203,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260203,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260204,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,15.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260204,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,16.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260204,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260204,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,16.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260205,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,16.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260205,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260205,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260205,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,17.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260206,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,20.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260206,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,22.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260206,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,6.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260206,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,22.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260207,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,21.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260207,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,22.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260207,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260207,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,22.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260208,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,24.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260208,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,24.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260208,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260208,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,24.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,14.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,18.0,denominator
