cf_record_id,relationship_id,source_kpi_id,target_kpi_id,contradiction_flag,contradiction_severity,contradiction_summary,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,kpi_006,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,kpi_003,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,kpi_004,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,kpi_005,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,kpi_003,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,kpi_004,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,kpi_005,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,kpi_004,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,kpi_005,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,kpi_005,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,kpi_006,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,kpi_003,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,kpi_004,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,kpi_005,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,kpi_003,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,kpi_004,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,kpi_005,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,kpi_004,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,kpi_005,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,kpi_005,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,kpi_006,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,kpi_003,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,kpi_003,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,kpi_006,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ICU-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,kpi_003,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,kpi_003,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,kpi_006,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-MED-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,kpi_003,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,kpi_004,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,kpi_005,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,kpi_003,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,kpi_004,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,kpi_005,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,kpi_004,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,kpi_005,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,kpi_005,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,kpi_006,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-OPC-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,kpi_003,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,kpi_003,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,kpi_006,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-PEX-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,kpi_003,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,kpi_003,True,Minor,Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,kpi_005,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_004-kpi_006,kpi_004_kpi_006,kpi_004,kpi_006,True,Minor,Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-SURG-kpi_005-kpi_006,kpi_005_kpi_006,kpi_005,kpi_006,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-ALL-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
